"roster_id","original_object_name","original_mesh_name","proposed_clean_asset_name","category","dimensions_m","vertex_count","triangle_count","materials","duplicate_status","reusable_status","recommended_action","approval_status","exported_filename","notes","bbox_min_m","bbox_max_m","bbox_center_m","mesh_users","source_transform_location","source_transform_rotation_euler","source_transform_scale"
"AP-0213","VEHICLES_01_MELBOURNE_0","VEHICLES_01_MELBOURNE_0","Prop_VehicleGroup_02","trackside_prop","(12.934, 10.0754, 5.0319)","128","96","['MELBOURNE']","unique","review","review","not_started","","","(512.1504, -103.4842, -5.2828)","(525.0844, -93.4088, -0.2509)","(518.6174, -98.4465, -2.7669)","1","(1e-05, -1e-05, -0.00196)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0214","VEHICLES_02_MELBOURNE_0","VEHICLES_02_MELBOURNE_0","Prop_VehicleGroup_03","trackside_prop","(11.7645, 11.8931, 5.0362)","128","96","['MELBOURNE']","unique","review","review","not_started","","","(147.1042, -3.7423, -5.0491)","(158.8688, 8.1507, -0.0129)","(152.9865, 2.2042, -2.531)","1","(-1e-05, -2e-05, 0.00027)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0215","VEHICLES_03_MELBOURNE_0","VEHICLES_03_MELBOURNE_0","Prop_VehicleGroup_04","trackside_prop","(8.0089, 13.3385, 5.0396)","128","96","['MELBOURNE']","unique","review","review","not_started","","","(208.1711, 112.16, -4.7774)","(216.18, 125.4985, 0.2622)","(212.1755, 118.8292, -2.2576)","1","(-0.00179, 6e-05, 0.00012)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0216","VEHICLES_04_MELBOURNE_0","VEHICLES_04_MELBOURNE_0","Prop_VehicleGroup_05","trackside_prop","(13.3326, 7.8495, 5.0267)","128","96","['MELBOURNE']","unique","review","review","not_started","","","(575.0995, -197.1224, -5.5024)","(588.4321, -189.2729, -0.4756)","(581.7659, -193.1977, -2.989)","1","(0.00025, 0.00034, 0.00043)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0217","VEHICLES_05_MELBOURNE_0","VEHICLES_05_MELBOURNE_0","Prop_VehicleGroup_06","trackside_prop","(13.5021, 3.1963, 11.0122)","4071","3180","['MELBOURNE']","unique","review","review","not_started","","","(161.9261, -122.136, -1.3636)","(175.4282, -118.9398, 9.6486)","(168.6772, -120.5379, 4.1425)","1","(0.00048, -0.00031, -0.00014)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0218","VEHICLES_06_MELBOURNE_0","VEHICLES_06_MELBOURNE_0","Prop_VehicleGroup_07","trackside_prop","(10.7253, 11.9271, 11.0858)","4071","3180","['MELBOURNE']","unique","review","review","not_started","","","(-24.6807, 59.7144, -0.519)","(-13.9554, 71.6416, 10.5668)","(-19.3181, 65.678, 5.0239)","1","(-8e-05, 0.00054, -3e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0219","VEHICLES_07_MELBOURNE_0","VEHICLES_07_MELBOURNE_0","Prop_VehicleGroup_08","trackside_prop","(13.6636, 6.1178, 11.0781)","4071","3180","['MELBOURNE']","unique","review","review","not_started","","","(151.8836, 261.551, 0.0663)","(165.5472, 267.6688, 11.1444)","(158.7154, 264.6099, 5.6054)","1","(-0.00036, -0.00125, 1e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0220","VEHICLES_08_MELBOURNE_0","VEHICLES_08_MELBOURNE_0","Prop_VehicleGroup_09","trackside_prop","(7.7351, 13.4232, 11.1137)","4071","3180","['MELBOURNE']","unique","review","review","not_started","","","(261.1139, 61.4896, -0.4066)","(268.8489, 74.9128, 10.7071)","(264.9814, 68.2012, 5.1502)","1","(-0.00016, -0.0014, -2e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0221","VEHICLES_09_MELBOURNE_0","VEHICLES_09_MELBOURNE_0","Prop_VehicleGroup_10","trackside_prop","(4.1362, 13.6191, 11.0164)","4071","3180","['MELBOURNE']","unique","review","review","not_started","","","(668.8218, -226.3895, -1.397)","(672.9581, -212.7703, 9.6194)","(670.89, -219.5799, 4.1112)","1","(0.00078, 0.00298, 0.00024)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0222","VEHICLES_10_MELBOURNE_0","VEHICLES_10_MELBOURNE_0","Prop_VehicleGroup_11","trackside_prop","(6.4117, 8.2388, 4.0861)","3025","1808","['MELBOURNE']","unique","review","review","not_started","","","(-88.1165, 108.458, -0.1482)","(-81.7049, 116.6968, 3.938)","(-84.9107, 112.5774, 1.8949)","1","(0.00036, 0.00089, 6e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0223","VEHICLES_11_MELBOURNE_0","VEHICLES_11_MELBOURNE_0","Prop_VehicleGroup_12","trackside_prop","(66.2721, 52.7261, 4.1997)","18690","14134","['MELBOURNE']","unique","review","review","not_started","","","(-35.4958, -153.9934, -1.3203)","(30.7764, -101.2672, 2.8794)","(-2.3597, -127.6303, 0.7796)","1","(-0.00011, -0.00031, 3e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0224","VEHICLES_12_MELBOURNE_0","VEHICLES_12_MELBOURNE_0","Prop_VehicleGroup_13","trackside_prop","(24.7395, 25.1109, 2.1193)","3562","3944","['MELBOURNE']","unique","review","review","not_started","","","(169.9366, -101.2179, -1.0717)","(194.6761, -76.107, 1.0475)","(182.3064, -88.6625, -0.0121)","1","(-0.00015, 0.00091, 9e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0225","VEHICLES_13_MELBOURNE_0","VEHICLES_13_MELBOURNE_0","Prop_VehicleGroup_14","terrain","(121.4951, 64.1748, 4.6227)","13870","10354","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests track-specific ground or merged scene geometry.","(349.1497, -266.241, -1.7101)","(470.6447, -202.0662, 2.9126)","(409.8972, -234.1536, 0.6013)","1","(1e-05, 0.00137, 0.00032)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0226","VEHICLES_14_MELBOURNE_0","VEHICLES_14_MELBOURNE_0","Prop_VehicleGroup_15","trackside_prop","(13.4242, 7.3908, 11.0433)","4071","3180","['MELBOURNE']","unique","review","review","not_started","","","(595.3329, -90.0557, -0.603)","(608.7571, -82.665, 10.4403)","(602.045, -86.3604, 4.9187)","1","(0.00111, -0.00019, 0.00037)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0227","VEHICLES_15_MELBOURNE_0","VEHICLES_15_MELBOURNE_0","Prop_VehicleGroup_16","terrain","(68.8721, 83.8312, 4.6582)","32513","27910","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests track-specific ground or merged scene geometry.","(-304.9112, 31.5943, -0.7674)","(-236.0391, 115.4256, 3.8908)","(-270.4752, 73.5099, 1.5617)","1","(0.00156, -0.00062, 6e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0228","VEHICLES_16_MELBOURNE_0","VEHICLES_16_MELBOURNE_0","Prop_VehicleGroup_17","trackside_prop","(43.6147, 52.5927, 2.183)","5348","5916","['MELBOURNE']","unique","review","review","not_started","","","(856.3585, -485.8031, -1.5104)","(899.9733, -433.2105, 0.6726)","(878.1659, -459.5068, -0.4189)","1","(-0.00076, 0.00206, -0.00055)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0229","VEHICLES_17_MELBOURNE_0","VEHICLES_17_MELBOURNE_0","Prop_VehicleGroup_18","trackside_prop","(35.4146, 26.8584, 4.1417)","6735","5752","['MELBOURNE']","unique","review","review","not_started","","","(453.0306, -203.7601, -1.3339)","(488.4452, -176.9017, 2.8078)","(470.7379, -190.3309, 0.737)","1","(-0.00308, -0.00161, -3e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0230","wall_a064_MELBOURNE_0","wall_a064_MELBOURNE_0","Barrier_Wall_A","barrier","(6.6153, 15.3527, 4.6354)","612","344","['MELBOURNE']","unique","yes","keep","not_started","Barrier_Wall_A.glb","","(110.1386, -176.497, -1.6286)","(116.7539, -161.1443, 3.0068)","(113.4463, -168.8207, 0.6891)","1","(-0.00137, 0.0002, 0.00038)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0231","wall_a067_MELBOURNE_0","wall_a067_MELBOURNE_0","Barrier_Wall_02","barrier","(7.8291, 10.3808, 4.6374)","468","258","['MELBOURNE']","unique","yes","keep","not_started","Barrier_Wall_02.glb","","(-107.7172, 12.7602, -0.8795)","(-99.888, 23.141, 3.7579)","(-103.8026, 17.9506, 1.4392)","1","(6e-05, 0.0, -0.00016)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0232","wall_a070_MELBOURNE_0","wall_a070_MELBOURNE_0","Barrier_Wall_03","barrier","(14.4386, 8.7992, 4.6154)","614","344","['MELBOURNE']","unique","yes","keep","not_started","Barrier_Wall_03.glb","","(80.6007, 286.9485, -0.2932)","(95.0392, 295.7478, 4.3222)","(87.8199, 291.3481, 2.0145)","1","(-0.00048, 0.00024, -0.0015)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0233","wall_a075_MELBOURNE_0","wall_a075_MELBOURNE_0","Barrier_Wall_04","barrier","(16.5112, 13.0017, 4.6311)","748","430","['MELBOURNE']","unique","yes","keep","not_started","Barrier_Wall_04.glb","","(734.5157, -280.5151, -1.1977)","(751.027, -267.5134, 3.4334)","(742.7714, -274.0143, 1.1179)","1","(0.00163, -0.00035, -0.00067)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0234","wall_a077_MELBOURNE_0","wall_a077_MELBOURNE_0","Barrier_Wall_05","barrier","(83.6585, 46.8638, 5.0312)","3033","1698","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-21.8453, 62.8276, -0.9416)","(61.8131, 109.6914, 4.0896)","(19.9839, 86.2595, 1.574)","1","(-0.00012, 2e-05, -0.00037)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0235","wall_a081_MELBOURNE_0","wall_a081_MELBOURNE_0","Barrier_Wall_06","barrier","(25.5101, 14.298, 4.6342)","1062","602","['MELBOURNE']","unique","yes","keep","not_started","Barrier_Wall_06.glb","","(448.106, -282.9716, -1.9603)","(473.6161, -268.6736, 2.6739)","(460.8611, -275.8226, 0.3568)","1","(0.00218, -3e-05, -0.00019)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0236","wall_a083_MELBOURNE_0","wall_a083_MELBOURNE_0","Barrier_Concrete_A","barrier","(15.976, 3.4162, 4.7323)","610","344","['MELBOURNE']","derived_from_assembly","yes","keep","approved","Barrier_Concrete_A.glb","Approved canonical derived asset Barrier_Concrete_A extracted from one repeated concrete wall unit within AP-0236, not the full wall_a083 assembly. Cleaned source mesh approved: one connected component; 30 vertices / 56 triangles; no loose, duplicate, zero-area, duplicate-face, or degenerate geometry in editable source. GLB re-import hard-normal splits are expected and are not a source-topology defect. Dimensions/transforms approved: 4.004852 x 0.602844 x 1.280897 m, Location 0,0,0 Rotation 0,0,0 Scale 1,1,1, min Z 0. Material approved: Concrete_LightGrey_Matte. Full AP-0236 includes fence/posts/supports and remains donor-only.","(274.1544, -208.9503, -2.1176)","(290.1305, -205.5341, 2.6147)","(282.1425, -207.2422, 0.2486)","1","(-0.00111, 0.00018, 0.00067)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0237","WALL_BLOCKS_001_MELBOURNE_0","WALL_BLOCKS_001_MELBOURNE_0","Barrier_WallBlock_A","barrier","(357.3648, 137.4924, 5.7566)","13596","7666","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(110.4922, -311.1479, -2.5591)","(467.857, -173.6555, 3.1975)","(289.1746, -242.4017, 0.3192)","1","(-0.00063, -1e-05, 2e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0238","WALL_BLOCKS_002_MELBOURNE_0","WALL_BLOCKS_002_MELBOURNE_0","Barrier_WallBlock_02","barrier","(202.933, 77.5842, 5.4645)","7793","4356","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(264.2504, -290.8369, -2.3596)","(467.1833, -213.2528, 3.1049)","(365.7169, -252.0449, 0.3727)","1","(-0.00053, -2e-05, 0.00172)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0239","WALL_BLOCKS_004_MELBOURNE_0","WALL_BLOCKS_004_MELBOURNE_0","Barrier_WallBlock_03","barrier","(69.8802, 32.8018, 4.881)","2556","1452","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(204.5542, -213.266, -2.3319)","(274.4344, -180.4642, 2.549)","(239.4943, -196.8651, 0.1086)","1","(-2e-05, -0.00012, -0.00105)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0240","WALL_BLOCKS_005_MELBOURNE_0","WALL_BLOCKS_005_MELBOURNE_0","Barrier_WallBlock_04","barrier","(69.766, 61.3194, 5.432)","2554","1452","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(154.227, -188.882, -2.2862)","(223.993, -127.5626, 3.1458)","(189.11, -158.2223, 0.4298)","1","(6e-05, 0.00013, 0.00029)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0241","WALL_BLOCKS_006_MELBOURNE_0","WALL_BLOCKS_006_MELBOURNE_0","Barrier_WallBlock_05","barrier","(39.308, 45.9884, 4.932)","2550","1452","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(115.4459, -171.1938, -1.7685)","(154.7539, -125.2055, 3.1635)","(135.0999, -148.1996, 0.6975)","1","(-0.00041, -0.00026, -0.00017)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0242","WALL_BLOCKS_007_MELBOURNE_0","WALL_BLOCKS_007_MELBOURNE_0","Barrier_WallBlock_06","barrier","(218.2851, 112.1698, 5.3856)","8259","4682","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-39.4958, -121.52, -1.8126)","(178.7893, -9.3502, 3.5731)","(69.6468, -65.4351, 0.8803)","1","(0.00063, -5e-05, -0.00044)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0243","WALL_BLOCKS_008_MELBOURNE_0","WALL_BLOCKS_008_MELBOURNE_0","Barrier_WallBlock_07","barrier","(270.4695, 141.6613, 5.4676)","9814","5568","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-124.5129, -127.8957, -1.742)","(145.9566, 13.7655, 3.7256)","(10.7219, -57.0651, 0.9918)","1","(0.0001, 2e-05, -0.00056)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0244","WALL_BLOCKS_009_MELBOURNE_0","WALL_BLOCKS_009_MELBOURNE_0","Barrier_WallBlock_08","barrier","(94.9167, 90.0011, 5.2814)","4418","2504","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-102.9406, -6.7438, -1.3845)","(-8.0239, 83.2573, 3.8969)","(-55.4823, 38.2568, 1.2562)","1","(0.00011, 3e-05, -8e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0245","WALL_BLOCKS_010_MELBOURNE_0","WALL_BLOCKS_010_MELBOURNE_0","Barrier_WallBlock_09","barrier","(82.0946, 109.7265, 5.1941)","3999","2264","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-25.6274, -27.7884, -1.3652)","(56.4672, 81.9381, 3.8288)","(15.4199, 27.0748, 1.2318)","1","(-0.00014, 6e-05, 9e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0246","WALL_BLOCKS_011_MELBOURNE_0","WALL_BLOCKS_011_MELBOURNE_0","Barrier_WallBlock_10","barrier","(127.5634, 176.318, 5.6111)","6819","3876","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-24.5355, 86.3543, -0.9678)","(103.0279, 262.6723, 4.6433)","(39.2462, 174.5133, 1.8377)","1","(-0.00027, 4e-05, -0.00117)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0247","WALL_BLOCKS_012_MELBOURNE_0","WALL_BLOCKS_012_MELBOURNE_0","Barrier_WallBlock_11","barrier","(144.5854, 262.8563, 5.9343)","10234","5808","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-61.1141, 55.8128, -0.9897)","(83.4713, 318.6691, 4.9446)","(11.1786, 187.2409, 1.9775)","1","(-0.00019, 8e-05, -0.0002)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0248","WALL_BLOCKS_014_MELBOURNE_0","WALL_BLOCKS_014_MELBOURNE_0","Barrier_WallBlock_12","barrier","(511.8774, 366.1913, 6.1247)","20430","11616","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(39.6661, -96.6777, -1.5206)","(551.5435, 269.5137, 4.6041)","(295.6048, 86.418, 1.5417)","1","(-0.00098, 0.00017, -0.00047)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0249","WALL_BLOCKS_015_MELBOURNE_0","WALL_BLOCKS_015_MELBOURNE_0","Barrier_WallBlock_13","barrier","(63.6925, 61.0539, 4.8706)","2443","1372","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(480.0149, -100.7328, -1.0979)","(543.7074, -39.6789, 3.7727)","(511.8611, -70.2058, 1.3374)","1","(-0.00081, -9e-05, -0.00043)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0250","WALL_BLOCKS_017_MELBOURNE_0","WALL_BLOCKS_017_MELBOURNE_0","Barrier_WallBlock_14","barrier","(531.9792, 373.7972, 6.147)","22581","12834","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(18.7032, -79.2555, -1.3829)","(550.6825, 294.5416, 4.764)","(284.6929, 107.643, 1.6906)","1","(-0.00106, 0.00022, 0.00083)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0251","WALL_BLOCKS_018_MELBOURNE_0","WALL_BLOCKS_018_MELBOURNE_0","Barrier_WallBlock_15","barrier","(205.1084, 163.7524, 5.7073)","8467","4795","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(506.4409, -219.8757, -1.6481)","(711.5493, -56.1233, 4.0592)","(608.9951, -137.9995, 1.2055)","1","(-0.00443, -6e-05, 0.00117)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0252","WALL_BLOCKS_019_MELBOURNE_0","WALL_BLOCKS_019_MELBOURNE_0","Barrier_WallBlock_16","barrier","(283.2906, 190.8204, 5.5175)","10216","5808","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(466.3261, -192.0102, -1.3293)","(749.6168, -1.1898, 4.1882)","(607.9714, -96.6, 1.4294)","1","(-0.00458, 6e-05, -0.00013)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0253","WALL_BLOCKS_021_MELBOURNE_0","WALL_BLOCKS_021_MELBOURNE_0","Barrier_WallBlock_17","barrier","(174.7326, 191.9672, 5.8652)","9235","5248","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(598.7279, -361.17, -2.1587)","(773.4605, -169.2029, 3.7065)","(686.0942, -265.1865, 0.7739)","1","(-0.00192, -0.00044, 0.00054)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0254","WALL_BLOCKS_022_MELBOURNE_0","WALL_BLOCKS_022_MELBOURNE_0","Barrier_WallBlock_18","barrier","(192.4469, 129.6473, 5.2234)","7954","4522","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(477.2553, -284.975, -2.0114)","(669.7022, -155.3276, 3.2121)","(573.4788, -220.1513, 0.6004)","1","(-0.00478, -0.00019, -0.00023)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0255","WALL_BLOCKS_023_MELBOURNE_0","WALL_BLOCKS_023_MELBOURNE_0","Barrier_WallBlock_19","barrier","(59.3877, 95.9145, 5.2012)","3727","2098","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(457.9459, -287.2433, -2.1601)","(517.3336, -191.3288, 3.041)","(487.6397, -239.286, 0.4405)","1","(-0.00288, -0.00041, -0.00012)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0256","WALL_BLOCKS__MELBOURNE_0","WALL_BLOCKS__MELBOURNE_0","Barrier_WallBlock_20","barrier","(146.3432, 115.9119, 5.0494)","6553","3713","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(466.4503, -355.4983, -2.1908)","(612.7935, -239.5864, 2.8586)","(539.6219, -297.5424, 0.3339)","1","(0.00034, -0.00024, 0.0007)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0257","WALL_FENCES_FENCE_MELBOURNE_0","WALL_FENCES_FENCE_MELBOURNE_0","Barrier_Wall_08","barrier","(999.5839, 725.4852, 6.3947)","19292","9608","['FENCE_MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-143.0781, -399.5725, -1.48)","(856.5058, 325.9127, 4.9147)","(356.7139, -36.8299, 1.7173)","1","(-0.00078, 0.00011, -0.00024)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0258","WALL_SAFETY_BLOCKS_002_MELBOURNE_0","WALL_SAFETY_BLOCKS_002_MELBOURNE_0","Barrier_SafetyBlock_A","barrier","(85.2986, 64.2911, 1.8166)","734","492","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-106.9167, -13.6372, -1.119)","(-21.618, 50.6539, 0.6976)","(-64.2674, 18.5083, -0.2107)","1","(-3e-05, 3e-05, 0.00031)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0259","WALL_SAFETY_BLOCKS_004_MELBOURNE_0","WALL_SAFETY_BLOCKS_004_MELBOURNE_0","Barrier_SafetyBlock_02","barrier","(80.5665, 45.6033, 1.6186)","588","392","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(-21.7362, 63.1886, -0.6732)","(58.8304, 108.792, 0.9453)","(18.5471, 85.9903, 0.1361)","1","(-7e-05, 3e-05, 9e-05)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0260","WALL_SAFETY_BLOCKS_007_MELBOURNE_0","WALL_SAFETY_BLOCKS_007_MELBOURNE_0","Barrier_SafetyBlock_03","barrier","(75.1243, 45.0313, 1.6217)","680","456","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(73.1677, 250.2091, -0.3037)","(148.292, 295.2404, 1.3179)","(110.7299, 272.7247, 0.5071)","1","(-0.00078, 0.00011, -0.00183)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0261","WALL_SAFETY_BLOCKS_009_MELBOURNE_0","WALL_SAFETY_BLOCKS_009_MELBOURNE_0","Barrier_SafetyBlock_04","barrier","(102.8935, 81.8248, 1.5333)","816","532","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(433.4243, -109.0349, -0.8653)","(536.3179, -27.2101, 0.668)","(484.8711, -68.1225, -0.0986)","1","(-0.00048, 0.00031, -0.00045)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0262","WALL_SAFETY_BLOCKS_011_MELBOURNE_0","WALL_SAFETY_BLOCKS_011_MELBOURNE_0","Barrier_SafetyBlock_05","barrier","(43.0483, 29.0319, 1.3726)","304","204","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(496.7464, -30.4958, -0.6405)","(539.7947, -1.4639, 0.732)","(518.2705, -15.9799, 0.0458)","1","(-0.00407, 0.00019, -0.00017)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0263","WALL_SAFETY_BLOCKS_013_MELBOURNE_0","WALL_SAFETY_BLOCKS_013_MELBOURNE_0","Barrier_SafetyBlock_06","barrier","(82.9137, 61.834, 1.6836)","612","408","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(645.4546, -293.0502, -1.4872)","(728.3683, -231.2162, 0.1965)","(686.9114, -262.1332, -0.6454)","1","(-0.00474, 3e-05, -0.00185)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0264","WALL_SAFETY_BLOCKS_014_MELBOURNE_0","WALL_SAFETY_BLOCKS_014_MELBOURNE_0","Barrier_SafetyBlock_07","barrier","(84.6697, 60.5984, 1.4338)","608","408","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(527.7558, -316.469, -1.8451)","(612.4255, -255.8706, -0.4113)","(570.0906, -286.1698, -1.1282)","1","(-0.00396, -0.00024, 0.00054)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0265","WALL_SAFETY_BLOCKS_016_MELBOURNE_0","WALL_SAFETY_BLOCKS_016_MELBOURNE_0","Barrier_SafetyBlock_08","barrier","(47.5412, 67.381, 1.4928)","504","328","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(469.3062, -260.1876, -1.5898)","(516.8474, -192.8066, -0.0971)","(493.0768, -226.4971, -0.8435)","1","(0.00059, -0.00012, -0.00149)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
"AP-0266","WALL_SAFETY_BLOCKS_55_MELBOURNE_0","WALL_SAFETY_BLOCKS_55_MELBOURNE_0","Barrier_SafetyBlock_09","barrier","(82.2039, 39.8356, 1.4392)","612","408","['MELBOURNE']","unique","track-specific","review","not_started","","Large footprint suggests merged or track-shaped mesh; review before modular extraction.","(85.0948, -121.9936, -1.1984)","(167.2987, -82.158, 0.2408)","(126.1968, -102.0758, -0.4788)","1","(-0.002, 4e-05, 0.00016)","(0.0, 0.0, 0.0)","(1.0, 1.0, 1.0)"
