time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
12.38328,0.01667,7.37162,1.96029,1,1,0,0,1,900,989.3047,1,1,3854.761,0,-0,1,0,25.45223,-17.51956,-51.81726,16.30279,2.15946,1.71116,2.15946,1.71116,0.88653,0.88653,0.09292,0.09292,1.81391,-0.9799,-1.32149,-1.39836,308.8452,-25.48251,-173.7242,-146.115,258.4512,-277.0191,-115.7706,-239.4145,0.41995,0.86452,0.41995,0.86452,0.58845,0.15277,0.81102,0.61097,287.6821,-242.94,-149.3864,-226.774,261.1931,-318.3481,-151.5365,-225.4607,261.1931,-318.3481,-151.5365,-225.4607,1064.151,540.8575,-151.5365,-225.4607,828.308,828.308,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-36.15557,-15.6617,-51.81726
12.39995,0.01667,7.55758,2.01,1,1,0,0,1,922.668,970.4743,1,1,3854.761,0,-0,1,0,25.42513,-17.85115,-52.68789,16.66705,2.21359,1.75678,2.21359,1.75678,0.90609,0.90609,0.0974,0.0974,1.86401,-0.95939,-1.37532,-1.45795,357.4487,-30.23389,-192.614,-161.4167,232.2106,-261.2655,-104.5234,-239.097,0.36281,0.82786,0.36281,0.82786,0.64444,0.1887,0.83673,0.62746,312.0107,-221.496,-160.6536,-225.7252,272.0524,-296.0265,-152.699,-225.5488,272.0524,-296.0265,-152.699,-225.5488,1073.188,560.1292,-152.699,-225.5488,827.4846,827.4846,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-36.97424,-15.71365,-52.68789
12.41662,0.01667,7.74281,2.05934,1,1,0,0,1,945.6865,960.9014,1,1,3854.761,0,-0,1,0,25.39754,-18.18867,-53.70199,16.7689,2.26744,1.80199,2.26744,1.80199,0.92623,0.92623,0.10226,0.10226,1.90296,-0.95058,-1.43344,-1.52232,404.1597,-35.78183,-213.706,-179.1423,203.2817,-247.9988,-92.77274,-238.0823,0.30765,0.78853,0.30765,0.78853,0.69851,0.22725,0.86156,0.64516,342.3603,-203.1203,-176.5013,-225.618,287.3164,-274.4858,-156.4171,-225.554,287.3164,-274.4858,-156.4171,-225.554,1086.195,578.6888,-156.4171,-225.554,826.6466,826.6466,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-37.83366,-15.86833,-53.70199
12.43328,0.01667,7.92721,2.10828,1,1,0,0,1,968.5283,959.0746,1,1,3854.761,0,-0,1,0,25.3695,-18.5344,-54.87025,16.76994,2.32099,1.84673,2.32099,1.84673,0.94701,0.94701,0.10744,0.10744,1.93043,-0.95427,-1.49496,-1.59055,447.0976,-42.49834,-236.8716,-199.321,172.8265,-237.1617,-80.59944,-236.1852,0.25512,0.74705,0.25512,0.74705,0.74998,0.26789,0.8852,0.66383,377.1257,-187.9224,-197.0036,-226.8605,307.09,-254.3018,-163.0854,-225.7277,307.09,-254.3018,-163.0854,-225.7277,1103.27,596.0165,-163.0854,-225.7277,825.7943,825.7943,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-38.7177,-16.15257,-54.87025
12.44995,0.01667,8.11068,2.15681,1,1,0,0,1,991.1816,963.415,1,1,3854.761,0,-0,1,0,25.34102,-18.8906,-56.19483,16.78634,2.37426,1.89094,2.37426,1.89094,0.96846,0.96846,0.11285,0.11285,1.94632,-0.97102,-1.55877,-1.66148,484.4322,-50.87545,-261.7814,-221.8287,142.0098,-228.6685,-68.13184,-233.16,0.20587,0.70398,0.20587,0.70398,0.79825,0.3101,0.90736,0.68321,413.9373,-176.0375,-221.9145,-229.8057,330.9165,-235.9438,-172.9919,-226.3422,330.9165,-235.9438,-172.9919,-226.3422,1124.003,611.6882,-172.9919,-226.3422,824.9286,824.9287,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-39.60518,-16.58965,-56.19483
12.46662,0.01667,8.29319,2.20492,1,1,0,0,1,1013.636,972.5003,1,1,3856.894,0,-0,1,0,25.31215,-19.2596,-57.69091,16.81648,2.42725,1.93457,2.42725,1.93457,0.99058,0.99058,0.1184,0.1184,1.95085,-1.00102,-1.62351,-1.7337,514.6923,-61.4793,-287.9661,-246.4306,112.0195,-222.1651,-55.59355,-228.8154,0.16052,0.6598,0.16052,0.6598,0.84269,0.3534,0.92777,0.70309,450.0563,-167.4991,-250.6663,-234.8082,357.8038,-219.7778,-186.28,-227.6868,357.8038,-219.7778,-186.28,-227.6868,1147.958,625.8293,-186.28,-227.6868,824.5067,824.5067,0,0,1928.447,1928.447,0,0,0,0,0,0,0,0,0,0,-40.49339,-17.19753,-57.69091
12.48328,0.01667,8.47547,2.25282,1,1,0,0,1,1035.935,985.1525,1,1,3876.484,0,-0,1,0,25.28283,-19.64577,-59.50464,16.85864,2.4801,1.97768,2.4801,1.97768,1.01342,1.01342,0.124,0.124,1.94436,-1.04442,-1.68778,-1.80574,536.7728,-75.01503,-314.831,-272.7879,83.89861,-217.2231,-43.26281,-222.9763,0.11956,0.61489,0.11956,0.61489,0.88283,0.39741,0.9462,0.7233,482.6252,-162.4577,-282.3612,-242.1591,386.31,-206.1083,-202.9093,-230.0531,386.31,-206.1083,-202.9093,-230.0531,1177.103,641.4325,-202.9093,-230.0531,827.7979,827.7978,0,0,1938.242,1938.242,0,0,0,0,0,0,0,0,0,0,-41.51797,-17.98668,-59.50464
12.49995,0.01667,8.65766,2.30056,1,1,0,0,1,1058.159,1000.445,1,1,3895.987,0,-0,1,0,25.25299,-20.0509,-61.41074,16.91091,2.53303,2.02039,2.53303,2.02039,1.03706,1.03706,0.12955,0.12955,1.92743,-1.10113,-1.75014,-1.8761,549.9794,-92.31388,-341.6737,-300.4745,58.56667,-213.2993,-31.48983,-215.501,0.08349,0.56952,0.08349,0.56952,0.91818,0.44187,0.96243,0.74371,508.9509,-161.2179,-315.7762,-252.0801,414.674,-195.235,-222.6358,-233.7241,414.674,-195.235,-222.6358,-233.7241,1206.09,654.468,-222.6358,-233.7241,831.0449,831.0449,0,0,1947.993,1947.993,0,0,0,0,0,0,0,0,0,0,-42.45206,-18.95868,-61.41074
12.51662,0.01667,8.83972,2.34817,1,1,0,0,1,1080.315,1017.664,1,1,3915.426,0,-0,1,0,25.22263,-20.47526,-63.36122,16.97013,2.58606,2.0627,2.58606,2.0627,1.06138,1.06138,0.13491,0.13491,1.90155,-1.16967,-1.80891,-1.94297,554.3214,-114.065,-367.5714,-328.8457,36.95669,-209.6348,-20.76463,-206.3247,0.05297,0.52405,0.05297,0.52405,0.94809,0.48643,0.97616,0.76418,526.9154,-164.1487,-349.2003,-264.6383,441.0122,-187.468,-244.9588,-238.949,441.0122,-187.468,-244.9588,-238.949,1233.219,664.6588,-244.9588,-238.949,834.2533,834.2533,0,0,1957.713,1957.713,0,0,0,0,0,0,0,0,0,0,-43.25811,-20.10312,-63.36122
12.53328,0.01667,9.02162,2.39568,1,1,0,0,1,1102.418,1036.275,1,1,3934.812,0,-0,1,0,25.19177,-20.91816,-65.29418,17.03281,2.63921,2.10466,2.63921,2.10466,1.08627,1.08627,0.13996,0.13996,1.86867,-1.24793,-1.86248,-2.00462,550.412,-140.8085,-391.5288,-357.1516,19.82884,-205.4504,-11.65143,-195.4543,0.0287,0.47879,0.0287,0.47879,0.97188,0.53078,0.98709,0.78454,535.1852,-171.7587,-380.627,-279.7319,463.5281,-183.1584,-269.1064,-245.9189,463.5281,-183.1584,-269.1064,-245.9189,1256.866,671.6869,-269.1064,-245.9189,837.4249,837.4248,0,0,1967.406,1967.406,0,0,0,0,0,0,0,0,0,0,-43.89834,-21.39584,-65.29418
