time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
15.69994,0.01667,9.79345,-1,-25.05566,23.6524,55.74152,-17.4084,2.26673,2.87507,2.26673,2.87507,-1.21533,-1.21533,-0.13841,-0.13841,1.97634,-1.50033,1.93992,1.78043,162.554,-492.0263,95.78772,146.8696,162.554,-492.0263,95.78772,146.8696,-703.1171,-1296.099,95.78772,146.8696,12.88088,-12.88088,7.89522,7.89522,-15.65457,7.58112,12.82469,12.82469,45.66074,10.08078,55.74152
15.7166,0.01667,9.98107,-1,-25.02103,23.86878,57.79322,-17.57338,2.31147,2.92514,2.31147,2.92514,-1.24208,-1.24208,-0.1557,-0.1557,2.05991,-1.4264,2.16879,1.98818,210.4052,-455.2818,139.412,197.9206,210.4052,-455.2818,139.412,197.9206,-662.6702,-1265.884,139.412,197.9206,0.2059,-0.2059,0.1262,0.1262,-0.2502,0.12132,0.205,0.205,43.77931,14.0139,57.79322
15.73327,0.01667,10.168,-1,-24.98596,24.1153,60.25715,-17.67754,2.35655,2.97618,2.35655,2.97618,-1.26663,-1.26663,-0.16973,-0.16973,2.11386,-1.3823,2.34946,2.15115,262.1997,-422.0226,190.8965,252.6999,262.1997,-422.0226,190.8965,252.6999,-618.6541,-1238.841,190.8965,252.6999,0,0,0,0,0,0,0,0,41.8287,18.42845,60.25715
15.74994,0.01667,10.35417,-1,-24.95052,24.39716,62.98669,-17.72042,2.40187,3.02831,2.40187,3.02831,-1.28899,-1.28899,-0.18002,-0.18002,2.13921,-1.36836,2.47614,2.26412,315.1868,-394.5987,247.311,307.6873,315.1868,-394.5987,247.311,307.6873,-573.5629,-1217.106,247.311,307.6873,0,0,0,0,0,0,0,0,39.93024,23.05645,62.98669
15.7666,0.01667,10.53967,-1,-24.9147,24.7156,65.8226,-17.70807,2.44735,3.08154,2.44735,3.08154,-1.30932,-1.30932,-0.18662,-0.18662,2.13914,-1.38185,2.55071,2.32892,366.4649,-374.4167,305.1311,359.8864,366.4649,-374.4167,305.1311,359.8864,-530.0254,-1201.958,305.1311,359.8864,0,0,0,0,0,0,0,0,38.19559,27.627,65.8226
15.78327,0.01667,10.72469,-1,-24.87849,25.06887,68.58838,-17.64935,2.49294,3.13582,2.49294,3.13582,-1.32793,-1.32793,-0.18985,-0.18985,2.11813,-1.41841,2.57837,2.35048,413.3187,-362.5747,360.7831,406.1889,413.3187,-362.5747,360.7831,406.1889,-490.5016,-1194.394,360.7831,406.1889,0,0,0,0,0,0,0,0,36.72585,31.86253,68.58838
15.79994,0.01667,10.90946,-1,-24.84186,25.45272,71.13599,-17.55515,2.5386,3.19102,2.5386,3.19102,-1.3452,-1.3452,-0.19025,-0.19025,2.08165,-1.47249,2.56718,2.33637,453.6104,-359.45,411.1507,444.412,453.6104,-359.45,411.1507,444.412,-456.9264,-1194.755,411.1507,444.412,0,0,0,0,0,0,0,0,35.59311,35.54288,71.13599
15.8166,0.01667,11.09428,-1,-24.80475,25.86105,73.36009,-17.43738,2.58429,3.24696,2.58429,3.24696,-1.36159,-1.36159,-0.18848,-0.18848,2.0356,-1.53785,2.52705,2.29581,485.975,-364.8227,453.9157,473.4001,485.975,-364.8227,453.9157,473.4001,-430.5343,-1202.84,453.9157,473.4001,0,0,0,0,0,0,0,0,34.83636,38.52373,73.36009
15.83327,0.01667,11.27939,-1,-24.76712,26.28682,75.20427,-17.30787,2.63,3.30347,2.63,3.30347,-1.37754,-1.37754,-0.18532,-0.18532,1.98587,-1.60817,2.46869,2.23872,509.9355,-377.8652,487.786,493.0384,509.9355,-377.8652,487.786,493.0384,-411.7529,-1217.892,487.786,493.0384,0,0,0,0,0,0,0,0,34.45761,40.74666,75.20427
15.84994,0.01667,11.46504,-1,-24.72893,26.72286,76.65937,-17.17741,2.67571,3.36033,2.67571,3.36033,-1.39349,-1.39349,-0.18153,-0.18153,1.93783,-1.6776,2.40253,2.17471,525.8256,-397.2019,512.5092,504.1169,525.8256,-397.2019,512.5092,504.1169,-400.2747,-1238.658,512.5092,504.1169,0,0,0,0,0,0,0,0,34.42541,42.23397,76.65937
15.8666,0.01667,11.65137,-1,-24.69012,27.16256,77.75546,-17.05492,2.72142,3.41737,2.72142,3.41737,-1.40981,-1.40981,-0.17779,-0.17779,1.89595,-1.74122,2.33777,2.11219,534.5828,-421.0263,528.7133,508.0997,534.5828,-421.0263,528.7133,508.0997,-395.2444,-1263.492,528.7133,508.0997,0,0,0,0,0,0,0,0,34.68285,43.07261,77.75546
15.88327,0.01667,11.83852,-1,-24.65067,27.60035,78.55039,-16.94706,2.76713,3.47443,2.76713,3.47443,-1.42679,-1.42679,-0.17467,-0.17467,1.86357,-1.79531,2.28181,2.05787,537.4753,-447.2686,537.6361,506.8559,537.4753,-447.2686,537.6361,506.8559,-395.5061,-1290.508,537.6361,506.8559,0,0,0,0,0,0,0,0,35.15878,43.39162,78.55039
15.89994,0.01667,12.02653,-1,-24.61057,28.03203,79.11616,-16.85803,2.81285,3.53139,2.81285,3.53139,-1.44461,-1.44461,-0.1726,-0.1726,1.84278,-1.83745,2.2399,2.01648,536.0731,-473.8017,540.9601,502.3965,536.0731,-473.8017,540.9601,502.3965,-399.6305,-1317.768,540.9601,502.3965,0,0,0,0,0,0,0,0,35.77171,43.34444,79.11616
15.9166,0.01667,12.21542,-1,-24.56979,28.45466,79.52293,-16.78962,2.85859,3.58817,2.85859,3.58817,-1.46337,-1.46337,-0.17181,-0.17181,1.83438,-1.8666,2.21502,1.99065,532.8477,-498.6599,541.0205,496.6496,532.8477,-498.6599,541.0205,496.6496,-405.3698,-1343.48,541.0205,496.6496,0,0,0,0,0,0,0,0,36.41472,43.10821,79.52293
