time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
27.36656,0.01667,7.89053,1,25.37615,-1.58318,-38.57059,1.10466,2.18048,2.14738,2.18048,2.14738,0.06399,0.06399,0.0054,0.0054,12.24549,12.10488,-0.07654,-0.07688,-170.2784,-118.674,-31.76081,-34.0559,-170.2784,-118.674,-31.76081,-34.0559,672.1476,718.7729,-31.76081,-34.0559,0,0,0,0,0,0,0,0,-35.83635,-2.73424,-38.57059
27.38322,0.01667,8.07768,1,25.3462,-2.38738,-56.01353,1.67038,2.24255,2.19216,2.24255,2.19216,0.09856,0.09856,0.00936,0.00936,12.06996,11.85738,-0.13171,-0.13261,228.9469,174.7765,-56.69749,-62.85592,228.9469,174.7765,-56.69749,-62.85592,1035.447,986.4915,-56.69749,-62.85592,0,0,0,0,0,0,0,0,-51.04689,-4.96664,-56.01353
27.39989,0.01667,8.25086,1,25.31788,-3.47439,-74.77959,2.44457,2.30367,2.22887,2.30367,2.22887,0.14707,0.14707,0.01466,0.01466,11.72261,11.40637,-0.20446,-0.20654,658.5884,482.2896,-81.18821,-100.9805,658.5884,482.2896,-81.18821,-100.9805,1427.462,1268.097,-81.18821,-100.9805,0,0,0,0,0,0,0,0,-67.21171,-7.56788,-74.77959
27.41656,0.01667,8.41098,1,25.29123,-4.82709,-92.51714,3.43031,2.36363,2.25722,2.36363,2.25722,0.21008,0.21008,0.0217,0.0217,11.19914,10.74424,-0.30029,-0.30469,1104.631,784.5592,-89.29882,-128.9769,1104.631,784.5592,-89.29882,-128.9769,1834.113,1544.721,-89.29882,-128.9769,0,0,0,0,0,0,0,0,-83.44926,-9.06789,-92.51714
27.43322,0.01667,8.55996,1,25.26613,-6.41468,-108.8829,4.62974,2.42197,2.27749,2.42197,2.27749,0.28748,0.28748,0.03171,0.03171,10.50118,9.87126,-0.43517,-0.4439,1553.068,1067.265,-88.42842,-146.972,1553.068,1067.265,-88.42842,-146.972,2242.709,1803.38,-88.42842,-146.972,0,0,0,0,0,0,0,0,-99.10361,-9.77931,-108.8829
27.44989,0.01667,8.70041,1,25.2423,-8.2066,-123.8122,6.03209,2.47836,2.29013,2.47836,2.29013,0.37857,0.37857,0.04535,0.04535,9.63754,8.79428,-0.61756,-0.63384,1990.169,1318.503,-85.11417,-160.7488,1990.169,1318.503,-85.11417,-160.7488,2640.813,2033.282,-85.11417,-160.7488,0,0,0,0,0,0,0,0,-113.5983,-10.21395,-123.8122
27.46656,0.01667,8.8356,1,25.21931,-10.16389,-136.4833,7.61322,2.53261,2.29579,2.53261,2.29579,0.482,0.482,0.06278,0.06278,8.62468,7.52794,-0.84832,-0.87665,2398.442,1506.311,-84.835,-175.2916,2398.442,1506.311,-84.835,-175.2916,3012.587,2205.491,-84.835,-175.2916,0,0,0,0,0,0,0,0,-125.6768,-10.80651,-136.4833
27.48322,0.01667,8.96971,1,25.19658,-12.21993,-144.8996,9.32438,2.5847,2.29578,2.5847,2.29578,0.59504,0.59504,0.08357,0.08357,7.49574,6.10718,-1.12096,-1.16696,2728.292,1578.511,-92.11393,-194.9461,2728.292,1578.511,-92.11393,-194.9461,3313.164,2272.783,-92.11393,-194.9461,0,0,0,0,0,0,0,0,-132.9742,-11.92542,-144.8996
27.49989,0.01667,9.10721,1,25.17336,-14.27747,-147.2404,11.07837,2.63491,2.29252,2.63491,2.29252,0.71273,0.71273,0.1066,0.1066,6.3112,4.6023,-1.41965,-1.48913,2913.75,1499.761,-110.109,-222.9406,2913.75,1499.761,-110.109,-222.9406,3482.877,2203.182,-110.109,-222.9406,0,0,0,0,0,0,0,0,-133.4045,-13.83597,-147.2404
27.51656,0.01667,9.25136,1,25.14893,-16.23177,-143.3569,12.75949,2.68384,2.28932,2.68384,2.28932,0.8285,0.8285,0.13008,0.13008,5.15263,3.11321,-1.7201,-1.8177,2914.711,1281.399,-139.8499,-260.5728,2914.711,1281.399,-139.8499,-260.5728,3485.489,2007.005,-139.8499,-260.5728,0,0,0,0,0,0,0,0,-126.722,-16.63487,-143.3569
27.53322,0.01667,9.40319,1,25.12287,-18.00444,-135.1276,14.25621,2.73229,2.28945,2.73229,2.28945,0.93588,0.93588,0.15193,0.15193,4.10024,1.74201,-1.99492,-2.12273,2740.883,982.6243,-179.7955,-306.7083,2740.883,982.6243,-179.7955,-306.7083,3329.866,1737.939,-179.7955,-306.7083,0,0,0,0,0,0,0,0,-114.9166,-20.21096,-135.1276
27.54989,0.01667,9.56177,1,25.09514,-19.56506,-125.4805,15.49534,2.78104,2.29513,2.78104,2.29513,1.03054,1.03054,0.17035,0.17035,3.20863,0.56088,-2.22087,-2.37789,2444.662,681.4448,-226.1407,-358.2516,2444.662,681.4448,-226.1407,-358.2516,3063.506,1466.728,-226.1407,-358.2516,0,0,0,0,0,0,0,0,-101.203,-24.27757,-125.4805
27.56656,0.01667,9.72525,1,25.06597,-20.92873,-116.8921,16.45708,2.83067,2.30709,2.83067,2.30709,1.11107,1.11107,0.18419,0.18419,2.49553,-0.40447,-2.38408,-2.56676,2092.595,436.9301,-274.3068,-411.1071,2092.595,436.9301,-274.3068,-411.1071,2746.7,1246.964,-274.3068,-411.1071,0,0,0,0,0,0,0,0,-88.41773,-28.47434,-116.8921
27.58322,0.01667,9.89204,1,25.03567,-22.12175,-109.3933,17.16237,2.88148,2.32494,2.88148,2.32494,1.17835,1.17835,0.19313,0.19313,1.95013,-1.16507,-2.48132,-2.68458,1739.434,234.0525,-320.5622,-461.2006,1739.434,234.0525,-320.5622,-461.2006,2429.034,1065.091,-320.5622,-461.2006,0,0,0,0,0,0,0,0,-76.91631,-32.47699,-109.3933
27.59989,0.01667,10.06125,1,25.00443,-23.15943,-102.4154,17.64198,2.93354,2.34823,2.93354,2.34823,1.23362,1.23362,0.19747,0.19747,1.55585,-1.73871,-2.51785,-2.736,1418.098,46.79753,-362.1382,-505.1599,1418.098,46.79753,-362.1382,-505.1599,2140.32,897.5447,-362.1382,-505.1599,0,0,0,0,0,0,0,0,-66.38498,-36.0304,-102.4154
27.61656,0.01667,10.23254,1,24.97234,-24.05333,-95.849,17.92911,2.98675,2.37653,2.98675,2.37653,1.27816,1.27816,0.19791,0.19791,1.29468,-2.14462,-2.50404,-2.73147,1143.775,-130.2793,-397.2697,-540.672,1143.775,-130.2793,-397.2697,-540.672,1894.325,739.3806,-397.2697,-540.672,0,0,0,0,0,0,0,0,-56.88384,-38.96517,-95.849
27.63322,0.01667,10.40586,1,24.93944,-24.81514,-89.74811,18.05837,3.04096,2.4094,3.04096,2.4094,1.31341,1.31341,0.19537,0.19537,1.14683,-2.40459,-2.45244,-2.6842,918.2703,-293.9223,-425.298,-566.5908,918.2703,-293.9223,-425.298,-566.5908,1692.69,593.5293,-425.298,-566.5908,0,0,0,0,0,0,0,0,-48.54179,-41.20631,-89.74811
27.64989,0.01667,10.58135,1,24.90569,-25.45791,-84.23457,18.06341,3.09598,2.44632,3.09598,2.44632,1.34084,1.34084,0.19077,0.19077,1.09205,-2.5417,-2.37557,-2.60766,738.8857,-438.375,-446.0858,-582.6544,738.8857,-438.375,-446.0858,-582.6544,1532.967,465.189,-446.0858,-582.6544,0,0,0,0,0,0,0,0,-41.49734,-42.73724,-84.23457
27.66656,0.01667,10.75917,1,24.87105,-25.9969,-79.46323,17.97631,3.15163,2.48676,3.15163,2.48676,1.362,1.362,0.185,0.185,1.10993,-2.58001,-2.28517,-2.51472,602.3918,-558.3295,-459.5437,-589.8817,602.3918,-558.3295,-459.5437,-589.8817,1412.226,359.1534,-459.5437,-589.8817,0,0,0,0,0,0,0,0,-35.86666,-43.59657,-79.46323
27.68322,0.01667,10.93941,1,24.83549,-26.44916,-75.57634,17.82682,3.20772,2.53011,3.20772,2.53011,1.37844,1.37844,0.17888,0.17888,1.18061,-2.54368,-2.19154,-2.41687,504.5807,-649.8596,-466.0802,-589.8903,504.5807,-649.8596,-466.0802,-589.8903,1326.642,278.9673,-466.0802,-589.8903,0,0,0,0,0,0,0,0,-31.70787,-43.86847,-75.57634
27.69989,0.01667,11.12203,1,24.79897,-26.83373,-72.70729,17.64157,3.26409,2.57573,3.26409,2.57573,1.39166,1.39166,0.17308,0.17308,1.28529,-2.45629,-2.10308,-2.32359,440.9253,-710.9809,-467.2654,-584.4966,440.9253,-710.9809,-467.2654,-584.4966,1272.1,226.4164,-467.2654,-584.4966,0,0,0,0,0,0,0,0,-29.01365,-43.69364,-72.70729
27.71656,0.01667,11.30685,1,24.76151,-27.16962,-70.86514,17.44328,3.3206,2.623,3.3206,2.623,1.40307,1.40307,0.16812,0.16812,1.4071,-2.33963,-2.02602,-2.24204,406.6589,-743.3573,-464.5996,-575.4152,406.6589,-743.3573,-464.5996,-575.4152,1244.261,199.9789,-464.5996,-575.4152,0,0,0,0,0,0,0,0,-27.65952,-43.20562,-70.86514
27.73322,0.01667,11.49362,1,24.72314,-27.47454,-69.9883,17.25014,3.37715,2.67132,3.37715,2.67132,1.41389,1.41389,0.16438,0.16438,1.53178,-2.21252,-1.9646,-2.17719,396.7305,-750.7718,-459.6635,-564.2691,396.7305,-750.7718,-459.6635,-564.2691,1238.531,196.2099,-459.6635,-564.2691,0,0,0,0,0,0,0,0,-27.45078,-42.53751,-69.9883
