time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
8.21663,0.01667,9.94376,1,25.02617,-22.45637,-107.2563,17.32879,2.89738,2.33159,2.89738,2.33159,1.19639,1.19639,0.19478,0.19478,1.81586,-1.35792,-2.49675,-2.70504,500.2708,-276.3563,-533.5179,-725.934,0,-1063.06,0,-576.4196,0,0.24507,0,0.24507,1,0.75983,1,0.88972,500.2708,-469.151,-533.5179,-689.293,1639.098,177.6074,-333.2113,-474.774,1639.098,177.6074,-333.2113,-474.774,2338.864,1014.586,-333.2113,-474.774,853.6536,853.6536,0,0,2017.94,2017.94,0,0,0,0,0,0,0,0,0,0,-73.68991,-33.56635,-107.2563
8.2333,0.01667,10.11362,1,24.99466,-23.44929,-100.3851,17.74772,2.94978,2.35642,2.94978,2.35642,1.24832,1.24832,0.19791,0.19791,1.46313,-1.87946,-2.51749,-2.73899,334.37,-520.018,-547.0538,-746.9333,0,-962.3812,0,-520,0,0.22199,0,0.22199,1,0.78245,1,0.9001,334.37,-618.2202,-547.0538,-696.5554,1330.712,-6.95662,-372.9796,-516.3648,1330.712,-6.95662,-372.9796,-516.3648,2061.919,849.5269,-372.9796,-516.3648,855.832,855.832,0,0,2025.475,2025.475,0,0,0,0,0,0,0,0,0,0,-63.43887,-36.94628,-100.3851
8.24997,0.01667,10.28552,1,24.96233,-24.30164,-93.93764,17.98432,3.0033,2.38614,3.0033,2.38614,1.28993,1.28993,0.19739,0.19739,1.23787,-2.23937,-2.49151,-2.72076,243.9805,-733.1951,-548.0917,-743.7682,0,-842.1371,0,-454.7914,0,0.19537,0,0.19537,1,0.80854,1,0.91209,243.9805,-754.4786,-548.0917,-687.3122,1071.271,-180.9325,-406.0048,-549.0867,1071.271,-180.9325,-406.0048,-549.0867,1829.445,694.2155,-406.0048,-549.0867,858.2462,858.2462,0,0,2033.651,2033.651,0,0,0,0,0,0,0,0,0,0,-54.26001,-39.67762,-93.93764
8.26663,0.01667,10.45949,1,24.92917,-25.02546,-87.98574,18.07313,3.05776,2.42029,3.05776,2.42029,1.32268,1.32268,0.19417,0.19417,1.11998,-2.46,-2.43151,-2.66381,202.2248,-887.5436,-539.6896,-721.4545,0,-709.5231,0,-383.5723,0,0.16625,0,0.16625,1,0.83708,1,0.92519,202.2248,-857.9477,-539.6896,-665.2816,859.6346,-339.8279,-431.9405,-572.0594,859.6346,-339.8279,-431.9405,-572.0594,1640.411,552.7033,-431.9405,-572.0594,860.8693,860.8693,0,0,2042.406,2042.406,0,0,0,0,0,0,0,0,0,0,-46.27629,-41.70944,-87.98574
8.2833,0.01667,10.63568,1,24.89516,-25.63451,-82.67635,18.04733,3.11298,2.45834,3.11298,2.45834,1.34806,1.34806,0.18916,0.18916,1.08919,-2.56471,-2.3498,-2.58148,192.5193,-975.347,-524.663,-687.0224,0,-572.064,0,-310.3197,0,0.13587,0,0.13587,1,0.86685,1,0.93886,192.5193,-920.554,-524.663,-635.8407,693.4034,-477.7282,-450.6345,-585.4134,693.4034,-477.7282,-450.6345,-585.4134,1492.643,430.333,-450.6345,-585.4134,863.6705,863.6705,0,0,2051.673,2051.673,0,0,0,0,0,0,0,0,0,0,-39.63552,-43.04082,-82.67635
8.29997,0.01667,10.81423,1,24.86024,-26.14477,-78.15515,17.9384,3.16877,2.49973,3.16877,2.49973,1.36762,1.36762,0.18323,0.18323,1.12514,-2.57778,-2.25768,-2.4862,206.2779,-1002.182,-502.6971,-647.5269,0,-437.7237,0,-238.9438,0,0.10557,0,0.10557,1,0.89654,1,0.95249,206.2779,-942.5908,-502.6971,-604.3916,568.891,-589.7295,-462.06,-590.3571,568.891,-589.7295,-462.06,-590.3571,1382.791,331.5329,-462.06,-590.3571,866.6157,866.6157,0,0,2061.377,2061.377,0,0,0,0,0,0,0,0,0,0,-34.43431,-43.72085,-78.15515
8.31663,0.01667,10.99521,1,24.82438,-26.5738,-74.5623,17.77528,3.22496,2.54385,3.22496,2.54385,1.38291,1.38291,0.17716,0.17716,1.20819,-2.52327,-2.16498,-2.38901,238.5796,-974.2983,-481.4,-607.8874,0,-311.459,0,-172.4558,0,0.07678,0,0.07678,1,0.92475,1,0.96545,238.5796,-923.4024,-481.4,-574.4529,481.7648,-672.4132,-466.8734,-588.6354,481.7648,-672.4132,-466.8734,-588.6354,1306.919,259.3878,-466.8734,-588.6354,869.6693,869.6693,0,0,2071.439,2071.439,0,0,0,0,0,0,0,0,0,0,-30.71301,-43.84929,-74.5623
8.3333,0.01667,11.17852,1,24.78757,-26.94104,-72.0104,17.58357,3.28139,2.59005,3.28139,2.59005,1.39542,1.39542,0.17157,0.17157,1.32001,-2.42443,-2.07946,-2.29867,285.0599,-911.2562,-462.1881,-570.7845,0,-201.6755,0,-113.4774,0,0.05092,0,0.05092,1,0.9501,1,0.97709,285.0599,-875.125,-462.1881,-547.4988,427.4428,-724.6346,-466.8031,-582.0571,427.4428,-724.6346,-466.8031,-582.0571,1260.858,214.923,-466.8031,-582.0571,872.796,872.796,0,0,2081.778,2081.778,0,0,0,0,0,0,0,0,0,0,-28.43731,-43.57309,-72.0104
8.34997,0.01667,11.36398,1,24.74983,-27.26527,-70.47674,17.38476,3.33792,2.63771,3.33792,2.63771,1.4065,1.4065,0.16694,0.16694,1.44437,-2.30234,-2.00672,-2.2217,341.1698,-829.7203,-446.6429,-538.944,0,-113.2126,0,-64.7869,0,0.02929,0,0.02929,1,0.9713,1,0.98682,341.1698,-808.7332,-446.6429,-525.0555,401.0654,-748.9572,-463.3465,-572.2816,401.0654,-748.9572,-463.3465,-572.2816,1240.187,195.8006,-463.3465,-572.2816,875.9619,875.9619,0,0,2092.314,2092.314,0,0,0,0,0,0,0,0,0,0,-27.45335,-43.02338,-70.47674
8.36663,0.01667,11.55128,1,24.71119,-27.5636,-69.87782,17.19564,3.39445,2.68626,3.39445,2.68626,1.41732,1.41732,0.16362,0.16362,1.56788,-2.17481,-1.95049,-2.16244,401.6192,-743.6874,-435.9733,-514.0988,0,-49.16945,0,-28.62601,0,0.01303,0,0.01303,1,0.98723,1,0.99414,401.6192,-734.6368,-435.9733,-507.7723,397.4631,-749.707,-458.0771,-560.862,397.4631,-749.707,-458.0771,-560.862,1240.202,198.0826,-458.0771,-560.862,879.1364,879.1364,0,0,2102.973,2102.973,0,0,0,0,0,0,0,0,0,0,-27.54775,-42.33007,-69.87782
