time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
4.86665,0.01667,5.63952,1.49346,-1,1,0,0,1,1520,1888.856,0.99341,1,4365.81,0,-0,1,0,-25.6771,14.23364,54.24363,-13.08935,1.28326,1.64482,1.28326,1.64482,-0.70826,-0.70826,-0.06819,-0.06819,1.29709,-1.12821,1.07496,1.03431,5.52183,-21.71018,84.18443,81.0568,399.0145,-310.5452,217.5715,188.3804,1,0.9115,1,0.9115,0.01966,0.10673,0.54077,0.58983,399.0145,-284.983,217.5715,178.8822,392.0531,-234.9143,187.9422,168.8371,392.0531,-234.9143,187.9422,168.8371,-592.5123,-1157.567,187.9422,168.8371,-945.8503,-945.8503,0,0,2182.905,2182.905,0,0,0,0,0,0,0,0,0,0,39.42185,14.82178,54.24363
4.88331,0.01667,5.85343,1.55099,-1,1,0,0,1,1393.334,1779.968,0.99981,1,4254.84,0,-0,1,0,-25.65212,14.68508,53.41784,-13.51022,1.33565,1.70924,1.33565,1.70924,-0.73186,-0.73186,-0.0705,-0.0705,1.27836,-1.20752,1.10572,1.06141,5.44947,-35.23975,89.30469,87.93384,396.0484,-319.921,223.3591,184.6648,1,0.86599,1,0.86599,0.01991,0.15133,0.54754,0.61031,396.0484,-281.7701,223.3591,171.7017,393.2175,-246.5216,194.3443,169.7091,393.2175,-246.5216,194.3443,169.7091,-566.5112,-1143.197,194.3443,169.7091,-920.9728,-920.9727,0,0,2127.42,2127.42,0,0,0,0,0,0,0,0,0,0,38.29388,15.12397,53.41784
4.89998,0.01667,6.06059,1.60677,-1,1,0,0,1,1266.667,1643.091,1,1,4143.869,0,-0,1,0,-25.62711,15.10792,52.50312,-13.91016,1.38665,1.77154,1.38665,1.77154,-0.75425,-0.75425,-0.0729,-0.0729,1.25289,-1.28743,1.13739,1.08936,5.27998,-53.18179,93.94843,95.59959,391.0029,-325.4608,229.2317,179.2976,1,0.81533,1,0.81533,0.02,0.20097,0.54999,0.6331,391.0029,-275.18,229.2317,163.8413,392.9957,-253.8773,200.6423,168.958,392.9957,-253.8773,200.6423,168.958,-541.8014,-1125.04,200.6423,168.958,-896.1373,-896.1373,0,0,2071.935,2071.935,0,0,0,0,0,0,0,0,0,0,37.14872,15.35441,52.50312
4.91665,0.01667,6.26108,1.66083,-1,1,0,0,1,1140,1509.44,1,1,4032.899,0,-0,1,0,-25.60212,15.50196,51.53372,-14.28939,1.4363,1.83173,1.4363,1.83173,-0.77542,-0.77542,-0.0754,-0.0754,1.22047,-1.3682,1.17023,1.1184,5.84148,-75.80617,98.72908,104.0663,382.7308,-326.8916,234.6354,172.6059,0.99675,0.76121,0.99675,0.76121,0.02319,0.25401,0.55146,0.65745,381.5043,-266.9361,234.1931,156.2396,390.856,-257.5013,206.7601,166.9024,390.856,-257.5013,206.7601,166.9024,-518.8661,-1103.565,206.7601,166.9024,-871.3465,-871.3465,0,0,2016.449,2016.449,0,0,0,0,0,0,0,0,0,0,36.01056,15.52316,51.53372
4.93331,0.01667,6.45495,1.71317,-1,1,0,0,1,1013.333,1378.096,1,1,3921.928,0,-0,1,0,-25.57725,15.86784,50.56254,-14.64856,1.48459,1.88984,1.48459,1.88984,-0.79539,-0.79539,-0.078,-0.078,1.18137,-1.44977,1.20442,1.14872,7.83399,-103.4952,104.3308,113.2881,369.6568,-325.06,238.5005,164.7911,0.98674,0.70507,0.98674,0.70507,0.033,0.30903,0.55597,0.68272,364.8581,-259.7148,236.7211,149.6015,385.5793,-258.4196,212.3067,163.929,385.5793,-258.4196,212.3067,163.929,-498.8083,-1079.698,212.3067,163.929,-846.6024,-846.6023,0,0,1960.964,1960.964,0,0,0,0,0,0,0,0,0,0,34.93248,15.63006,50.56254
4.94998,0.01667,6.64346,1.76409,-1,1,0,0,1,900,1250.653,1,1,3854.761,0,-0,1,0,-25.55255,16.21098,50.11646,-14.98905,1.53152,1.94586,1.53152,1.94586,-0.81423,-0.81423,-0.08073,-0.08073,1.13665,-1.53148,1.2402,1.18056,10.70419,-136.2924,110.8109,123.3468,352.7047,-319.8338,241.0313,156.209,0.97101,0.64814,0.97101,0.64814,0.04841,0.36482,0.56304,0.70834,342.7915,-255.2537,237.2567,144.6462,376.5103,-257.852,216.9946,160.5018,376.5103,-257.852,216.9946,160.5018,-491.67,-1063.985,216.9946,160.5018,-831.3539,-831.354,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,34.43402,15.68244,50.11646
4.96665,0.01667,6.83126,1.81475,-1,1,0,0,1,900,1148.21,1,1,3854.761,0,-0,1,0,-25.52756,16.54826,50.47901,-15.32581,1.57788,2.001,1.57788,2.001,-0.83275,-0.83275,-0.08372,-0.08372,1.09235,-1.60974,1.27955,1.21573,14.14902,-174.0096,118.5697,134.7132,334.1678,-310.2029,242.6728,146.982,0.95013,0.59021,0.95013,0.59021,0.06888,0.4216,0.57244,0.73441,318.2077,-254.3921,236.4834,141.9543,363.7735,-257.0052,220.7052,157.1049,363.7735,-257.0052,220.7052,157.1049,-502.3343,-1062.511,220.7052,157.1049,-830.5955,-830.5955,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,34.78354,15.69547,50.47901
4.98331,0.01667,7.01863,1.8652,-1,1,0,0,1,900,1070.767,1,1,3854.761,0,-0,1,0,-25.50201,16.8823,50.9307,-15.66774,1.62411,2.05589,1.62411,2.05589,-0.85143,-0.85143,-0.08707,-0.08707,1.05251,-1.682,1.32368,1.25532,18.01812,-216.056,127.9853,147.8037,315.4081,-295.7345,243.7191,137.1659,0.92445,0.5314,0.92445,0.5314,0.09404,0.47923,0.584,0.76087,292.9415,-258.3968,234.9758,142.1508,348.0161,-257.0387,223.4632,154.2493,348.0161,-257.0387,223.4632,154.2493,-515.7109,-1061.815,223.4632,154.2493,-829.8198,-829.8199,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,35.23929,15.69141,50.9307
4.99998,0.01667,7.20554,1.91541,-1,1,0,0,1,900,1018.324,1,1,3854.761,0,-0,1,0,-25.47591,17.2149,51.489,-16.01641,1.67015,2.11053,1.67015,2.11053,-0.87037,-0.87037,-0.09077,-0.09077,1.01867,-1.74715,1.37272,1.29943,22.23326,-261.3448,139.2276,162.7527,297.3507,-276.6477,244.1509,126.7494,0.89451,0.47246,0.89451,0.47246,0.12338,0.53699,0.59747,0.78739,268.3293,-268.5748,233.0828,145.7425,330.0626,-259.1676,225.3585,152.4486,330.0626,-259.1676,225.3585,152.4486,-531.0581,-1062.995,225.3585,152.4486,-829.0275,-829.0275,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,35.79366,15.69534,51.489
5.01665,0.01667,7.39191,1.96536,-1,1,0,0,1,901.8613,989.7408,1,1,3854.761,0,-0,1,0,-25.44929,17.54809,52.17211,-16.37317,1.71593,2.16491,1.71593,2.16491,-0.88965,-0.88965,-0.09485,-0.09485,0.99234,-1.80413,1.42661,1.34797,26.82399,-308.4964,152.4876,179.6949,280.5346,-253.4991,243.9657,115.7588,0.86084,0.41415,0.86084,0.41415,0.15638,0.59413,0.61262,0.81363,245.2271,-285.7194,231.2352,153.2159,310.7639,-264.5394,226.5432,152.2142,310.7639,-264.5394,226.5432,152.2142,-547.6095,-1067.089,226.5432,152.2142,-828.2188,-828.2187,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,36.43728,15.73482,52.17211
