time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
11.88329,0.01667,5.86965,1.56978,-1,1,0,0,1,1393.334,1779.939,0.99981,1,4254.84,0,-0,1,0,-25.65033,-14.76214,-53.28509,-12.27753,1.35261,1.72825,1.35261,1.72825,-0.68795,-0.68795,-0.02297,-0.02297,0.54243,-1.92159,0.35963,0.34503,0.98267,-98.0645,9.51758,10.5689,158.9255,-532.757,68.58087,62.5685,1,0.85117,1,0.85117,0.01996,0.16585,0.54883,0.61697,158.9255,-468.0626,68.58087,54.82951,211.347,-410.2361,83.2044,83.19082,211.347,-410.2361,83.2044,83.19082,-730.3936,-1290.721,83.2044,83.19082,-920.9128,-920.9128,0,0,2127.42,2127.42,0,0,0,0,0,0,0,0,0,0,-46.37249,-6.9126,-53.28509
11.89995,0.01667,6.07871,1.62724,-1,1,0,0,1,1266.667,1643.073,1,1,4143.869,0,-0,1,0,-25.62503,-15.17991,-52.33239,-12.5668,1.40532,1.79213,1.40532,1.79213,-0.70605,-0.70605,-0.0213,-0.0213,0.4491,-2.06305,0.33168,0.31749,0.696,-147.6002,8.09213,9.26455,133.0486,-541.1838,63.24132,54.0152,0.99964,0.79734,0.99964,0.79734,0.02035,0.2186,0.55016,0.6412,133.0007,-461.4214,63.22137,44.94617,193.8616,-423.0361,79.68961,76.4313,193.8616,-423.0361,79.68961,76.4313,-721.2756,-1277.497,79.68961,76.4313,-896.0696,-896.0696,0,0,2071.935,2071.935,0,0,0,0,0,0,0,0,0,0,-45.84662,-6.48577,-52.33239
11.91662,0.01667,6.2812,1.68304,-1,1,0,0,1,1140,1509.429,1,1,4032.899,0,-0,1,0,-25.59974,-15.56895,-51.36788,-12.83057,1.45674,1.85396,1.45674,1.85396,-0.72274,-0.72274,-0.01954,-0.01954,0.34633,-2.20745,0.30265,0.28908,0.5472,-210.3017,6.75503,7.95883,103.0689,-542.9299,57.3619,45.71832,0.99331,0.74014,0.99331,0.74014,0.02656,0.27467,0.55301,0.66694,102.3826,-456.4916,57.02312,35.90597,173.4693,-431.3656,75.71275,69.20163,173.4693,-431.3656,75.71275,69.20163,-714.8303,-1260.291,75.71275,69.20163,-871.271,-871.2709,0,0,2016.449,2016.449,0,0,0,0,0,0,0,0,0,0,-45.34766,-6.02022,-51.36788
11.93329,0.01667,6.47716,1.73717,-1,1,0,0,1,1013.333,1378.089,1,1,3921.928,0,-0,1,0,-25.57454,-15.93056,-50.44176,-13.06994,1.50686,1.91377,1.50686,1.91377,-0.73805,-0.73805,-0.0177,-0.0177,0.23499,-2.35427,0.27272,0.25995,0.38105,-286.51,5.53167,6.66863,69.78069,-537.5643,51.02688,37.88426,0.97998,0.68104,0.97998,0.68104,0.03961,0.33258,0.55901,0.69353,68.39163,-457.4875,50.11628,27.92766,149.9367,-437.516,71.21303,61.7828,149.9367,-437.516,71.21303,61.7828,-711.2721,-1241.169,71.21303,61.7828,-846.5187,-846.5186,0,0,1960.964,1960.964,0,0,0,0,0,0,0,0,0,0,-44.91668,-5.52508,-50.44176
11.94995,0.01667,6.6678,1.78991,-1,1,0,0,1,900,1250.648,1,1,3854.761,0,-0,1,0,-25.54949,-16.27078,-50.07912,-13.28685,1.55564,1.97156,1.55564,1.97156,-0.7521,-0.7521,-0.01581,-0.01581,0.11675,-2.50239,0.2422,0.23041,0.14075,-376.4855,4.41913,5.4206,34.37629,-525.927,44.44329,30.66407,0.96078,0.62133,0.96078,0.62133,0.05843,0.3911,0.56765,0.7204,33.03368,-469.338,42.87368,21.10511,123.5834,-444.3854,66.20771,54.42365,123.5834,-444.3854,66.20771,54.42365,-719.7625,-1232.191,66.20771,54.42365,-831.2611,-831.2611,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-45.0677,-5.01142,-50.07912
11.96662,0.01667,6.8577,1.84242,-1,1,0,0,1,900,1148.208,1,1,3854.761,0,-0,1,0,-25.52414,-16.60708,-50.56237,-13.49691,1.60387,2.02851,1.60387,2.02851,-0.76571,-0.76571,-0.01399,-0.01399,-0.00173,-2.64769,0.21315,0.2024,-0.00004,-480.0341,3.48019,4.32287,0,-506.64,38.13012,24.33486,0.93626,0.56083,0.93626,0.56083,0.08246,0.45039,0.57868,0.74763,-0.00004,-494.9555,35.92169,15.54621,95.39973,-454.989,60.81553,47.34573,95.39973,-454.989,60.81553,47.34573,-744.4025,-1241.075,60.81553,47.34573,-830.4916,-830.4916,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-46.069,-4.49337,-50.56237
11.98329,0.01667,7.04711,1.89472,-1,1,0,0,1,900,1070.768,1,1,3854.761,0,-0,1,0,-25.49822,-16.94267,-51.1755,-13.70954,1.65194,2.08525,1.65194,2.08525,-0.7794,-0.7794,-0.01233,-0.01233,-0.11593,-2.78724,0.18684,0.17707,-0.26743,-596.1419,2.72748,3.41645,-32.95064,-479.2499,32.39102,18.99354,0.90685,0.49973,0.90685,0.49973,0.11129,0.51027,0.59192,0.77512,-29.90609,-537.7276,29.62776,11.20078,66.6034,-472.3763,55.22248,40.7291,66.6034,-472.3763,55.22248,40.7291,-769.5884,-1256.071,55.22248,40.7291,-829.7046,-829.7045,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-47.18936,-3.98614,-51.1755
11.99995,0.01667,7.23592,1.94677,-1,1,0,0,1,900,1018.327,1,1,3854.761,0,-0,1,0,-25.47175,-17.27991,-51.9332,-13.92724,1.69979,2.14178,1.69979,2.14178,-0.7933,-0.7933,-0.01086,-0.01086,-0.22357,-2.91929,0.16364,0.1548,-1.28632,-722.645,2.13996,2.69307,-61.83602,-444.4188,27.33922,14.60872,0.87313,0.43887,0.87313,0.43887,0.14433,0.56991,0.60709,0.80251,-54.15408,-600.5406,24.14219,7.92246,38.60459,-499.6196,49.61226,34.69448,38.60459,-499.6196,49.61226,34.69448,-794.0489,-1279.956,49.61226,34.69448,-828.901,-828.9011,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-48.43082,-3.50238,-51.9332
12.01662,0.01667,7.42398,1.9985,-1,1,0,0,1,916.854,990.8864,1,1,3854.761,0,-0,1,0,-25.44477,-17.62131,-52.84901,-14.15288,1.74731,2.19805,1.74731,2.19805,-0.80756,-0.80756,-0.00961,-0.00961,-0.32207,-3.04189,0.1441,0.13606,-3.33819,-856.4914,1.70073,2.14323,-86.12959,-403.1492,23.07291,11.12082,0.83574,0.37908,0.83574,0.37908,0.18097,0.6285,0.62392,0.82942,-72.53028,-684.6398,19.56232,5.54643,12.60197,-539.4473,44.15462,29.30958,12.60197,-539.4473,44.15462,29.30958,-816.702,-1315.202,44.15462,29.30958,-828.0815,-828.0815,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-49.79707,-3.05194,-52.84901
12.03329,0.01667,7.61116,2.04984,-1,1,0,0,1,940.8101,975.8322,1,1,3854.761,0,-0,1,0,-25.41731,-17.96933,-53.92968,-14.22449,1.7944,2.25404,1.7944,2.25404,-0.82234,-0.82234,-0.00865,-0.00865,-0.40875,-3.15296,0.12891,0.12149,-6.53584,-993.8286,1.39678,1.75769,-104.9967,-356.7705,19.67337,8.44379,0.79532,0.32118,0.79532,0.32118,0.22059,0.68525,0.64211,0.85547,-84.84379,-789.2212,15.93253,3.9051,-10.42189,-593.8513,38.99821,24.5978,-10.42189,-593.8513,38.99821,24.5978,-836.6603,-1363.617,38.99821,24.5978,-827.2472,-827.2471,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-51.2877,-2.64199,-53.92968
