time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
10.96662,0.01667,10.45955,-1,-24.92916,25.02557,87.9838,-18.07338,2.4203,3.05778,2.4203,3.05778,-1.3227,-1.3227,-0.19419,-0.19419,2.46018,-1.11983,2.66399,2.43167,887.7198,-202.1821,721.4863,539.7045,709.5267,0,383.5223,0,0.16624,0,0.16624,0,0.83708,1,0.92519,1,858.0969,-202.1821,665.3029,539.7045,339.8599,-859.6617,572.0403,431.9262,339.8599,-859.6617,572.0403,431.9262,-552.675,-1640.437,572.0403,431.9262,-860.8701,-860.8701,0,0,2042.409,2042.409,0,0,0,0,0,0,0,0,0,0,46.27575,41.70805,87.9838
10.98329,0.01667,10.63574,-1,-24.89514,25.63458,82.67388,-18.04756,2.45835,3.113,2.45835,3.113,-1.34808,-1.34808,-0.18918,-0.18918,2.56488,-1.08905,2.58167,2.34998,975.5328,-192.4754,687.0676,524.6891,572.0652,0,310.2795,0,0.13586,0,0.13586,0,0.86686,1,0.93886,1,920.7181,-192.4754,635.8777,524.6891,477.7915,-693.4123,585.404,450.6276,477.7915,-693.4123,585.404,450.6276,-430.2763,-1492.651,585.404,450.6276,-863.6713,-863.6713,0,0,2051.676,2051.676,0,0,0,0,0,0,0,0,0,0,39.63374,43.04014,82.67388
10.99996,0.01667,10.81429,-1,-24.86023,26.14479,78.15252,-17.93861,2.49974,3.16879,2.49974,3.16879,-1.36764,-1.36764,-0.18325,-0.18325,2.57791,-1.12501,2.4864,2.25785,1002.348,-206.2398,647.5764,502.7299,437.7166,0,238.9097,0,0.10556,0,0.10556,0,0.89655,1,0.9525,1,942.7431,-206.2398,604.4358,502.7299,589.8151,-568.8872,590.3574,462.0605,589.8151,-568.8872,590.3574,462.0605,-331.456,-1382.788,590.3574,462.0605,-866.6165,-866.6165,0,0,2061.38,2061.38,0,0,0,0,0,0,0,0,0,0,34.43164,43.72088,78.15252
11.01662,0.01667,10.99527,-1,-24.82437,26.57377,74.55972,-17.77545,2.54386,3.22497,2.54386,3.22497,-1.38293,-1.38293,-0.17717,-0.17717,2.52337,-1.20809,2.38919,2.16515,974.4448,-238.5464,607.9341,481.4319,311.4485,0,172.4267,0,0.07678,0,0.07678,0,0.92476,1,0.96545,1,923.5423,-238.5464,574.4974,481.4319,672.5126,-481.7528,588.6442,466.8804,672.5126,-481.7528,588.6442,466.8804,-259.2982,-1306.908,588.6442,466.8804,-869.6699,-869.6699,0,0,2071.441,2071.441,0,0,0,0,0,0,0,0,0,0,30.70977,43.84995,74.55972
11.03329,0.01667,11.17858,-1,-24.78756,26.94098,72.00817,-17.58371,2.59007,3.2814,2.59007,3.2814,-1.39543,-1.39543,-0.17158,-0.17158,2.42449,-1.31994,2.29884,2.07961,911.3623,-285.0364,570.8297,462.2205,201.6598,0,113.4551,0,0.05091,0,0.05091,0,0.95011,1,0.97709,1,875.2301,-285.0364,547.5439,462.2205,724.7369,-427.4273,582.0728,466.8153,724.7369,-427.4273,582.0728,466.8153,-214.8307,-1260.844,582.0728,466.8153,-872.7966,-872.7966,0,0,2081.78,2081.78,0,0,0,0,0,0,0,0,0,0,28.43393,43.57424,72.00817
11.04996,0.01667,11.36404,-1,-24.74982,27.26518,70.47514,-17.38484,2.63773,3.33793,2.63773,3.33793,-1.40651,-1.40651,-0.16696,-0.16696,2.30235,-1.44434,2.22185,2.00686,829.7826,-341.1611,538.9854,446.6739,113.1943,0,64.76981,0,0.02928,0,0.02928,0,0.9713,1,0.98682,1,808.7978,-341.1611,525.0983,446.6739,749.0526,-401.0508,572.3026,463.3626,749.0526,-401.0508,572.3026,463.3626,-195.7147,-1240.175,572.3026,463.3626,-875.9626,-875.9626,0,0,2092.317,2092.317,0,0,0,0,0,0,0,0,0,0,27.45022,43.02493,70.47514
11.06662,0.01667,11.55134,-1,-24.71118,27.5635,69.87699,-17.19568,2.68627,3.39447,2.68627,3.39447,-1.41732,-1.41732,-0.16363,-0.16363,2.17479,-1.56787,2.16257,1.95061,743.7114,-401.6237,514.1343,436.0019,49.1546,0,28.61494,0,0.01303,0,0.01303,0,0.98723,1,0.99414,1,734.6634,-401.6237,507.8095,436.0019,749.788,-397.4528,560.8864,458.096,749.788,-397.4528,560.8864,458.096,-198.0099,-1240.194,560.8864,458.096,-879.1373,-879.1372,0,0,2102.976,2102.976,0,0,0,0,0,0,0,0,0,0,27.54513,42.33186,69.87699
11.08329,0.01667,11.74015,-1,-24.6717,27.85037,70.07355,-17.02824,2.73521,3.45092,2.73521,3.45092,-1.42879,-1.42879,-0.16179,-0.16179,2.0558,-1.68031,2.12337,1.91279,663.4015,-460.8623,497.0519,430.9293,11.24035,0,6.65571,0,0.00305,0,0.00305,0,0.99701,1,0.99863,1,661.4138,-460.8623,495.5572,430.9293,732.4261,-411.0974,549.0928,452.5077,732.4261,-411.0974,549.0928,452.5077,-216.7289,-1255.865,549.0928,452.5077,-882.295,-882.295,0,0,2113.695,2113.695,0,0,0,0,0,0,0,0,0,0,28.46378,41.60976,70.07355
11.09996,0.01667,11.93015,-1,-24.63145,28.13705,70.89291,-16.88997,2.78415,3.50724,2.78415,3.50724,-1.44158,-1.44158,-0.16152,-0.16152,1.95528,-1.77462,2.10491,1.89381,595.0079,-513.8336,487.7813,431.7398,0,0,0,0,0,0,0,0,1,1,1,1,595.0079,-513.8336,487.7813,431.7398,702.7171,-436.2722,537.8627,447.9193,702.7171,-436.2722,537.8627,447.9193,-246.6411,-1281.991,537.8627,447.9193,-885.4161,-885.4161,0,0,2124.422,2124.422,0,0,0,0,0,0,0,0,0,0,29.94029,40.95261,70.89291
11.11662,0.01667,12.12105,-1,-24.59049,28.43137,72.149,-16.78416,2.83283,3.5634,2.83283,3.5634,-1.45608,-1.45608,-0.16277,-0.16277,1.87915,-1.84689,2.1064,1.89283,543.3661,-556.7463,486.7363,438.3028,0,0,0,0,0,0,0,0,1,1,1,1,543.3661,-556.7463,486.7363,438.3028,666.7214,-467.4536,528.1993,445.4125,666.7214,-467.4536,528.1993,445.4125,-282.233,-1313.544,528.1993,445.4125,-888.4863,-888.4862,0,0,2135.118,2135.118,0,0,0,0,0,0,0,0,0,0,31.70198,40.44702,72.149
