time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
65.88307,0.01667,15.00635,-1,-23.91391,33.84488,90.25336,-16.63232,3.53304,4.40258,3.53304,4.40258,-1.77026,-1.77026,-0.23093,-0.23093,2.17393,-1.71293,2.69645,2.37724,687.0408,-489.0638,759.0526,661.5798,0,0,0,0,0,0,0,0,1,1,1,1,687.0408,-489.0638,759.0526,661.5798,645.599,-507.2155,697.6069,626.4891,645.599,-507.2155,697.6069,626.4891,-338.8244,-1392.676,697.6069,626.4891,-929.0023,-929.0023,0,0,2291.776,2291.776,0,0,0,0,0,0,0,0,0,0,35.24609,55.00729,90.25336
65.89974,0.01667,15.20416,-1,-23.86398,34.20513,91.08462,-16.61022,3.58131,4.46021,3.58131,4.46021,-1.79068,-1.79068,-0.23479,-0.23479,2.18854,-1.70414,2.7221,2.39724,696.13,-483.9657,771.0345,671.4479,0,0,0,0,0,0,0,0,1,1,1,1,696.13,-483.9657,771.0345,671.4479,659.2618,-499.744,713.1141,637.8177,659.2618,-499.744,713.1141,637.8177,-330.8109,-1390.732,713.1141,637.8177,-933.7114,-933.7114,0,0,2307.929,2307.929,0,0,0,0,0,0,0,0,0,0,34.96249,56.12213,91.08462
65.9164,0.01667,15.40291,-1,-23.8133,34.56086,91.83147,-16.58741,3.62998,4.51814,3.62998,4.51814,-1.81104,-1.81104,-0.23876,-0.23876,2.2019,-1.69542,2.74842,2.41788,704.1136,-479.0322,783.115,682.1736,0,0,0,0,0,0,0,0,1,1,1,1,704.1136,-479.0322,783.115,682.1736,671.5297,-493.0533,728.0366,649.0554,671.5297,-493.0533,728.0366,649.0554,-321.8661,-1387.303,728.0366,649.0554,-936.2257,-936.2258,0,0,2318.781,2318.781,0,0,0,0,0,0,0,0,0,0,34.62256,57.20891,91.83147
65.93307,0.01667,15.60228,-1,-23.76202,34.91164,92.61509,-16.56426,3.67891,4.57619,3.67891,4.57619,-1.8313,-1.8313,-0.24287,-0.24287,2.21415,-1.68661,2.77564,2.43937,711.1533,-474.2251,795.5609,693.5753,0,0,0,0,0,0,0,0,1,1,1,1,711.1533,-474.2251,795.5609,693.5753,682.4883,-486.9372,742.5585,660.4173,682.4883,-486.9372,742.5585,660.4173,-314.0831,-1384.373,742.5585,660.4173,-938.7147,-938.7147,0,0,2329.671,2329.671,0,0,0,0,0,0,0,0,0,0,34.33088,58.28421,92.61509
65.94974,0.01667,15.80227,-1,-23.71015,35.25811,93.44333,-16.54129,3.72807,4.63436,3.72807,4.63436,-1.85149,-1.85149,-0.24712,-0.24712,2.22589,-1.67728,2.80396,2.46188,717.5552,-469.2572,808.438,705.9014,0,0,0,0,0,0,0,0,1,1,1,1,717.5552,-469.2572,808.438,705.9014,692.2798,-481.1739,756.8528,672.1107,692.2798,-481.1739,756.8528,672.1107,-307.3318,-1381.736,756.8528,672.1107,-941.1772,-941.1772,0,0,2340.596,2340.596,0,0,0,0,0,0,0,0,0,0,34.0795,59.36382,93.44333
65.9664,0.01667,16.00288,-1,-23.65769,35.60094,94.31944,-16.5188,3.77745,4.69264,3.77745,4.69264,-1.87166,-1.87166,-0.25153,-0.25153,2.23761,-1.66709,2.83341,2.48542,723.6301,-463.9591,821.8,719.0978,0,0,0,0,0,0,0,0,1,1,1,1,723.6301,-463.9591,821.8,719.0978,701.1039,-475.5439,771.0732,684.2924,701.1039,-475.5439,771.0732,684.2924,-301.4298,-1379.191,771.0732,684.2924,-943.6124,-943.6124,0,0,2351.556,2351.556,0,0,0,0,0,0,0,0,0,0,33.85878,60.46065,94.31944
65.98307,0.01667,16.20409,-1,-23.60464,35.94081,95.24258,-16.49697,3.82703,4.75103,3.82703,4.75103,-1.89182,-1.89182,-0.25609,-0.25609,2.24967,-1.65584,2.86388,2.50991,729.6202,-458.2183,835.6318,733.0874,0,0,0,0,0,0,0,0,1,1,1,1,729.6202,-458.2183,835.6318,733.0874,709.1844,-469.8545,785.3424,697.0607,709.1844,-469.8545,785.3424,697.0607,-296.172,-1376.561,785.3424,697.0607,-946.0192,-946.0191,0,0,2362.548,2362.548,0,0,0,0,0,0,0,0,0,0,33.6587,61.58388,95.24258
65.99974,0.01667,16.40574,-1,-23.55103,36.27785,96.16754,-16.47583,3.87679,4.80954,3.87679,4.80954,-1.912,-1.912,-0.26078,-0.26078,2.26223,-1.64344,2.8952,2.53517,735.6641,-451.9911,849.8665,747.7526,0,0,0,0,0,0,0,0,1,1,1,1,735.6641,-451.9911,849.8665,747.7526,716.7354,-463.9546,799.7454,710.4586,716.7354,-463.9546,799.7454,710.4586,-290.5481,-1372.892,799.7454,710.4586,-947.5828,-947.5828,0,0,2371.532,2371.532,0,0,0,0,0,0,0,0,0,0,33.42871,62.73882,96.16754
66.0164,0.01667,16.60764,-1,-23.49691,36.61209,97.116,-16.45522,3.92667,4.86809,3.92667,4.86809,-1.93214,-1.93214,-0.26558,-0.26558,2.27523,-1.63002,2.9271,2.56098,741.7531,-445.3402,864.3843,762.9435,0,0,0,0,0,0,0,0,1,1,1,1,741.7531,-445.3402,864.3843,762.9435,723.9206,-457.7574,814.3245,724.4764,723.9206,-457.7574,814.3245,724.4764,-284.9353,-1368.63,814.3245,724.4764,-948.8295,-948.8295,0,0,2379.81,2379.81,0,0,0,0,0,0,0,0,0,0,33.18918,63.92683,97.116
66.03307,0.01667,16.8098,-1,-23.44231,36.94395,98.09608,-16.43505,3.97666,4.92667,3.97666,4.92667,-1.95226,-1.95226,-0.27047,-0.27047,2.2887,-1.6156,2.95933,2.58712,747.9359,-438.2869,879.0704,778.5222,0,0,0,0,0,0,0,0,1,1,1,1,747.9359,-438.2869,879.0704,778.5222,730.8668,-451.2194,829.0837,739.0648,730.8668,-451.2194,829.0837,739.0648,-279.5051,-1364.023,829.0837,739.0648,-950.0469,-950.0469,0,0,2388.099,2388.099,0,0,0,0,0,0,0,0,0,0,32.95006,65.14603,98.09608
