time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
21.46658,0.01667,6.79581,1.82621,-1,0,0,0,1,900,941.6149,0.43889,0,0,-613.2575,-0,1,0,-25.51472,16.90342,28.45233,-13.43827,1.61806,2.05531,1.61806,2.05531,-0.77203,-0.77203,0.00202,0.00202,-0.00356,-2.71749,-0.0307,-0.02909,-0.0002,-622.6805,-0.05979,-0.08155,0,-2343.084,-114.1301,-114.1301,0.92807,0.53202,0.92807,0.53202,0.09049,0.47862,0.58237,0.76059,-0.0002,-1537.973,-105.9254,-60.75787,207.3039,-1353.342,368.6258,150.4708,207.3039,-1353.342,368.6258,150.4708,319.1647,-1089.279,368.6258,150.4708,132.0782,132.0782,0,0,-306.6288,-306.6288,0,0,0,0,0,0,0,0,0,0,6.88735,21.56497,28.45233
21.48325,0.01667,6.72402,1.80517,-1,0,0,0,1,900,936.9962,0.43107,0,0,-613.2575,-0,1,0,-25.52456,16.79424,23.2725,-13.4594,1.59791,2.03342,1.59791,2.03342,-0.77164,-0.77164,-0.00066,-0.00066,0.11888,-2.59955,0.01012,0.0096,0.21426,-546.8975,0.00651,0.00864,582.8501,-2437.878,0,0,0.93958,0.55556,0.93958,0.55556,0.07922,0.45555,0.57719,0.75,547.6447,-1597.446,0.00651,0.00864,257.2108,-1409.002,293.4223,118.7505,257.2108,-1409.002,293.4223,118.7505,364.2328,-1139.358,293.4223,118.7505,132.1257,132.1257,0,0,-306.6288,-306.6288,0,0,0,0,0,0,0,0,0,0,6.1495,17.123,23.2725
21.49991,0.01667,6.6534,1.78471,-1,0,0,0,1,900,932.855,0.42333,0,0,-613.2575,-0,1,0,-25.53411,16.61194,19.16091,-13.49971,1.57902,2.01065,1.57902,2.01065,-0.77052,-0.77052,-0.00641,-0.00641,0.22355,-2.48502,0.09803,0.09304,0.66584,-476.75,0.6037,0.78599,1093.645,-2532.706,362.865,362.865,0.94955,0.57993,0.94955,0.57993,0.06944,0.43167,0.5727,0.73903,1038.508,-1669.058,344.5904,210.7661,421.6754,-1467.919,288.6064,127.0574,421.6754,-1467.919,288.6064,127.0574,512.6617,-1192.374,288.6064,127.0574,132.1718,132.1718,0,0,-306.6288,-306.6288,0,0,0,0,0,0,0,0,0,0,1.89288,17.26803,19.16091
21.51658,0.01667,6.58305,1.76518,-1,0,0,0,1,900,929.1517,0.41592,0,0,-613.2575,-0,1,0,-25.54347,16.40014,17.7619,-13.47622,1.56164,1.98802,1.56164,1.98802,-0.76612,-0.76612,-0.01131,-0.01131,0.27356,-2.41329,0.17319,0.16453,0.88406,-425.8633,1.87036,2.37891,1335.669,-2623.894,639.8201,639.8201,0.95802,0.60398,0.95802,0.60398,0.06114,0.4081,0.56889,0.72821,1279.638,-1753.423,613.0408,387.3787,620.2222,-1532.26,339.1324,168.9439,620.2222,-1532.26,339.1324,168.9439,691.8177,-1250.277,339.1324,168.9439,132.217,132.217,0,0,-306.6288,-306.6288,0,0,0,0,0,0,0,0,0,0,-3.34525,21.10715,17.7619
21.53325,0.01667,6.51212,1.7464,-1,0,0,0,1,900,925.8467,0.40885,0,0,-613.2575,-0,1,0,-25.55278,16.2031,18.78513,-13.35579,1.54523,1.96622,1.54523,1.96622,-0.75805,-0.75805,-0.01279,-0.01279,0.26659,-2.39413,0.19616,0.18653,0.7485,-394.5819,2.39357,2.97673,1299.234,-2708.59,723.3528,723.3528,0.96537,0.62693,0.96537,0.62693,0.05394,0.3856,0.56558,0.71788,1254.268,-1845.313,698.3862,454.6051,778.6436,-1602.933,405.2973,221.1888,778.6436,-1602.933,405.2973,221.1888,834.7451,-1313.886,405.2973,221.1888,132.262,132.262,0,0,-306.6288,-306.6288,0,0,0,0,0,0,0,0,0,0,-7.24115,26.02628,18.78513
21.54991,0.01667,6.44033,1.72787,-1,0,0,0,1,900,922.9025,0.40199,0,0,-613.2575,-0,1,0,-25.5621,16.04006,20.53845,-13.1601,1.52898,1.9453,1.52898,1.9453,-0.7477,-0.7477,-0.01069,-0.01069,0.22713,-2.40998,0.16432,0.15638,0.48336,-375.0487,1.68274,2.05126,1104.909,-2787.535,604.834,604.834,0.97201,0.64872,0.97201,0.64872,0.04743,0.36425,0.5626,0.70807,1073.995,-1940.086,587.9516,393.0908,861.5297,-1679.336,446.3513,257.4862,861.5297,-1679.336,446.3513,257.4862,909.5085,-1382.652,446.3513,257.4862,132.3069,132.307,0,0,-306.6288,-306.6288,0,0,0,0,0,0,0,0,0,0,-8.70126,29.23971,20.53845
21.56658,0.01667,6.61668,1.77263,-1,1,0,0,1,976.6666,929.6702,0.40679,0,3854.761,0,-0,1,0,-25.5553,16.69856,68.74723,-13.36113,1.53861,1.96167,1.53861,1.96167,-0.75964,-0.75964,-0.0107,-0.0107,0.33153,-2.34736,0.16435,0.15625,1.10907,-372.3045,1.69879,2.06173,1614.506,-2699.033,605.6011,605.6011,0.96815,0.63169,0.96815,0.63169,0.05121,0.38095,0.56433,0.71574,1563.122,-1842.072,586.3679,383.3107,965.332,-1735.364,464.0208,276.5056,965.332,-1735.364,464.0208,276.5056,39.45563,-2397.03,464.0208,276.5056,-831.4373,-831.4374,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,37.98333,30.76389,68.74723
21.58325,0.01667,6.7947,1.8192,-1,1,0,0,1,1053.333,951.6185,0.4236,0,3867.903,0,-0,1,0,-25.53188,17.24218,61.86818,-13.90341,1.57615,2.01498,1.57615,2.01498,-0.79029,-0.79029,-0.01344,-0.01344,0.51632,-2.25123,0.20554,0.1949,3.52705,-391.0016,2.72496,3.32856,2525.165,-2428.41,760.561,760.561,0.951,0.57531,0.951,0.57531,0.06802,0.4362,0.57205,0.74111,2401.604,-1563.139,723.4268,438.9704,1275.154,-1708.967,507.9183,305.4926,1275.154,-1708.967,507.9183,305.4926,317.0708,-2375.637,507.9183,305.4926,-833.5587,-833.5586,0,0,1933.951,1933.951,0,0,0,0,0,0,0,0,0,0,28.07643,33.79175,61.86818
21.59991,0.01667,6.98152,1.87143,0,1,0,0,1,1130,986.471,0.44179,0,3935.07,0,-0,1,0,-22.00048,17.52438,44.69018,-14.23759,1.61948,2.06947,1.61948,2.06947,-0.81019,-0.81019,-0.01359,-0.01359,2.19758,-0.34628,0.20682,0.19569,73.89668,-12.09421,2.88131,3.52504,3689.074,-2140.519,769.0551,769.0551,0.92723,0.51676,0.92723,0.51676,0.09131,0.49358,0.58275,0.76746,3426.008,-1111.979,713.3027,399.1205,1808.302,-1591.42,549.3843,326.2632,1808.302,-1591.42,549.3843,326.2632,939.556,-2212.601,549.3843,326.2632,-737.0669,-737.067,0,0,1967.535,1967.535,0,0,0,0,0,0,0,0,0,0,8.31291,36.37727,44.69018
21.61658,0.01667,7.17817,1.93087,0,1,0,0,1,1206.667,1031.738,0.46269,0,4002.236,0,-0,1,0,-18.68579,17.42399,20.74604,-14.16478,1.67413,2.12672,1.67413,2.12672,-0.80924,-0.80924,-0.00804,-0.00804,3.47642,1.2175,0.12148,0.1148,221.7609,152.9398,1.06076,1.29267,3518.535,1841.302,454.568,454.568,0.89173,0.45503,0.89173,0.45503,0.1261,0.55407,0.59872,0.79523,3161.599,921.2025,405.4675,207.5485,2152.897,-973.0073,540.3268,314.443,2152.897,-973.0073,540.3268,314.443,1398.303,-1562.834,540.3268,314.443,-641.1141,-641.1141,0,0,2001.118,2001.118,0,0,0,0,0,0,0,0,0,0,-14.76389,35.50993,20.74604
