time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
6.38331,0.01667,9.04636,-1,-25.1877,22.74524,51.90824,-16.3736,2.09469,2.67825,2.09469,2.67825,-1.09376,-1.09376,-0.0607,-0.0607,1.41002,-1.98567,0.87077,0.80344,90.86048,-599.9697,39.09954,77.85457,38.92635,-594.1547,11.27151,24.92113,-803.4236,-1376.31,11.27151,24.92113,244.8363,-244.8363,150.0702,150.0702,-297.6974,143.4834,243.7683,243.7683,50.40468,1.50356,51.90824
6.39997,0.01667,9.23151,-1,-25.15585,23.01431,52.40546,-16.65648,2.13644,2.7276,2.13644,2.7276,-1.12532,-1.12532,-0.07881,-0.07881,1.57515,-1.85102,1.12437,1.03582,131.9996,-539.0719,71.15438,128.7019,59.032,-584.3437,20.93887,41.98031,-788.1589,-1370.514,20.93887,41.98031,161.8629,-161.8629,99.21236,99.21236,-196.7875,94.95617,161.1568,161.1568,49.79159,2.61387,52.40546
6.41664,0.01667,9.41809,-1,-25.12317,23.24401,53.11459,-16.9353,2.17908,2.77663,2.17908,2.77663,-1.15649,-1.15649,-0.09866,-0.09866,1.72921,-1.71954,1.39953,1.28755,183.2665,-473.9707,119.2524,195.3943,86.13323,-561.2591,37.09591,67.70483,-766.533,-1352.68,37.09591,67.70483,94.7281,-94.7281,58.06272,58.06272,-115.154,55.63089,94.31488,94.31488,48.76083,4.35377,53.11459
6.43331,0.01667,9.60559,-1,-25.08974,23.45055,54.18848,-17.19137,2.22255,2.82567,2.22255,2.82567,-1.18667,-1.18667,-0.11897,-0.11897,1.86485,-1.60007,1.67763,1.5415,243.1556,-414.1989,183.9509,273.4949,120.7332,-528.8038,61.65358,102.8233,-738.0993,-1326.349,61.65358,102.8233,44.69449,-44.69449,27.39507,27.39507,-54.32533,26.27618,44.49952,44.49952,47.35558,6.83291,54.18848
6.44997,0.01667,9.79345,-1,-25.05566,23.65239,55.74151,-17.40839,2.26673,2.87507,2.26673,2.87507,-1.21533,-1.21533,-0.13841,-0.13841,1.97634,-1.50034,1.93992,1.78043,308.6012,-366.9615,262.4148,356.8519,162.5539,-492.0276,95.78746,146.8693,-703.1169,-1296.1,95.78746,146.8693,12.88145,-12.88145,7.89556,7.89556,-15.65526,7.58145,12.82525,12.82525,45.66076,10.08076,55.74151
6.46664,0.01667,9.98107,-1,-25.02103,23.86877,57.79318,-17.57339,2.31147,2.92514,2.31147,2.92514,-1.24208,-1.24208,-0.1557,-0.1557,2.05991,-1.4264,2.16879,1.98818,375.2981,-333.5866,348.3002,436.8,210.4051,-455.283,139.4115,197.9201,-662.6701,-1265.885,139.4115,197.9201,0.2059,-0.2059,0.1262,0.1262,-0.2502,0.12132,0.205,0.205,43.77933,14.01386,57.79318
6.48331,0.01667,10.168,-1,-24.98597,24.1153,60.25712,-17.67754,2.35655,2.97618,2.35655,2.97618,-1.26663,-1.26663,-0.16973,-0.16973,2.11386,-1.3823,2.34946,2.15116,438.1851,-314.5471,432.8586,504.293,262.1999,-422.0233,190.896,252.6994,-618.6539,-1238.842,190.896,252.6994,0,0,0,0,0,0,0,0,41.82871,18.42841,60.25712
6.49997,0.01667,10.35417,-1,-24.95052,24.39716,62.98664,-17.72042,2.40187,3.02831,2.40187,3.02831,-1.28899,-1.28899,-0.18002,-0.18002,2.13921,-1.36836,2.47614,2.26412,492.7895,-308.8569,507.913,554.517,315.187,-394.5988,247.3104,307.6868,-573.5626,-1217.106,247.3104,307.6868,0,0,0,0,0,0,0,0,39.93024,23.0564,62.98664
6.51664,0.01667,10.53967,-1,-24.9147,24.71559,65.82257,-17.70808,2.44735,3.08154,2.44735,3.08154,-1.30932,-1.30932,-0.18662,-0.18662,2.13914,-1.38184,2.55071,2.32892,535.9092,-315.0701,567.9856,586.0251,366.4652,-374.4168,305.1307,359.8861,-530.0251,-1201.958,305.1307,359.8861,0,0,0,0,0,0,0,0,38.19559,27.62698,65.82257
6.53331,0.01667,10.72468,-1,-24.87849,25.06887,68.58832,-17.64935,2.49294,3.13582,2.49294,3.13582,-1.32793,-1.32793,-0.18985,-0.18985,2.11813,-1.41841,2.57837,2.35049,565.8208,-331.6135,609.8463,599.6392,413.3192,-362.5743,360.7827,406.1886,-490.501,-1194.393,360.7827,406.1886,0,0,0,0,0,0,0,0,36.72582,31.8625,68.58832
