time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
19.56659,0.01667,8.72752,1,25.24072,21.51694,57.00179,-14.54628,-2.5986,-2.04784,-2.5986,-2.04784,-0.97335,-0.97335,0.00166,0.00166,-3.04563,0.10353,-0.02227,-0.02402,-1052.985,0.3654,-0.05188,-0.01683,-1052.985,0.3654,-0.05188,-0.01683,-1762.65,-809.8685,-0.05188,-0.01683,-424.9102,168.6345,61.57603,59.03926,248.5835,-205.0816,100.0218,95.90115,57.00464,-0.00285,57.00179
19.58326,0.01667,8.90184,1,25.21151,21.90599,58.84073,-14.53038,-2.6506,-2.08977,-2.6506,-2.08977,-0.9916,-0.9916,0.00122,0.00122,-3.07921,0.1002,-0.01623,-0.01754,-1164.647,0.40739,-0.04853,-0.01639,-1164.647,0.40739,-0.04853,-0.01639,-1866.904,-812.8308,-0.04853,-0.01639,-321.2058,129.6076,51.9968,50.37778,188.0928,-157.6036,84.46162,81.83177,58.84343,-0.0027,58.84073
19.59992,0.01667,9.07671,1,25.18173,22.29299,60.57398,-14.51857,-2.70269,-2.13183,-2.70269,-2.13183,-1.01002,-1.01002,0.00056,0.00056,-3.10944,0.09923,-0.00737,-0.00798,-1269.085,0.45885,-0.04147,-0.01507,-1269.085,0.45885,-0.04147,-0.01507,-1964.658,-815.7677,-0.04147,-0.01507,-230.6098,95.57825,42.39377,41.44595,135.1723,-116.2115,68.86283,67.32323,60.57633,-0.00235,60.57398
19.61659,0.01667,9.25214,1,25.15137,22.67596,62.14261,-14.51049,-2.75486,-2.17405,-2.75486,-2.17405,-1.02856,-1.02856,-0.00037,-0.00037,-3.13669,0.10004,0.00482,0.00522,-1362.407,0.52466,-0.03344,-0.01205,-1362.407,0.52466,-0.03344,-0.01205,-2052.384,-818.6741,-0.03344,-0.01205,-153.8533,65.79709,32.53776,32.05242,90.27054,-79.99266,52.8531,52.06474,62.1445,-0.00189,62.14261
19.63325,0.01667,9.4282,1,25.12043,23.05229,63.49439,-14.50513,-2.80708,-2.21646,-2.80708,-2.21646,-1.04716,-1.04716,-0.00159,-0.00159,-3.16178,0.10136,0.02067,0.02246,-1441.151,0.60688,-0.02086,-0.00574,-1441.151,0.60688,-0.02086,-0.00574,-2126.941,-821.5486,-0.02086,-0.00574,-91.68266,40.31055,22.48652,22.28665,53.84717,-49.00209,36.52625,36.20158,63.49549,-0.00111,63.49439
19.64992,0.01667,9.60491,1,25.08889,23.41989,64.6508,-14.50077,-2.85937,-2.25914,-2.85937,-2.25914,-1.0657,-1.0657,-0.00312,-0.00312,-3.18602,0.10144,0.04021,0.04376,-1506.707,0.70041,0.01027,0.01188,-1506.707,0.70041,0.01027,0.01188,-2189.583,-824.3976,0.01027,0.01188,-44.87606,20.07394,12.80276,12.74706,26.38365,-24.39944,20.79632,20.70584,64.64989,0.00092,64.6508
19.66659,0.01667,9.78226,1,25.05676,23.77857,65.66228,-14.49605,-2.91173,-2.30211,-2.91173,-2.30211,-1.08411,-1.08411,-0.00493,-0.00493,-3.21036,0.09908,0.06304,0.06873,-1562.332,0.79236,0.07963,0.05649,-1562.332,0.79236,0.07963,0.05649,-2243.251,-827.2346,0.07963,0.05649,-14.25257,6.40036,4.71751,4.71099,8.38814,-7.77861,7.66294,7.65236,65.65662,0.00565,65.66228
19.68325,0.01667,9.96016,1,25.02403,24.13101,66.56961,-14.48966,-2.96417,-2.34538,-2.96417,-2.34538,-1.10233,-1.10233,-0.00692,-0.00692,-3.23536,0.09386,0.08786,0.09595,-1610.61,0.86598,0.20931,0.14796,-1610.61,0.86598,0.20931,0.14796,-2290.282,-830.0752,0.20931,0.14796,-0.64823,0.28829,0.24627,0.24626,0.38191,-0.35033,0.40004,0.40001,66.55477,0.01484,66.56961
19.69992,0.01667,10.13846,1,24.99075,24.48225,67.40678,-14.47976,-3.01673,-2.38886,-3.01673,-2.38886,-1.12035,-1.12035,-0.00887,-0.00887,-3.26149,0.08595,0.11176,0.12226,-1653.696,0.90595,0.41379,0.30345,-1653.696,0.90595,0.41379,0.30345,-2332.625,-832.9335,0.41379,0.30345,0,0,0,0,0,0,0,0,67.37699,0.0298,67.40678
19.71659,0.01667,10.31714,1,24.95691,24.83278,68.20525,-14.46466,-3.06945,-2.43252,-3.06945,-2.43252,-1.13812,-1.13812,-0.01059,-0.01059,-3.28938,0.07513,0.13243,0.1451,-1693.656,0.90028,0.69237,0.52771,-1693.656,0.90028,0.69237,0.52771,-2372.147,-835.8195,0.69237,0.52771,0,0,0,0,0,0,0,0,68.15456,0.05069,68.20525
