time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
13.74995,0.01667,17.44031,4.58795,1,1,0,0,1,2125.533,2077.672,1,1,4813.327,0,-0,1,0,34.73941,51.74989,148.9135,18.76081,5.24033,3.90616,5.24033,3.90616,2.4509,2.4509,0.08906,0.08906,8.84568,2.34277,-0.81681,-0.98524,5492.593,810.0639,-88.03392,-93.40881,0,0,0,0,0,0,0,0,1,1,1,1,5492.593,810.0639,-88.03392,-93.40881,5463.369,678.4818,-94.32271,-102.8308,5205.361,678.4818,-94.32271,-102.8308,5584.176,1928.969,-94.32271,-102.8308,1306.659,1371.425,0,0,2406.664,2406.664,0,0,0,0,0,0,0,0,0,0,140.7231,8.1904,148.9135
13.76661,0.01667,17.54534,4.61717,1,1,0,0,1,2139.176,2091.775,1,1,4822.291,0,-0,1,0,34.73176,51.95195,150.4655,18.70145,5.27227,3.93292,5.27227,3.93292,2.45904,2.45904,0.08804,0.08804,8.90433,2.42116,-0.804,-0.97016,5506.397,858.3602,-85.40754,-90.40855,0,0,0,0,0,0,0,0,1,1,1,1,5506.397,858.3602,-85.40754,-90.40855,5478.812,729.9946,-91.77499,-100.0326,5214.095,729.9946,-91.77499,-100.0326,5592.433,1973.645,-91.77499,-100.0326,1307.341,1373.714,0,0,2411.146,2411.146,0,0,0,0,0,0,0,0,0,0,142.4972,7.96831,150.4655
13.78328,0.01667,17.64956,4.64611,1,1,0,0,1,2152.689,2105.743,1,1,4831.17,0,-0,1,0,34.72418,52.15741,151.9959,18.64473,5.30398,3.95937,5.30398,3.95937,2.46731,2.46731,0.08699,0.08699,8.96045,2.49569,-0.79108,-0.95496,5519.748,905.0527,-82.80077,-87.42688,0,0,0,0,0,0,0,0,1,1,1,1,5519.748,905.0527,-82.80077,-87.42688,5493.554,780.4316,-89.19472,-97.17255,5223.201,780.4316,-89.19472,-97.17255,5601.233,2017.421,-89.19472,-97.17255,1308.266,1375.981,0,0,2415.585,2415.585,0,0,0,0,0,0,0,0,0,0,144.2536,7.74231,151.9959
13.79994,0.01667,17.75299,4.6748,1,1,0,0,1,2166.082,2119.58,1,1,4839.97,0,-0,1,0,34.71665,52.36563,153.4984,18.59041,5.33546,3.98551,5.33546,3.98551,2.47571,2.47571,0.08593,0.08593,9.01425,2.56673,-0.77813,-0.9397,5532.695,950.2032,-80.22557,-84.47978,0,0,0,0,0,0,0,0,1,1,1,1,5532.695,950.2032,-80.22557,-84.47978,5507.699,829.6235,-86.60076,-94.27283,5232.621,829.6235,-86.60076,-94.27283,5610.494,2060.159,-86.60076,-94.27283,1309.392,1378.226,0,0,2419.985,2419.985,0,0,0,0,0,0,0,0,0,0,145.9843,7.51408,153.4984
13.81661,0.01667,17.85568,4.70325,1,1,0,0,1,2179.359,2133.287,1,1,4848.693,0,-0,1,0,34.70918,52.57588,154.9695,18.53823,5.36673,4.01137,5.36673,4.01137,2.4842,2.4842,0.08485,0.08485,9.06597,2.63468,-0.76518,-0.92444,5545.274,993.9365,-77.6915,-81.58087,0,0,0,0,0,0,0,0,1,1,1,1,5545.274,993.9365,-77.6915,-81.58087,5521.328,877.4879,-84.00979,-91.35403,5242.292,877.4879,-84.00979,-91.35403,5620.127,2101.792,-84.00979,-91.35403,1310.686,1380.45,0,0,2424.347,2424.347,0,0,0,0,0,0,0,0,0,0,147.6843,7.28519,154.9695
13.83328,0.01667,17.95765,4.73147,1,1,0,0,1,2192.528,2146.871,1,1,4857.347,0,-0,1,0,34.70176,52.78748,156.4079,18.48793,5.39779,4.03698,5.39779,4.03698,2.49277,2.49277,0.08376,0.08376,9.11587,2.7,-0.75227,-0.90923,5557.494,1036.428,-75.20646,-78.7412,0,0,0,0,0,0,0,0,1,1,1,1,5557.494,1036.428,-75.20646,-78.7412,5534.496,924.0184,-81.43578,-88.43475,5252.139,924.0184,-81.43578,-88.43475,5630.038,2142.315,-81.43578,-88.43475,1312.115,1382.655,0,0,2428.673,2428.673,0,0,0,0,0,0,0,0,0,0,149.3509,7.05698,156.4079
13.84994,0.01667,18.05893,4.75949,1,1,0,0,1,2205.597,2160.334,1,1,4865.934,0,-0,1,0,34.69439,52.99974,157.8143,18.43923,5.42865,4.06236,5.42865,4.06236,2.50137,2.50137,0.08267,0.08267,9.16422,2.7631,-0.73944,-0.89409,5569.35,1077.865,-72.77454,-75.96787,0,0,0,0,0,0,0,0,1,1,1,1,5569.35,1077.865,-72.77454,-75.96787,5547.237,969.2692,-78.89018,-85.53137,5262.081,969.2692,-78.89018,-85.53137,5640.137,2181.776,-78.89018,-85.53137,1313.655,1384.843,0,0,2432.967,2432.967,0,0,0,0,0,0,0,0,0,0,150.9836,6.83061,157.8143
13.86661,0.01667,18.15956,4.78731,1,1,0,0,1,2218.572,2173.684,1,1,4874.458,0,-0,1,0,34.68707,53.21204,159.1905,18.39189,5.45931,4.08753,5.45931,4.08753,2.50999,2.50999,0.08158,0.08158,9.21123,2.82437,-0.7267,-0.87905,5580.824,1118.436,-70.39825,-73.2656,0,0,0,0,0,0,0,0,1,1,1,1,5580.824,1118.436,-70.39825,-73.2656,5559.565,1013.339,-76.38208,-82.65789,5272.038,1013.339,-76.38208,-82.65789,5650.332,2220.253,-76.38208,-82.65789,1315.28,1387.012,0,0,2437.229,2437.229,0,0,0,0,0,0,0,0,0,0,152.5835,6.60704,159.1905
13.88328,0.01667,17.96631,4.74278,1,0,0,0,1,2214.782,2178.744,1,1,0,-551.9371,-0,1,0,34.69043,52.25058,88.94346,18.2452,5.44615,4.08438,5.44615,4.08438,2.48701,2.48701,0.07631,0.07631,9.32913,3.01256,-0.68097,-0.82268,5596.063,1248.928,-61.99193,-64.15134,0,0,0,0,0,0,0,0,1,1,1,1,5596.063,1248.928,-61.99193,-64.15134,5572.371,1071.834,-72.87807,-78.97701,5572.371,1071.834,-72.87807,-78.97701,4424.756,724.2388,-72.87807,-78.97701,-157.0654,-157.0653,0,0,-275.9685,-275.9685,0,0,0,0,0,0,0,0,0,0,82.6349,6.30856,88.94346
13.89994,0.01667,17.73954,4.68855,1,0,0,0,1,2191.851,2182.439,1,1,0,-1140.803,-0,1,0,34.70565,51.25931,83.42419,18.02016,5.38416,4.0477,5.38416,4.0477,2.4332,2.4332,0.06732,0.06732,9.49661,3.29456,-0.60571,-0.72963,5635.579,1463.597,-48.70588,-50.20092,0,0,0,0,0,0,0,0,1,1,1,1,5635.579,1463.597,-48.70588,-50.20092,5592.736,1178.85,-66.27584,-72.70496,5592.736,1178.85,-66.27584,-72.70496,4272.956,644.3539,-66.27584,-72.70496,-324.7642,-324.7642,0,0,-570.4016,-570.4016,0,0,0,0,0,0,0,0,0,0,77.65047,5.77372,83.42419
