time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
98.41627,0.01667,8.34007,1,25.3015,5.69098,98.08706,-3.89667,-2.35547,-2.2276,-2.35547,-2.2276,-0.24211,-0.24211,-0.01574,-0.01574,-10.78362,-10.22436,0.21807,0.2219,-4324.723,-3523.374,4.56067,4.13415,987.9048,1491.154,392.1742,572.6069,0.22286,0.34828,0.22286,0.34828,0.78159,0.65869,0.89971,0.84327,-3140.731,-1776.916,90.94567,202.1217,-1487.365,-845.2156,81.84664,119.0437,-1487.365,-845.2156,81.84664,119.0437,-2154.417,-1573.868,81.84664,119.0437,-809.7324,-809.7325,0,0,-1894.636,-1894.636,0,0,0,0,0,0,0,0,0,0,89.74142,8.34564,98.08706
98.43294,0.01667,8.47493,1,25.27887,7.33714,113.9795,-5.05074,-2.41048,-2.24289,-2.41048,-2.24289,-0.31838,-0.31838,-0.0217,-0.0217,-10.08734,-9.3394,0.29829,0.30522,-4601.439,-3567.247,8.86554,7.80361,774.8157,1407.83,313.4775,544.765,0.17444,0.33254,0.17444,0.33254,0.82905,0.67411,0.9215,0.85036,-3663.62,-1912.822,62.00118,186.3661,-1986.388,-1097.731,79.25085,132.2828,-1986.388,-1097.731,79.25085,132.2828,-2608.336,-1804.777,79.25085,132.2828,-812.1647,-812.1647,0,0,-1901.916,-1901.916,0,0,0,0,0,0,0,0,0,0,105.1917,8.7878,113.9795
98.44961,0.01667,8.60147,1,25.25753,9.17179,127.907,-6.36759,-2.46366,-2.25098,-2.46366,-2.25098,-0.40614,-0.40614,-0.02964,-0.02964,-9.25114,-8.27647,0.40441,0.41642,-4847.673,-3485.171,16.89703,14.37777,587.0804,1354.069,242.7871,528.5479,0.1318,0.32429,0.1318,0.32429,0.87083,0.6822,0.94069,0.85407,-4131.353,-1915.855,46.67019,181.1179,-2481.085,-1298.717,73.65644,141.5901,-2481.085,-1298.717,73.65644,141.5901,-3058.134,-1988.802,73.65644,141.5901,-814.2434,-814.2433,0,0,-1908.289,-1908.289,0,0,0,0,0,0,0,0,0,0,118.965,8.94205,127.907
98.46627,0.01667,8.72328,1,25.23703,11.14094,138.5472,-7.81329,-2.51498,-2.25295,-2.51498,-2.25295,-0.5034,-0.5034,-0.03954,-0.03954,-8.29988,-7.06125,0.53568,0.55543,-4965.659,-3133.931,30.67749,25.08265,425.6613,1324.383,180.3582,520.7869,0.09519,0.32228,0.09519,0.32228,0.90671,0.68416,0.95716,0.85497,-4452.444,-1697.095,44.92603,184.8394,-2944.599,-1411.063,68.17911,149.4554,-2944.599,-1411.063,68.17911,149.4554,-3479.529,-2092.366,68.17911,149.4554,-815.9871,-815.9871,0,0,-1913.827,-1913.827,0,0,0,0,0,0,0,0,0,0,129.5059,9.04125,138.5472
98.48294,0.01667,8.84472,1,25.21673,13.16444,144.1866,-9.32896,-2.56461,-2.25072,-2.56461,-2.25072,-0.60668,-0.60668,-0.05101,-0.05101,-7.27623,-5.74243,0.68624,0.71675,-4792.76,-2501.883,51.95493,40.77531,289.883,1310.021,126.1716,519.9798,0.06459,0.32456,0.06459,0.32456,0.9367,0.68193,0.97093,0.85395,-4464.453,-1264.7,56.74887,196.3048,-3317.415,-1402.453,65.35477,157.6871,-3317.415,-1402.453,65.35477,157.6871,-3818.714,-2086.243,65.35477,157.6871,-817.4399,-817.4399,0,0,-1918.678,-1918.678,0,0,0,0,0,0,0,0,0,0,134.9207,9.26589,144.1866
98.49961,0.01667,8.97005,1,25.19587,15.14509,143.9214,-10.82738,-2.613,-2.24707,-2.613,-2.24707,-0.71093,-0.71093,-0.06314,-0.06314,-6.24312,-4.39626,0.84355,0.88756,-4314.557,-1715.955,80.74965,60.86399,179.5612,1299.186,80.25918,520.9524,0.03984,0.32828,0.03984,0.32828,0.96096,0.67829,0.98207,0.85228,-4135.522,-726.1552,80.73011,211.9002,-3538.872,-1269.248,67.05869,167.166,-3538.872,-1269.248,67.05869,167.166,-4020.867,-1967.18,67.05869,167.166,-818.6909,-818.6909,0,0,-1923.101,-1923.101,0,0,0,0,0,0,0,0,0,0,134.1909,9.73046,143.9214
98.51627,0.01667,9.10225,1,25.17381,16.99191,138.3324,-12.20937,-2.66081,-2.2452,-2.66081,-2.2452,-0.81038,-0.81038,-0.07462,-0.07462,-5.27234,-3.11343,0.99017,1.0492,-3634.693,-975.7764,114.061,82.8838,94.17853,1280.46,43.15786,518.8355,0.0208,0.33019,0.0208,0.33019,0.97962,0.67641,0.99064,0.85141,-3557.146,-230.7913,112.5864,226.8304,-3578.368,-1043.781,74.14909,177.7578,-3578.368,-1043.781,74.14909,177.7578,-4058.372,-1764.516,74.14909,177.7578,-819.8718,-819.8717,0,0,-1927.452,-1927.452,0,0,0,0,0,0,0,0,0,0,127.8673,10.46504,138.3324
98.53294,0.01667,9.24248,1,25.15015,18.64226,129.2269,-13.38982,-2.70881,-2.24788,-2.70881,-2.24788,-0.90004,-0.90004,-0.08407,-0.08407,-4.4264,-1.97591,1.10793,1.18164,-2915.826,-433.7042,145.8936,102.9907,34.58379,1245.259,16.1944,509.6416,0.0076,0.32745,0.0076,0.32745,0.99255,0.6791,0.99658,0.85265,-2893.402,116.0649,144.9079,236.1468,-3449.723,-779.5779,86.0592,188.4099,-3449.723,-779.5779,86.0592,188.4099,-3943.807,-1526.799,86.0592,188.4099,-821.1272,-821.1272,0,0,-1932.101,-1932.101,0,0,0,0,0,0,0,0,0,0,117.8245,11.40234,129.2269
98.54961,0.01667,9.39042,1,25.12478,20.07054,118.7563,-14.31824,-2.75763,-2.25691,-2.75763,-2.25691,-0.97679,-0.97679,-0.09039,-0.09039,-3.74427,-1.03734,1.18284,1.26885,-2290.635,-129.3238,169.2006,117.3573,3.51418,1189.817,1.67348,491.2396,0.00077,0.31827,0.00077,0.31827,0.99925,0.6881,0.99965,0.85678,-2288.872,290.5143,169.0718,236.3514,-3200.731,-527.6038,100.7292,197.53,-3200.731,-527.6038,100.7292,197.53,-3720.474,-1300.264,100.7292,197.53,-822.5789,-822.5789,0,0,-1937.344,-1937.344,0,0,0,0,0,0,0,0,0,0,106.3656,12.39066,118.7563
98.56627,0.01667,9.54501,1,25.0978,21.2826,108.6313,-14.984,-2.80768,-2.27292,-2.80768,-2.27292,-1.03966,-1.03966,-0.09299,-0.09299,-3.23747,-0.3165,1.20812,1.30252,-1821.256,-12.86303,178.7953,123.5303,0,1114.81,0,463.4452,0,0.30215,0,0.30215,1,0.70389,1,0.86403,-1821.256,327.8688,178.7953,226.2372,-2890.247,-320.6745,115.15,203.4933,-2890.247,-320.6745,115.15,203.4933,-3441.664,-1114.698,115.15,203.4933,-824.2996,-824.2994,0,0,-1943.348,-1943.348,0,0,0,0,0,0,0,0,0,0,95.3938,13.23749,108.6313
98.58294,0.01667,9.70505,1,25.06936,22.30362,99.83952,-15.40843,-2.85911,-2.2956,-2.85911,-2.2956,-1.08941,-1.08941,-0.09186,-0.09186,-2.89512,0.19698,1.18464,1.28277,-1515.203,5.1422,173.6292,121.0151,0,1023.586,0,427.4607,0,0.27969,0,0.27969,1,0.72591,1,0.87414,-1515.203,289.9861,173.6292,206.7235,-2571.902,-170.0582,126.5359,205.0642,-2571.902,-170.0582,126.5359,205.0642,-3155.927,-980.3475,126.5359,205.0642,-826.3096,-826.3096,0,0,-1950.154,-1950.154,0,0,0,0,0,0,0,0,0,0,86.06377,13.77575,99.83952
98.59961,0.01667,9.86957,1,25.03963,23.1629,92.45576,-15.63094,-2.91187,-2.32417,-2.91187,-2.32417,-1.12785,-1.12785,-0.08746,-0.08746,-2.69334,0.53081,1.11932,1.2166,-1341.538,37.67549,156.0212,111.0524,0,920.2915,0,385.127,0,0.25209,0,0.25209,1,0.75295,1,0.88656,-1341.538,260.1782,156.0212,180.1451,-2281.674,-64.18546,132.982,201.6254,-2281.674,-64.18546,132.982,201.6254,-2895.82,-886.7421,132.982,201.6254,-828.5891,-828.5891,0,0,-1957.705,-1957.705,0,0,0,0,0,0,0,0,0,0,78.55508,13.90069,92.45576
98.61627,0.01667,10.03788,1,25.00874,23.88656,86.34298,-15.69445,-2.96576,-2.35769,-2.96576,-2.35769,-1.15696,-1.15696,-0.08052,-0.08052,-2.60544,0.71669,1.0225,1.11497,-1267.549,70.6552,130.5107,95.92726,0,808.5173,0,338.2671,0,0.22083,0,0.22083,1,0.78359,1,0.90063,-1267.549,233.5954,130.5107,149.4425,-2038.686,9.57816,133.7135,193.2089,-2038.686,9.57816,133.7135,193.2089,-2678.644,-822.4183,133.7135,193.2089,-831.0985,-831.0984,0,0,-1965.903,-1965.903,0,0,0,0,0,0,0,0,0,0,72.76155,13.58143,86.34298
98.63294,0.01667,10.20944,1,24.97677,24.49866,81.4325,-15.64015,-3.02053,-2.39529,-3.02053,-2.39529,-1.17872,-1.17872,-0.07188,-0.07188,-2.60517,0.78626,0.90548,0.99014,-1266.739,88.786,102.1451,78.23709,0,691.4669,0,288.6304,0,0.18741,0,0.18741,1,0.81634,1,0.91567,-1266.739,201.7323,102.1451,117.6662,-1850.081,58.07526,129.0275,180.4139,-1850.081,58.07526,129.0275,180.4139,-2510.851,-781.1478,129.0275,180.4139,-833.7917,-833.7918,0,0,-1974.637,-1974.637,0,0,0,0,0,0,0,0,0,0,68.5773,12.85521,81.4325
98.64961,0.01667,10.3838,1,24.94379,25.02131,77.65454,-15.50487,-3.07591,-2.43609,-3.07591,-2.43609,-1.19499,-1.19499,-0.06232,-0.06232,-2.66835,0.76917,0.77876,0.85365,-1318.455,89.58573,75.08471,60.32233,0,572.3694,0,237.9635,0,0.15336,0,0.15336,1,0.84971,1,0.93099,-1318.455,163.6245,75.08471,87.56503,-1715.262,85.89952,119.8827,164.2619,-1715.262,85.89952,119.8827,164.2619,-2391.889,-758.7363,119.8827,164.2619,-836.6233,-836.6232,0,0,-1983.794,-1983.794,0,0,0,0,0,0,0,0,0,0,65.85024,11.8043,77.65454
98.66627,0.01667,10.5605,1,24.90986,25.47518,74.96423,-15.31991,-3.13168,-2.47931,-3.13168,-2.47931,-1.20741,-1.20741,-0.05254,-0.05254,-2.77367,0.69203,0.65115,0.71528,-1406.01,76.82885,51.9679,43.95495,0,454.7595,0,188.0619,0,0.12015,0,0.12015,1,0.88226,1,0.94593,-1406.01,122.2354,51.9679,61.2687,-1632.24,97.06285,107.666,146.0131,-1632.24,97.06285,107.666,146.0131,-2319.945,-751.5168,107.666,146.0131,-839.55,-839.55,0,0,-1993.272,-1993.272,0,0,0,0,0,0,0,0,0,0,64.42557,10.53866,74.96423
98.68294,0.01667,10.73906,1,24.87507,25.87907,73.27493,-15.11087,-3.18763,-2.52423,-3.18763,-2.52423,-1.21746,-1.21746,-0.04307,-0.04307,-2.903,0.5779,0.52942,0.58267,-1517.722,56.88879,33.73247,30.21321,0,343.1443,0,140.7253,0,0.08911,0,0.08911,1,0.91267,1,0.9599,-1517.722,82.39832,33.73247,40.06144,-1596.151,95.69188,93.8382,126.9724,-1596.151,95.69188,93.8382,126.9724,-2290.605,-755.7195,93.8382,126.9724,-842.5339,-842.5338,0,0,-2002.975,-2002.975,0,0,0,0,0,0,0,0,0,0,64.10172,9.1732,73.27493
98.69961,0.01667,10.91905,1,24.8395,26.24917,72.45268,-14.89734,-3.2436,-2.57025,-3.2436,-2.57025,-1.22631,-1.22631,-0.0343,-0.0343,-3.04181,0.44566,0.41826,0.46112,-1639.648,35.72418,20.68743,19.55647,0,240.1528,0,97.94254,0,0.06144,0,0.06144,1,0.93979,1,0.97235,-1639.648,48.28414,20.68743,24.37246,-1600.007,86.01493,79.69973,108.3152,-1600.007,86.01493,79.69973,108.3152,-2297.529,-767.4844,79.69973,108.3152,-845.5419,-845.5419,0,0,-2012.822,-2012.822,0,0,0,0,0,0,0,0,0,0,64.64192,7.81076,72.45268
98.71627,0.01667,11.10006,1,24.80322,26.59832,72.31341,-14.69288,-3.29947,-2.61688,-3.29947,-2.61688,-1.23487,-1.23487,-0.02649,-0.02649,-3.17945,0.30947,0.32033,0.35373,-1759.432,18.08775,11.94342,11.84864,0,151.0387,0,61.2727,0,0.03808,0,0.03808,1,0.96268,1,0.98286,-1759.432,23.15114,11.94342,13.73093,-1634.631,72.04913,66.2511,90.95049,-1634.631,72.04913,66.2511,90.95049,-2332.391,-783.1453,66.2511,90.95049,-848.5482,-848.5482,0,0,-2022.746,-2022.746,0,0,0,0,0,0,0,0,0,0,65.78274,6.53067,72.31341
98.73294,0.01667,11.28177,1,24.76629,26.93575,72.66681,-14.50546,-3.3552,-2.66376,-3.3552,-2.66376,-1.24376,-1.24376,-0.01972,-0.01972,-3.3091,0.17869,0.23658,0.26164,-1872.672,6.28551,6.42144,6.63622,0,79.61961,0,32.10862,0,0.01981,0,0.01981,1,0.98059,1,0.99108,-1872.672,7.73834,6.42144,7.14086,-1691.195,57.18811,54.09681,75.44394,-1691.195,57.18811,54.09681,75.44394,-2387.18,-799.6057,54.09681,75.44394,-851.5337,-851.5338,0,0,-2032.698,-2032.698,0,0,0,0,0,0,0,0,0,0,67.28526,5.38155,72.66681
98.74961,0.01667,11.46397,1,24.72878,27.26746,73.3399,-14.33869,-3.41074,-2.71067,-3.41074,-2.71067,-1.25332,-1.25332,-0.01401,-0.01401,-3.42707,0.05868,0.16668,0.1846,-1975.304,0.70039,3.14933,3.3625,0,29.34146,0,11.75764,0,0.00721,0,0.00721,1,0.99293,1,0.99675,-1975.304,0.90704,3.14933,3.42307,-1761.691,43.81637,43.52964,62.03974,-1761.691,43.81637,43.52964,62.03974,-2454.627,-814.6884,43.52964,62.03974,-854.4866,-854.4867,0,0,-2042.646,-2042.646,0,0,0,0,0,0,0,0,0,0,68.9542,4.3857,73.3399
98.76627,0.01667,11.6465,1,24.69073,27.59684,74.1972,-14.19292,-3.4661,-2.7575,-3.4661,-2.7575,-1.26369,-1.26369,-0.00928,-0.00928,-3.53217,-0.04846,0.1095,0.12144,-2066.274,-0.486,1.34702,1.47237,0,3.19455,0,1.27169,0,0.00078,0,0.00078,1,0.99924,1,0.99965,-2066.274,-0.48314,1.34702,1.47221,-1839.505,33.13172,34.61324,50.7217,-1839.505,33.13172,34.61324,50.7217,-2528.73,-827.2978,34.61324,50.7217,-857.4004,-857.4005,0,0,-2052.572,-2052.572,0,0,0,0,0,0,0,0,0,0,70.65212,3.54509,74.1972
98.78294,0.01667,11.82928,1,24.65216,27.9258,75.17709,-14.06654,-3.5213,-2.8042,-3.5213,-2.8042,-1.27488,-1.27488,-0.00542,-0.00542,-3.62477,-0.14268,0.06343,0.07045,-2146.141,-4.22312,0.44921,0.49857,0,0,0,0,0,0,0,0,1,1,1,1,-2146.141,-4.22312,0.44921,0.49857,-1919.638,24.32768,27.26435,41.31195,-1919.638,24.32768,27.26435,41.31195,-2604.949,-838.163,27.26435,41.31195,-860.2734,-860.2733,0,0,-2062.47,-2062.47,0,0,0,0,0,0,0,0,0,0,72.32821,2.84888,75.17709
98.7996,0.01667,12.01227,1,24.61308,28.25559,76.24529,-13.95718,-3.57636,-2.85076,-3.57636,-2.85076,-1.28681,-1.28681,-0.0023,-0.0023,-3.7059,-0.22484,0.0267,0.02969,-2216.152,-10.49223,0.07924,0.08885,0,0,0,0,0,0,0,0,1,1,1,1,-2216.152,-10.49223,0.07924,0.08885,-1998.605,16.26354,21.32008,33.57294,-1998.605,16.26354,21.32008,33.57294,-2680.119,-848.3194,21.32008,33.57294,-863.1051,-863.1052,0,0,-2072.34,-2072.34,0,0,0,0,0,0,0,0,0,0,73.96485,2.28044,76.24529
98.81627,0.01667,12.19545,1,24.5735,28.58685,77.3682,-13.86217,-3.63132,-2.89718,-3.63132,-2.89718,-1.29941,-1.29941,0.00022,0.00022,-3.77695,-0.29632,-0.00248,-0.00276,-2277.863,-18.21486,-0.00081,-0.00085,0,0,0,0,0,0,0,0,1,1,1,1,-2277.863,-18.21486,-0.00081,-0.00085,-2074.205,8.3516,16.58519,27.26042,-2074.205,8.3516,16.58519,27.26042,-2752.239,-858.3026,16.58519,27.26042,-865.8979,-865.8978,0,0,-2082.185,-2082.185,0,0,0,0,0,0,0,0,0,0,75.54671,1.82149,77.3682
98.83294,0.01667,12.37883,1,24.53343,28.91967,78.51604,-13.77876,-3.68623,-2.94351,-3.68623,-2.94351,-1.31255,-1.31255,0.00226,0.00226,-3.83949,-0.35878,-0.02578,-0.02875,-2332.937,-26.66368,-0.0739,-0.08288,0,0,0,0,0,0,0,0,1,1,1,1,-2332.937,-26.66368,-0.0739,-0.08288,-2145.266,0.3425,12.84027,22.12311,-2145.266,0.3425,12.84027,22.12311,-2820.243,-868.342,12.84027,22.12311,-868.6534,-868.6536,0,0,-2092.011,-2092.011,0,0,0,0,0,0,0,0,0,0,77.06355,1.45249,78.51604
98.8496,0.01667,12.29108,0,21.15183,28.33309,21.55588,-13.57348,-3.70004,-2.96025,-3.70004,-2.96025,-1.3017,-1.3017,0.00794,0.00794,-1.38086,1.85266,-0.09054,-0.10092,-386.1882,628.253,-0.90849,-1.01488,0,0,0,0,0,0,0,0,1,1,1,1,-386.1882,628.253,-0.90849,-1.01488,-1794.595,85.21249,9.80151,17.848,-1794.595,85.21249,9.80151,17.848,-1529.369,223.7914,9.80151,17.848,144.3199,144.3199,0,0,399.9547,399.9547,0,0,0,0,0,0,0,0,0,0,20.40722,1.14865,21.55588
98.86627,0.01667,12.21576,0,17.99677,27.50975,2.62719,-13.12046,-3.67573,-2.95347,-3.67573,-2.95347,-1.25846,-1.25846,0.02012,0.02012,0.70054,3.61301,-0.23028,-0.25602,104.247,1987.217,-5.8865,-6.52309,0,0,0,0,0,0,0,0,1,1,1,1,104.247,1987.217,-5.8865,-6.52309,-1259.57,501.9493,6.60213,13.58113,-1259.57,501.9493,6.60213,13.58113,-1075.044,600.2916,6.60213,13.58113,122.9006,122.9007,0,0,397.7839,397.7839,0,0,0,0,0,0,0,0,0,0,1.78872,0.83848,2.62719
98.88294,0.01667,12.14784,0,14.734,26.30132,-24.97339,-12.44493,-3.65238,-2.95588,-3.65238,-2.95588,-1.19773,-1.19773,0.03525,0.03525,2.63245,5.15655,-0.40476,-0.4483,1218.311,3315.602,-18.25702,-20.19658,0,0,0,0,0,0,0,0,1,1,1,1,1218.311,3315.602,-18.25702,-20.19658,-634.3158,1114.604,1.80047,7.95537,-634.3158,1114.604,1.80047,7.95537,-512.671,1178.739,1.80047,7.95537,100.7866,100.7865,0,0,396.2797,396.2797,0,0,0,0,0,0,0,0,0,0,-25.37868,0.40529,-24.97339
98.8996,0.01667,12.08315,0,11.46646,24.57455,-60.69984,-11.46801,-3.62765,-2.96876,-3.62765,-2.96876,-1.11236,-1.11236,0.05405,0.05405,4.2446,6.32095,-0.62281,-0.68602,2592.343,4170.482,-43.1386,-48.04574,0,0,0,0,0,0,0,0,1,1,1,1,2592.343,4170.482,-43.1386,-48.04574,200.7615,1814.799,-6.71366,-1.13262,200.7615,1814.799,-6.71366,-1.13262,275.3452,1857.168,-6.71366,-1.13262,78.59056,78.59058,0,0,395.3362,395.3362,0,0,0,0,0,0,0,0,0,0,-60.37389,-0.32596,-60.69984
98.91627,0.01667,12.0166,0,8.19504,22.29033,-98.2395,-10.14114,-3.59855,-2.99152,-3.59855,-2.99152,-0.99775,-0.99775,0.07687,0.07687,5.47603,7.06335,-0.8896,-0.97248,3584.581,4591.353,-86.50362,-98.25342,0,0,0,0,0,0,0,0,1,1,1,1,3584.581,4591.353,-86.50362,-98.25342,1104.827,2469.403,-21.85342,-16.86997,1104.827,2469.403,-21.85342,-16.86997,1149.827,2500.469,-21.85342,-16.86997,56.2821,56.28223,0,0,394.8427,394.8427,0,0,0,0,0,0,0,0,0,0,-96.6308,-1.6087,-98.2395
98.93294,0.01667,11.94441,0,4.92001,19.49917,-132.6724,-8.49161,-3.56229,-3.02106,-3.56229,-3.02106,-0.85556,-0.85556,0.10258,0.10258,6.33704,7.43203,-1.19331,-1.29196,4112.183,4762.101,-151.4087,-176.1753,0,0,0,0,0,0,0,0,1,1,1,1,4112.183,4762.101,-151.4087,-176.1753,1924.099,3020.269,-46.69374,-43.15682,1924.099,3020.269,-46.69374,-43.15682,1950.845,3042.975,-46.69374,-43.15682,33.83484,33.83472,0,0,394.5072,394.5072,0,0,0,0,0,0,0,0,0,0,-128.9397,-3.73269,-132.6724
98.9496,0.01667,11.8644,0,1.64109,16.29559,-161.7373,-6.59561,-3.51692,-3.05346,-3.51692,-3.05346,-0.69163,-0.69163,0.12881,0.12881,6.88464,7.52796,-1.50834,-1.61452,4314.488,4822.042,-232.7482,-279.4142,0,0,0,0,0,0,0,0,1,1,1,1,4314.488,4822.042,-232.7482,-279.4142,2581.353,3460.53,-82.82146,-83.30445,2581.353,3460.53,-82.82146,-83.30445,2591.577,3470.394,-82.82146,-83.30445,11.28271,11.28271,0,0,393.9719,393.9719,0,0,0,0,0,0,0,0,0,0,-154.8359,-6.90141,-161.7373
