time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
29.58322,0.01667,9.77562,-1,-25.05688,21.30905,114.5774,-16.69221,2.31197,2.84604,2.31197,2.84604,-1.13264,-1.13264,-0.18719,-0.18719,0.65331,-2.31571,2.60678,2.4175,-374.33,-1984.97,426.3931,288.2632,-374.33,-1984.97,426.3931,288.2632,-1190.824,-2649.883,426.3931,288.2632,0,0,0,0,0,0,0,0,84.88829,29.68916,114.5774
29.59988,0.01667,9.9432,-1,-25.02627,22.45402,107.2554,-17.32706,2.33149,2.89722,2.33149,2.89722,-1.19622,-1.19622,-0.19473,-0.19473,1.35631,-1.81708,2.70428,2.49607,-177.4678,-1638.796,474.8815,333.3079,-177.4678,-1638.796,474.8815,333.3079,-1014.452,-2338.582,474.8815,333.3079,0,0,0,0,0,0,0,0,73.68057,33.57484,107.2554
29.61655,0.01667,10.11307,-1,-24.99477,23.44711,100.3926,-17.74588,2.35633,2.94963,2.35633,2.94963,-1.24815,-1.24815,-0.19784,-0.19784,1.87779,-1.46442,2.73809,2.51669,6.89097,-1330.576,516.4642,373.0717,6.89097,-1330.576,516.4642,373.0717,-849.5794,-2061.787,516.4642,373.0717,0,0,0,0,0,0,0,0,63.43842,36.95423,100.3926
29.63321,0.01667,10.28497,-1,-24.96244,24.29975,93.95248,-17.98248,2.38605,3.00316,2.38605,3.00316,-1.28976,-1.28976,-0.19732,-0.19732,2.23775,-1.23913,2.71975,2.49061,180.6508,-1071.262,549.1694,406.0814,180.6508,-1071.262,549.1694,406.0814,-694.4642,-1829.43,549.1694,406.0814,0,0,0,0,0,0,0,0,54.26824,39.68425,93.95248
29.64988,0.01667,10.45893,-1,-24.92928,25.02394,88.00613,-18.07142,2.42019,3.05762,2.42019,3.05762,-1.32252,-1.32252,-0.19409,-0.19409,2.45854,-1.12115,2.66274,2.43055,339.3483,-859.717,572.1195,431.9919,339.3483,-859.717,572.1195,431.9919,-553.1318,-1640.479,572.1195,431.9919,0,0,0,0,0,0,0,0,46.29205,41.71408,88.00613
29.66655,0.01667,10.63512,-1,-24.89527,25.63342,82.69981,-18.04582,2.45823,3.11284,2.45823,3.11284,-1.34791,-1.34791,-0.18908,-0.18908,2.56351,-1.09018,2.58037,2.34881,477.0891,-693.5441,585.4404,450.6528,477.0891,-693.5441,585.4404,450.6528,-430.9062,-1492.763,585.4404,450.6528,0,0,0,0,0,0,0,0,39.65711,43.0427,82.69981
29.68321,0.01667,10.81367,-1,-24.86035,26.14411,78.17905,-17.93717,2.49961,3.16863,2.49961,3.16863,-1.3675,-1.3675,-0.18315,-0.18315,2.57689,-1.1259,2.48511,2.25669,588.9903,-569.0612,590.3447,462.0426,588.9903,-569.0612,590.3447,462.0426,-332.197,-1382.938,590.3447,462.0426,0,0,0,0,0,0,0,0,34.45944,43.71961,78.17905
29.69988,0.01667,10.99464,-1,-24.82449,26.57354,74.58488,-17.77436,2.54372,3.22482,2.54372,3.22482,-1.38281,-1.38281,-0.17708,-0.17708,2.52272,-1.20871,2.38796,2.16404,671.6321,-481.9382,588.588,466.8273,671.6321,-481.9382,588.588,466.8273,-260.0898,-1307.068,588.588,466.8273,0,0,0,0,0,0,0,0,30.73946,43.84541,74.58488
29.71655,0.01667,11.17795,-1,-24.78769,26.94113,72.02971,-17.58299,2.58991,3.28125,2.58991,3.28125,-1.39534,-1.39534,-0.17149,-0.17149,2.42423,-1.32027,2.29771,2.07858,723.8777,-427.5944,581.9798,466.7348,723.8777,-427.5944,581.9798,466.7348,-215.6028,-1260.987,581.9798,466.7348,0,0,0,0,0,0,0,0,28.46267,43.56704,72.02971
29.73321,0.01667,11.3634,-1,-24.74995,27.26563,70.49084,-17.38449,2.63756,3.33778,2.63756,3.33778,-1.40644,-1.40644,-0.16688,-0.16688,2.30245,-1.44439,2.22083,2.00594,748.2897,-401.1722,572.1804,463.2605,748.2897,-401.1722,572.1804,463.2605,-196.3989,-1240.275,572.1804,463.2605,0,0,0,0,0,0,0,0,27.47524,43.0156,70.49084
29.74988,0.01667,11.5507,-1,-24.71131,27.56411,69.88574,-17.19563,2.6861,3.39431,2.6861,3.39431,-1.41728,-1.41728,-0.16356,-0.16356,2.17517,-1.56771,2.16169,1.94981,749.1699,-397.5086,560.7446,457.9787,749.1699,-397.5086,560.7446,457.9787,-198.5625,-1240.235,560.7446,457.9787,0,0,0,0,0,0,0,0,27.56464,42.3211,69.88574
