time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
3.01665,0.01667,9.07987,1,25.18197,-22.76976,-52.20531,16.4085,2.68707,2.1028,2.68707,2.1028,1.09831,1.09831,0.064,0.064,1.97458,-1.42136,-0.84606,-0.91714,596.7568,-95.42574,-86.24264,-44.16303,604.0969,-40.61572,-27.56368,-12.73269,1385.89,802.4506,-27.56368,-12.73269,228.6447,-228.6447,-140.1457,-140.1457,-134.0195,278.0043,-227.6473,-227.6473,-50.53127,-1.67404,-52.20531
3.03332,0.01667,9.26524,1,25.14997,-23.03494,-52.72283,16.69639,2.73633,2.1446,2.73633,2.1446,1.13008,1.13008,0.08256,0.08256,1.83682,-1.58906,-1.08368,-1.17652,532.7459,-138.4386,-140.3903,-79.14729,590.4933,-61.766,-46.17981,-23.49152,1376.653,786.2289,-46.17981,-23.49152,148.4809,-148.4809,-91.00996,-91.00996,-87.12229,180.5144,-147.8331,-147.8331,-49.82845,-2.89438,-52.72283
3.04999,0.01667,9.45194,1,25.11717,-23.26326,-53.47928,16.97608,2.78533,2.18727,2.78533,2.18727,1.16133,1.16133,0.10261,0.10261,1.70422,-1.74387,-1.33739,-1.45394,466.1199,-191.5619,-209.6739,-130.5034,564.0762,-90.11346,-73.69699,-41.13844,1355.797,763.4659,-73.69699,-41.13844,84.37849,-84.37849,-51.71902,-51.71902,-49.56253,102.5705,-84.01041,-84.01041,-48.70864,-4.77064,-53.47928
3.06665,0.01667,9.63948,1,25.08363,-23.47134,-54.62411,17.22923,2.8344,2.23077,2.8344,2.23077,1.19146,1.19146,0.12287,0.12287,1.5855,-1.87866,-1.58999,-1.73066,407.131,-252.9981,-289.4317,-198.1938,529.1669,-126.0545,-110.6273,-67.48802,1327.239,733.8112,-110.6273,-67.48802,37.5764,-37.5764,-23.03211,-23.03211,-22.09579,45.67243,-37.41248,-37.41248,-47.22462,-7.39949,-54.62411
3.08332,0.01667,9.82727,1,25.04946,-23.67794,-56.2572,17.44007,2.88389,2.27497,2.88389,2.27497,1.21997,1.21997,0.142,0.142,1.48811,-1.988,-1.82432,-1.98805,361.3345,-319.4022,-372.8825,-278.6869,490.8494,-169.1602,-156.2354,-103.509,1295.591,697.6604,-156.2354,-103.509,9.16233,-9.16233,-5.61596,-5.61596,-5.39363,11.13504,-9.12236,-9.12236,-45.46657,-10.79063,-56.2572
3.09999,0.01667,10.01473,1,25.01475,-23.90213,-58.37832,17.59634,2.93412,2.31969,2.93412,2.31969,1.24647,1.24647,0.15876,0.15876,1.41781,-2.0685,-2.02456,-2.20887,329.7955,-386.2528,-451.1959,-365.0346,453.3636,-218.0696,-208.3238,-148.8273,1264.704,656.252,-208.3238,-148.8273,0,0,0,0,0,0,0,0,-43.54109,-14.83723,-58.37832
3.11665,0.01667,10.20145,1,24.97963,-24.15765,-60.88417,17.69039,2.98536,2.36475,2.98536,2.36475,1.27072,1.27072,0.17209,0.17209,1.37808,-2.1189,-2.1781,-2.37937,312.7639,-448.4119,-515.5952,-448.3294,420.0283,-270.5285,-263.42,-201.5262,1237.593,611.632,-263.42,-201.5262,0,0,0,0,0,0,0,0,-41.56878,-19.31539,-60.88417
3.13332,0.01667,10.38744,1,24.94413,-24.44853,-63.62577,17.72357,3.03769,2.41004,3.03769,2.41004,1.29277,1.29277,0.18166,0.18166,1.36848,-2.14075,-2.28161,-2.49585,308.9604,-501.5986,-562.2921,-520.8815,392.9378,-323.721,-318.163,-258.5038,1216.162,566.3536,-318.163,-258.5038,0,0,0,0,0,0,0,0,-39.66914,-23.95663,-63.62577
3.14999,0.01667,10.57278,1,24.90825,-24.77543,-66.4385,17.70256,3.09113,2.45549,3.09113,2.45549,1.31282,1.31282,0.18758,0.18758,1.38591,-2.13753,-2.33758,-2.56087,316.9055,-542.8007,-590.2472,-577.6258,373.4719,-374.7144,-369.4635,-316.1868,1201.666,523.0733,-369.4635,-316.1868,0,0,0,0,0,0,0,0,-37.95434,-28.48416,-66.4385
3.16665,0.01667,10.75769,1,24.87198,-25.13612,-69.15067,17.63674,3.14559,2.50106,3.14559,2.50106,1.3312,1.3312,0.19021,0.19021,1.42573,-2.11396,-2.35152,-2.58026,334.9684,-570.5679,-600.668,-615.831,362.5959,-420.8408,-414.3652,-371.0488,1194.981,484.2078,-414.3652,-371.0488,0,0,0,0,0,0,0,0,-36.522,-32.62867,-69.15067
