time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
69.69972,0.01667,13.15241,1,24.32599,-28.6346,-42.37948,15.94144,3.89847,3.15586,3.89847,3.15586,1.50707,1.50707,0.19245,0.19245,2.57483,-0.90504,-2.1307,-2.37567,1262.056,-141.0139,-502.6468,-417.4148,0,0,0,0,0,0,0,0,1,1,1,1,1262.056,-141.0139,-502.6468,-417.4148,1021.626,-353.8893,-540.7681,-587.7781,1021.626,-353.8893,-540.7681,-587.7781,748.8209,-504.5713,-540.7681,-587.7781,-182.1014,-182.1015,0,0,-442.0714,-442.0714,0,0,0,0,0,0,0,0,0,0,4.50402,-46.8835,-42.37948
69.71639,0.01667,13.04612,1,24.35058,-28.42795,-43.55146,15.89751,3.86796,3.13106,3.86796,3.13106,1.49243,1.49243,0.18792,0.18792,2.61458,-0.8512,-2.08976,-2.32815,1298.608,-123.0185,-493.7858,-404.8454,0,0,0,0,0,0,0,0,1,1,1,1,1298.608,-123.0185,-493.7858,-404.8454,1103.183,-296.5244,-530.1111,-552.4454,1103.183,-296.5244,-530.1111,-552.4454,824.1544,-451.0343,-530.1111,-552.4454,-180.8887,-180.8887,0,0,-438.7109,-438.7109,0,0,0,0,0,0,0,0,0,0,1.42148,-44.97293,-43.55146
69.73305,0.01667,12.94011,1,24.37496,-28.24377,-44.30432,15.89278,3.83717,3.10529,3.83717,3.10529,1.48069,1.48069,0.18506,0.18506,2.62356,-0.83528,-2.06734,-2.30152,1306.003,-117.2518,-488.8033,-400.1853,0,0,0,0,0,0,0,0,1,1,1,1,1306.003,-117.2518,-488.8033,-400.1853,1163.87,-251.8363,-520.6582,-522.9897,1163.87,-251.8363,-520.6582,-522.9897,880.4959,-409.0203,-520.6582,-522.9897,-179.6317,-179.6316,0,0,-435.2528,-435.2528,0,0,0,0,0,0,0,0,0,0,-0.94777,-43.35655,-44.30432
69.74972,0.01667,12.83445,1,24.39913,-28.0748,-44.67875,15.91756,3.8062,3.07886,3.8062,3.07886,1.47107,1.47107,0.18348,0.18348,2.60962,-0.8474,-2.05898,-2.29072,1291.179,-119.9116,-486.5701,-401.4925,0,0,0,0,0,0,0,0,1,1,1,1,1291.179,-119.9116,-486.5701,-401.4925,1203.071,-218.7972,-512.8193,-499.4393,1203.071,-218.7972,-512.8193,-499.4393,917.2842,-377.5968,-512.8193,-499.4393,-178.3405,-178.3404,0,0,-431.7223,-431.7223,0,0,0,0,0,0,0,0,0,0,-2.62622,-42.05254,-44.67875
69.76639,0.01667,12.72923,1,24.42307,-27.91491,-44.73261,15.9622,3.77515,3.05204,3.77515,3.05204,1.46285,1.46285,0.18275,0.18275,2.58039,-0.87803,-2.06011,-2.29056,1261.382,-128.42,-485.7855,-406.8913,0,0,0,0,0,0,0,0,1,1,1,1,1261.382,-128.42,-485.7855,-406.8913,1222.509,-195.9488,-506.6053,-481.447,1222.509,-195.9488,-506.6053,-481.447,936.0897,-355.4409,-506.6053,-481.447,-177.0262,-177.0262,0,0,-428.1465,-428.1465,0,0,0,0,0,0,0,0,0,0,-3.68569,-41.04692,-44.73261
69.78305,0.01667,12.62454,1,24.44675,-27.75921,-44.52707,16.01797,3.74415,3.0251,3.74415,3.0251,1.4554,1.4554,0.18249,0.18249,2.54266,-0.91882,-2.06647,-2.29625,1223.22,-140.7776,-485.2229,-414.6461,0,0,0,0,0,0,0,0,1,1,1,1,1223.22,-140.7776,-485.2229,-414.6461,1225.371,-181.6981,-501.7354,-468.3975,1225.371,-181.6981,-501.7354,-468.3975,939.813,-341.1075,-501.7354,-468.3975,-175.6993,-175.6994,0,0,-424.5511,-424.5511,0,0,0,0,0,0,0,0,0,0,-4.22457,-40.30249,-44.52707
69.79972,0.01667,12.52046,1,24.47017,-27.60394,-44.12013,16.07745,3.71327,2.99823,3.71327,2.99823,1.44819,1.44819,0.18237,0.18237,2.50207,-0.96279,-2.07445,-2.30374,1182.17,-155.2144,-483.8894,-423.2228,0,0,0,0,0,0,0,0,1,1,1,1,1182.17,-155.2144,-483.8894,-423.2228,1215.531,-174.4288,-497.7582,-459.5017,1215.531,-174.4288,-497.7582,-459.5017,931.9784,-333.1307,-497.7582,-459.5017,-174.3696,-174.3696,0,0,-420.9595,-420.9595,0,0,0,0,0,0,0,0,0,0,-4.35242,-39.76771,-44.12013
69.81639,0.01667,12.41707,1,24.4933,-27.44637,-43.56333,16.13486,3.6826,2.97159,3.6826,2.97159,1.44083,1.44083,0.18215,0.18215,2.46299,-1.00463,-2.08128,-2.30992,1142.339,-170.1136,-481.125,-431.3583,0,0,0,0,0,0,0,0,1,1,1,1,1142.339,-170.1136,-481.125,-431.3583,1196.942,-172.5455,-494.1665,-453.8573,1196.942,-172.5455,-494.1665,-453.8573,916.1841,-330.063,-494.1665,-453.8573,-173.0449,-173.0449,0,0,-417.3911,-417.3911,0,0,0,0,0,0,0,0,0,0,-4.17932,-39.38401,-43.56333
69.83305,0.01667,12.31443,1,24.51612,-27.28459,-42.90063,16.18606,3.6522,2.94531,3.6522,2.94531,1.43305,1.43305,0.18166,0.18166,2.4285,-1.04052,-2.08503,-2.31263,1104.226,-184.2533,-477.1497,-438.5998,0,0,0,0,0,0,0,0,1,1,1,1,1104.226,-184.2533,-477.1497,-438.5998,1172.667,-174.6136,-490.5916,-450.6928,1172.667,-174.6136,-490.5916,-450.6928,895.2135,-330.6025,-490.5916,-450.6928,-171.7313,-171.7313,0,0,-413.861,-413.861,0,0,0,0,0,0,0,0,0,0,-3.7966,-39.10403,-42.90063
69.84972,0.01667,12.21258,1,24.53864,-27.1175,-42.17519,16.22829,3.6221,2.91945,3.6221,2.91945,1.42469,1.42469,0.18082,0.18082,2.40062,-1.06801,-2.08449,-2.31051,1073.193,-196.1267,-471.0271,-443.5032,0,0,0,0,0,0,0,0,1,1,1,1,1073.193,-196.1267,-471.0271,-443.5032,1146.195,-179.1992,-486.578,-449.149,1146.195,-179.1992,-486.578,-449.149,872.2388,-333.4478,-486.578,-449.149,-170.4337,-170.4337,0,0,-410.3802,-410.3802,0,0,0,0,0,0,0,0,0,0,-3.30203,-38.87316,-42.17519
