time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
4.28332,0.01667,3.11923,0.82919,1,1,0,0,1,1973.334,1717.186,0.58299,0,4673.899,0,-0,1,0,25.90186,-8.47369,-49.16819,6.94739,0.90387,0.69231,0.90387,0.69231,0.38603,0.38603,0.01151,0.01151,0.77498,-0.7402,-0.18743,-0.19004,1.40821,-0.95905,-1.89691,-1.45649,3418.349,-3348.396,-651.0767,-651.0767,1,1,1,1,0.01437,0.00994,0.39524,0.2734,3418.349,-3348.396,-651.0767,-651.0767,2972.913,-2772.416,-482.4473,-482.4473,2972.913,-2772.416,-482.4473,-482.4473,3695.117,-1473.056,-482.4473,-482.4473,1020.852,1020.852,0,0,2336.95,2336.95,0,0,0,0,0,0,0,0,0,0,-9.08331,-40.08488,-49.16819
4.29998,0.01667,3.3512,0.89204,1,1,0,0,1,2050.001,1793.065,0.64113,0,4738.51,0,-0,1,0,25.8865,-9.0344,-49.72795,7.37274,0.9736,0.74745,0.9736,0.74745,0.41092,0.41092,0.01058,0.01058,0.89698,-0.71365,-0.17139,-0.17412,2.03595,-0.99878,-1.73773,-1.37262,3412.477,-3239.067,-598.5073,-598.5073,1,1,1,1,0.01569,0.01113,0.4315,0.30607,3412.477,-3239.067,-598.5073,-598.5073,3079.78,-2893.208,-507.0419,-507.0419,3079.78,-2893.208,-507.0419,-507.0419,3805.149,-1568.513,-507.0419,-507.0419,1034.393,1034.393,0,0,2369.255,2369.255,0,0,0,0,0,0,0,0,0,0,-7.5996,-42.12836,-49.72795
4.31665,0.01667,3.58502,0.95537,1,1,0,0,1,2126.667,1869.175,0.69747,0,4788.884,0,-0,1,0,25.86992,-9.58929,-50.48092,7.78655,1.04394,0.80339,1.04394,0.80339,0.43531,0.43531,0.00948,0.00948,1.02794,-0.67464,-0.15277,-0.15552,2.84806,-0.98997,-1.49186,-1.21398,3411.447,-3073.086,-536.4804,-536.4804,1,1,1,1,0.0169,0.01232,0.4647,0.33881,3411.447,-3073.086,-536.4804,-536.4804,3160.217,-2946.361,-515.1385,-515.1385,3160.217,-2946.361,-515.1385,-515.1385,3888.287,-1606.332,-515.1385,-515.1385,1044.765,1044.766,0,0,2394.442,2394.442,0,0,0,0,0,0,0,0,0,0,-7.67985,-42.80107,-50.48092
4.33332,0.01667,3.82066,1.01894,1,1,0,0,1,2203.334,1945.449,0.75126,0,4839.26,0,-0,1,0,25.85212,-10.14645,-51.79573,8.21634,1.11456,0.85969,1.11456,0.85969,0.46025,0.46025,0.00905,0.00905,1.14992,-0.64231,-0.14499,-0.14793,3.75191,-0.98387,-1.43115,-1.20156,3414.339,-2937.122,-512.2274,-512.2274,1,1,1,1,0.01796,0.01349,0.49377,0.37092,3414.339,-2937.122,-512.2274,-512.2274,3221.638,-2950.855,-515.0898,-515.0898,3221.638,-2950.855,-515.0898,-515.0898,3954.304,-1600.462,-515.0898,-515.0898,1055.079,1055.079,0,0,2419.63,2419.63,0,0,0,0,0,0,0,0,0,0,-8.9987,-42.79703,-51.79573
4.34998,0.01667,4.05807,1.08269,1,1,0,0,1,2280,2021.839,0.80175,0,4889.634,0,-0,1,0,25.83307,-10.71609,-53.72817,8.67608,1.18549,0.91609,1.18549,0.91609,0.48642,0.48642,0.00952,0.00952,1.25317,-0.62839,-0.15144,-0.15486,4.63988,-1.02031,-1.63864,-1.42277,3420.163,-2885.307,-538.4244,-538.4244,1,1,1,1,0.01883,0.01461,0.51778,0.4018,3420.163,-2885.307,-538.4244,-538.4244,3269.425,-2936.543,-517.8249,-517.8249,3269.425,-2936.543,-517.8249,-517.8249,4008.033,-1577.756,-517.8249,-517.8249,1065.331,1065.331,0,0,2444.817,2444.817,0,0,0,0,0,0,0,0,0,0,-10.70389,-43.02428,-53.72817
4.36665,0.01667,4.29525,1.14625,1,1,0,0,1,2153.334,2073.229,0.84819,0,4873.208,0,-0,1,0,25.81279,-11.29876,-55.25814,9.16084,1.25684,0.97249,1.25684,0.97249,0.51381,0.51381,0.01045,0.01045,1.33888,-0.63335,-0.1651,-0.16923,5.45308,-1.11057,-2.01524,-1.81534,3427.931,-2920.715,-590.9144,-590.9144,1,1,1,1,0.01948,0.01567,0.53582,0.43095,3427.931,-2920.715,-590.9144,-590.9144,3307.409,-2929.658,-529.1479,-529.1479,3307.409,-2929.658,-529.1479,-529.1479,4038.376,-1576.366,-529.1479,-529.1479,1060.976,1060.976,0,0,2436.604,2436.604,0,0,0,0,0,0,0,0,0,0,-11.29307,-43.96507,-55.25814
4.38332,0.01667,4.5266,1.20834,1,1,0,0,1,2026.667,2099.618,0.88983,0,4789.98,0,-0,1,0,25.79178,-11.87555,-55.92192,9.63605,1.32714,1.0278,1.32714,1.0278,0.54094,0.54094,0.01104,0.01104,1.41865,-0.64281,-0.17329,-0.17806,6.22043,-1.21305,-2.26496,-2.12519,3437.106,-2977.577,-624.4944,-624.4944,1,1,1,1,0.01988,0.01663,0.54673,0.45743,3437.106,-2977.577,-624.4944,-624.4944,3338.327,-2938.208,-545.9796,-545.9796,3338.327,-2938.208,-545.9796,-545.9796,4047.832,-1603.442,-545.9796,-545.9796,1042.065,1042.065,0,0,2394.99,2394.99,0,0,0,0,0,0,0,0,0,0,-10.55836,-45.36356,-55.92192
4.39998,0.01667,4.7521,1.26902,1,1,0,0,1,1900.001,2033.857,0.92593,0,4698.722,0,-0,1,0,25.77027,-12.43908,-56.0074,10.085,1.39592,1.08182,1.39592,1.08182,0.56702,0.56702,0.01098,0.01098,1.50045,-0.64691,-0.17113,-0.17628,6.99052,-1.29132,-2.22247,-2.18232,3447.698,-3010.243,-621.0364,-621.0364,0.99995,1,0.99995,1,0.02005,0.01749,0.55002,0.48088,3447.511,-3010.243,-621.0028,-621.0364,3364.217,-2954.343,-560.6288,-560.6322,3364.217,-2954.343,-560.6288,-560.6322,4051.044,-1639.1,-560.6288,-560.6322,1021.417,1021.417,0,0,2349.361,2349.361,0,0,0,0,0,0,0,0,0,0,-9.42655,-46.58086,-56.0074
4.41665,0.01667,4.97089,1.32803,1,1,0,0,1,1773.334,2008.857,0.95572,1,4587.751,0,-0,1,0,25.74839,-12.97554,-55.20774,10.50515,1.46291,1.13456,1.46291,1.13456,0.59175,0.59175,0.01049,0.01049,1.58654,-0.64134,-0.16236,-0.16766,10.79467,-1.32392,-2.01359,-2.05015,3433.09,-2998.21,-593.3659,-593.3659,0.99204,1,0.99204,1,0.02781,0.01822,0.55358,0.5011,3405.833,-2998.21,-588.656,-593.3659,3377.881,-2966.404,-567.5635,-568.1619,3377.881,-2966.404,-567.5635,-568.1619,4038.998,-1675.365,-567.5635,-568.1619,996.5054,996.5054,0,0,2293.875,2293.875,0,0,0,0,0,0,0,0,0,0,-8.02599,-47.18175,-55.20774
4.43332,0.01667,5.18322,1.38543,1,1,0,0,1,1646.667,1958.858,0.97847,1,4476.781,0,-0,1,0,25.72629,-13.47522,-53.86477,10.89821,1.52781,1.18606,1.52781,1.18606,0.61498,0.61498,0.00999,0.00999,1.67739,-0.6235,-0.15354,-0.15894,20.31782,-1.29666,-1.82899,-1.89537,3380.726,-2928.49,-565.1019,-565.1019,0.97246,1,0.97246,1,0.04699,0.01883,0.56239,0.51795,3288.187,-2928.49,-549.5905,-565.1019,3363.67,-2962.023,-565.8705,-568.7352,3363.67,-2962.023,-565.8705,-568.7352,4001.88,-1696.798,-565.8705,-568.7352,971.6238,971.6238,0,0,2238.39,2238.39,0,0,0,0,0,0,0,0,0,0,-6.72953,-47.13524,-53.86477
