time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
99.46627,0.01667,8.91986,-1,-25.18762,-19.57966,-2.22669,12.89663,-2.16808,-2.68136,-2.16808,-2.68136,0.90048,0.90048,-0.00816,-0.00816,1.53186,4.3092,0.11595,0.10798,251.5814,2339.921,1.42484,1.40515,-1645.94,-55.01967,461.6458,28.55981,0.41077,0.01439,0.41077,0.01439,0.59745,0.9859,0.81515,0.99352,-527.8621,2305.453,190.4695,1.79597,-446.1522,2023.006,193.0956,-10.83444,-446.1522,2023.006,193.0956,-10.83444,-534.2814,1700.107,193.0956,-10.83444,-130.5498,-130.5498,0,0,306.7546,306.7546,0,0,0,0,0,0,0,0,0,0,-9.79841,7.57173,-2.22669
99.48294,0.01667,8.84929,-1,-25.19962,-19.02881,-3.71101,12.83194,-2.15708,-2.65557,-2.15708,-2.65557,0.88347,0.88347,0.001,0.001,1.69341,4.39114,-0.0142,-0.01325,299.2743,2381.025,-0.02135,-0.02115,-1704.652,-86.25094,0,0,0.42249,0.0226,0.42249,0.0226,0.58596,0.97785,0.80988,0.98983,-547.3735,2325.253,-0.02135,-0.02115,-469.4702,2095.541,164.3301,-8.71607,-469.4702,2095.541,164.3301,-8.71607,-554.7876,1766.111,164.3301,-8.71607,-129.9969,-129.9969,0,0,305.3196,305.3196,0,0,0,0,0,0,0,0,0,0,-10.17572,6.46472,-3.71101
99.4996,0.01667,8.77784,-1,-25.21167,-18.53645,-6.50846,12.78527,-2.14507,-2.63002,-2.14507,-2.63002,0.86804,0.86804,0.00953,0.00953,1.829,4.45561,-0.13586,-0.12706,338.868,2406.083,-1.9077,-1.92044,-1763.956,-123.5864,-539.2792,-64.1035,0.43534,0.03241,0.43534,0.03241,0.57337,0.96824,0.8041,0.98541,-576.5758,2324.088,-235.847,-3.93598,-493.6558,2151.276,98.28806,-7.65235,-493.6558,2151.276,98.28806,-7.65235,-576.0687,1816.908,98.28806,-7.65235,-129.4384,-129.4384,0,0,303.872,303.872,0,0,0,0,0,0,0,0,0,0,-10.27377,3.7653,-6.50846
99.51627,0.01667,8.70537,-1,-25.2238,-18.11461,-9.94446,12.73612,-2.13195,-2.60508,-2.13195,-2.60508,0.85362,0.85362,0.01606,0.01606,1.94535,4.5111,-0.22925,-0.21479,370.8726,2422.32,-5.31599,-5.43387,-1824.646,-165.9982,-908.3841,-86.29532,0.44941,0.04352,0.44941,0.04352,0.55957,0.95735,0.79776,0.98041,-615.8248,2309.666,-411.1677,-8.95328,-520.9331,2190.643,9.7175,-7.66229,-520.9331,2190.643,9.7175,-7.66229,-600.1414,1852.886,9.7175,-7.66229,-128.8792,-128.8792,0,0,302.4232,302.4232,0,0,0,0,0,0,0,0,0,0,-10.02984,0.08538,-9.94446
99.53294,0.01667,8.63207,-1,-25.23602,-17.75889,-12.95103,12.66957,-2.1178,-2.58093,-2.1178,-2.58093,0.8397,0.8397,0.01983,0.01983,2.04969,4.5649,-0.2837,-0.26622,396.9438,2435.566,-7.98898,-8.29953,-1886.85,-212.493,-967.9115,-110.8001,0.46463,0.05566,0.46463,0.05566,0.54466,0.94546,0.79092,0.97496,-664.1732,2288.188,-453.9968,-14.00422,-552.8305,2215.583,-76.22716,-8.63767,-552.8305,2215.583,-76.22716,-8.63767,-628.3923,1875.802,-76.22716,-8.63767,-128.3244,-128.3243,0,0,300.985,300.985,0,0,0,0,0,0,0,0,0,0,-9.42547,-3.52556,-12.95103
99.5496,0.01667,8.55828,-1,-25.24825,-17.45465,-15.19446,12.57972,-2.10292,-2.55757,-2.10292,-2.55757,0.82586,0.82586,0.021,0.021,2.14896,4.62179,-0.30101,-0.28285,419.2929,2449.228,-8.8516,-9.34412,-1949.845,-262.4406,-996.0756,-137.2838,0.48067,0.06863,0.48067,0.06863,0.52894,0.93275,0.7837,0.96912,-719.4826,2263.139,-483.3813,-18.12403,-590.0468,2228.562,-151.4743,-10.24982,-590.0468,2228.562,-151.4743,-10.24982,-661.4567,1887.886,-151.4743,-10.24982,-127.7782,-127.7782,0,0,299.5684,299.5684,0,0,0,0,0,0,0,0,0,0,-8.47591,-6.71855,-15.19446
99.56627,0.01667,8.48425,-1,-25.26046,-17.18881,-16.76563,12.463,-2.08758,-2.53491,-2.08758,-2.53491,0.81176,0.81176,0.01986,0.01986,2.24927,4.6856,-0.28523,-0.26833,440.2171,2466.3,-7.83969,-8.4098,-2013.371,-315.4543,-1024.759,-165.503,0.49721,0.08231,0.49721,0.08231,0.51273,0.91934,0.77625,0.96296,-779.743,2237.347,-513.4669,-21.33943,-632.6036,2232.166,-218.1905,-12.19989,-632.6036,2232.166,-218.1905,-12.19989,-699.8419,1890.99,-218.1905,-12.19989,-127.7296,-127.7296,0,0,299.3191,299.3191,0,0,0,0,0,0,0,0,0,0,-7.19446,-9.57117,-16.76563
99.58294,0.01667,8.41022,-1,-25.2726,-16.94872,-17.56528,12.31618,-2.07202,-2.51287,-2.07202,-2.51287,0.79709,0.79709,0.01666,0.01666,2.35581,4.75954,-0.23971,-0.22575,461.4136,2487.472,-5.48395,-5.96153,-2076.102,-371.0703,-942.4108,-195.1519,0.51401,0.0966,0.51401,0.0966,0.49627,0.90533,0.7687,0.95653,-842.8917,2211.324,-487.0727,-24.23818,-680.0118,2228.573,-272.5049,-14.33346,-680.0118,2228.573,-272.5049,-14.33346,-742.7126,1887.482,-272.5049,-14.33346,-127.7869,-127.7869,0,0,299.3191,299.3191,0,0,0,0,0,0,0,0,0,0,-5.64907,-11.9162,-17.56528
99.5996,0.01667,8.33669,-1,-25.28461,-16.71097,-16.86145,12.14128,-2.05652,-2.49129,-2.05652,-2.49129,0.78167,0.78167,0.01203,0.01203,2.47257,4.84497,-0.17341,-0.16347,484.4703,2513.055,-2.85084,-3.13229,-2137.306,-429.2042,-680.3514,-226.114,0.53071,0.1115,0.53071,0.1115,0.4799,0.89073,0.76118,0.94982,-906.9379,2184.98,-362.4085,-27.99574,-731.4402,2219.505,-295.3551,-16.71777,-731.4402,2219.505,-295.3551,-16.71777,-789.21,1879.026,-295.3551,-16.71777,-127.8437,-127.8436,0,0,299.3191,299.3191,0,0,0,0,0,0,0,0,0,0,-3.89692,-12.96453,-16.86145
99.61627,0.01667,8.26417,-1,-25.29642,-16.45139,-14.74642,11.94677,-2.04149,-2.4699,-2.04149,-2.4699,0.76548,0.76548,0.00707,0.00707,2.60244,4.94116,-0.10219,-0.09643,510.6855,2541.408,-0.98519,-1.09106,-2195.73,-490.2158,-400.139,-258.5121,0.54689,0.12711,0.54689,0.12711,0.46404,0.87544,0.7539,0.9428,-969.4393,2156.07,-219.2804,-33.81085,-785.6746,2205.805,-287.4513,-19.64608,-785.6746,2205.805,-287.4513,-19.64608,-838.2351,1866.39,-287.4513,-19.64608,-127.8994,-127.8994,0,0,299.3191,299.3191,0,0,0,0,0,0,0,0,0,0,-1.98859,-12.75783,-14.74642
