time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
4.43332,0.01667,7.20554,1.91541,1,1,0,0,1,900,1018.323,1,1,3854.761,0,-0,1,0,25.47591,-17.2149,-51.489,16.01641,2.11053,1.67015,2.11053,1.67015,0.87037,0.87037,0.09077,0.09077,1.74715,-1.01867,-1.29943,-1.37272,261.3459,-22.23317,-162.7521,-139.2272,276.6481,-297.3499,-126.749,-244.1504,0.47246,0.89451,0.47246,0.89451,0.53699,0.12338,0.78739,0.59747,268.5756,-268.3285,-145.742,-233.0823,259.1678,-330.0625,-152.4485,-225.3584,259.1678,-330.0625,-152.4485,-225.3584,1062.995,531.0582,-152.4485,-225.3584,829.0275,829.0275,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-35.79366,-15.69534,-51.489
4.44998,0.01667,7.39191,1.96536,1,1,0,0,1,901.8613,989.7406,1,1,3854.761,0,-0,1,0,25.44929,-17.54809,-52.17211,16.37317,2.16491,1.71593,2.16491,1.71593,0.88965,0.88965,0.09485,0.09485,1.80413,-0.99234,-1.34797,-1.42661,308.4973,-26.8239,-179.6946,-152.4874,253.4993,-280.5343,-115.7587,-243.9655,0.41415,0.86084,0.41415,0.86084,0.59414,0.15638,0.81363,0.61262,285.72,-245.2269,-153.2157,-231.235,264.5396,-310.7638,-152.214,-226.5431,264.5396,-310.7638,-152.214,-226.5431,1067.089,547.6096,-152.214,-226.5431,828.2188,828.2188,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-36.43729,-15.73481,-52.17211
4.46665,0.01667,7.57765,2.01499,1,1,0,0,1,925.0034,971.3245,1,1,3854.761,0,-0,1,0,25.42216,-17.88409,-52.99703,16.73917,2.21902,1.76141,2.21902,1.76141,0.90937,0.90937,0.09927,0.09927,1.85197,-0.97498,-1.40068,-1.4851,355.839,-31.94091,-198.6985,-167.9209,227.0389,-265.4272,-104.2214,-243.0909,0.35717,0.82397,0.35717,0.82397,0.64997,0.19251,0.83927,0.62922,309.8356,-224.3257,-164.9542,-229.8584,274.0699,-290.9441,-154.0376,-227.2203,274.0699,-290.9441,-154.0376,-227.2203,1074.926,564.6227,-154.0376,-227.2203,827.3945,827.3944,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-37.15833,-15.8387,-52.99703
4.48332,0.01667,7.76268,2.06428,1,1,0,0,1,947.9937,962.1031,1,1,3854.761,0,-0,1,0,25.39454,-18.22527,-53.97746,16.80124,2.27285,1.80651,2.27285,1.80651,0.92959,0.92959,0.10403,0.10403,1.88982,-0.96795,-1.45708,-1.54771,401.5247,-37.85004,-219.7419,-185.6281,198.1932,-252.3387,-92.19111,-241.4057,0.30222,0.78445,0.30222,0.78445,0.70383,0.23124,0.864,0.647,340.0741,-206.1054,-181.1936,-229.3828,288.2953,-271.3555,-158.3701,-227.6358,288.2953,-271.3555,-158.3701,-227.6358,1086.994,581.4192,-158.3701,-227.6358,826.5553,826.5553,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-37.94151,-16.03595,-53.97746
4.49998,0.01667,7.94689,2.11319,1,1,0,0,1,970.8154,960.5577,1,1,3854.761,0,-0,1,0,25.36646,-18.5741,-55.12146,16.80072,2.32641,1.85116,2.32641,1.85116,0.95038,0.95038,0.10906,0.10906,1.91706,-0.97239,-1.51643,-1.6137,443.6661,-44.9277,-242.6819,-205.6266,168.0141,-241.3979,-79.76689,-238.7556,0.24997,0.74283,0.24997,0.74283,0.75503,0.27203,0.88752,0.66573,374.7625,-190.8712,-201.9587,-230.2357,307.2614,-252.6513,-165.5924,-228.0695,307.2614,-252.6513,-165.5924,-228.0695,1103.339,597.4098,-165.5924,-228.0695,825.702,825.702,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-38.76745,-16.35401,-55.12146
4.51665,0.01667,8.13018,2.16169,1,1,0,0,1,993.4546,965.1152,1,1,3854.761,0,-0,1,0,25.33796,-18.933,-56.42894,16.81458,2.37968,1.8953,2.37968,1.8953,0.9718,0.9718,0.11431,0.11431,1.93336,-0.98911,-1.57774,-1.68204,480.4928,-53.65314,-267.2256,-227.8233,137.6218,-232.5422,-67.10856,-234.9725,0.20105,0.69963,0.20105,0.69963,0.80297,0.31436,0.90953,0.68517,411.5575,-178.8092,-226.9914,-232.8251,330.4696,-235.3769,-175.9787,-228.827,330.4696,-235.3769,-175.9787,-228.827,1123.514,612.1021,-175.9787,-228.827,824.8355,824.8356,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,-39.61199,-16.81695,-56.42894
4.53332,0.01667,8.31257,2.2098,1,1,0,0,1,1015.9,974.3638,1,1,3858.881,0,-0,1,0,25.30905,-19.30455,-57.93407,16.84154,2.43269,1.93888,2.43269,1.93888,0.99385,0.99385,0.11968,0.11968,1.93873,-1.01855,-1.6398,-1.75146,510.5088,-64.59506,-292.911,-251.9872,108.1421,-225.5208,-54.44902,-229.8935,0.1561,0.65536,0.1561,0.65536,0.84702,0.35775,0.92976,0.70509,447.7004,-170.0591,-255.6877,-237.5079,356.892,-219.9811,-189.654,-230.2258,356.892,-219.9811,-189.654,-230.2258,1147.473,625.9709,-189.654,-230.2258,824.8372,824.8371,0,0,1929.44,1929.44,0,0,0,0,0,0,0,0,0,0,-40.49089,-17.44318,-57.93407
4.54998,0.01667,8.49479,2.25772,1,1,0,0,1,1038.206,987.139,1,1,3878.47,0,-0,1,0,25.27969,-19.6932,-59.73691,16.88031,2.48558,1.98197,2.48558,1.98197,1.01663,1.01663,0.1251,0.1251,1.9333,-1.06115,-1.70133,-1.82064,532.549,-78.48214,-319.1775,-277.8114,80.56081,-219.9875,-42.06656,-223.3687,0.11559,0.61037,0.11559,0.61037,0.88673,0.40184,0.94799,0.72533,480.3058,-164.8526,-287.1476,-244.5813,385.0545,-206.8518,-206.5617,-232.5822,385.0545,-206.8518,-206.5617,-232.5822,1176.305,641.0834,-206.5617,-232.5822,828.1259,828.1258,0,0,1939.235,1939.235,0,0,0,0,0,0,0,0,0,0,-41.49344,-18.24347,-59.73691
4.56665,0.01667,8.67694,2.30548,1,1,0,0,1,1060.44,1002.524,1,1,3897.981,0,-0,1,0,25.2498,-20.10052,-61.6314,16.92905,2.53856,2.02467,2.53856,2.02467,1.04018,1.04018,0.13045,0.13045,1.91759,-1.11683,-1.76098,-1.88815,545.8862,-96.1288,-345.3354,-304.8816,55.79887,-215.4221,-30.32414,-215.28,0.08003,0.56494,0.08003,0.56494,0.92157,0.44636,0.96399,0.74578,506.6646,-163.5224,-320.125,-254.2621,413.1667,-196.3609,-226.441,-236.1982,413.1667,-196.3609,-226.441,-236.1982,1205.063,653.7721,-226.441,-236.1982,831.3721,831.3721,0,0,1948.99,1948.99,0,0,0,0,0,0,0,0,0,0,-42.41186,-19.21955,-61.6314
4.58332,0.01667,8.85896,2.35312,1,1,0,0,1,1082.609,1019.814,1,1,3917.429,0,-0,1,0,25.21939,-20.52678,-63.5672,16.98478,2.59164,2.06698,2.59164,2.06698,1.06442,1.06442,0.13563,0.13563,1.89304,-1.18419,-1.81714,-1.95227,550.4901,-118.2106,-370.4842,-332.5752,34.77542,-211.0955,-19.71317,-205.5751,0.05011,0.51944,0.05011,0.51944,0.95089,0.49095,0.97745,0.76625,524.647,-166.4584,-352.9067,-266.6067,439.3197,-188.8793,-248.7763,-241.3373,439.3197,-188.8793,-248.7763,-241.3373,1232.025,663.704,-248.7763,-241.3373,834.5798,834.5799,0,0,1958.715,1958.715,0,0,0,0,0,0,0,0,0,0,-43.20628,-20.36092,-63.5672
