time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
40.23317,0.01667,11.3858,-1,-24.71624,25.49196,37.04612,-16.25659,2.71842,3.37939,2.71842,3.37939,-1.33371,-1.33371,-0.16361,-0.16361,0.98559,-2.40668,2.15245,1.95476,194.3792,-1036.637,433.3938,420.3515,194.3792,-1036.637,433.3938,420.3515,336.841,-781.401,433.3938,420.3515,0,0,0,0,0,0,0,0,1.57874,35.46738,37.04612
40.24984,0.01667,11.29159,-1,-24.73587,25.29972,36.66939,-16.2525,2.69575,3.35175,2.69575,3.35175,-1.32279,-1.32279,-0.1615,-0.1615,0.96943,-2.41157,2.13164,1.93744,189.3518,-1037.176,426.6456,412.9436,189.3518,-1037.176,426.6456,412.9436,331.1199,-782.8696,426.6456,412.9436,0,0,0,0,0,0,0,0,1.79011,34.87928,36.66939
40.26651,0.01667,11.19806,-1,-24.75523,25.10828,36.29746,-16.25084,2.67322,3.32426,2.67322,3.32426,-1.31207,-1.31207,-0.15956,-0.15956,0.95516,-2.41459,2.11278,1.92187,183.9411,-1037.685,419.3699,405.9156,183.9411,-1037.685,419.3699,405.9156,325.0655,-784.2991,419.3699,405.9156,0,0,0,0,0,0,0,0,2.0124,34.28506,36.29746
40.28317,0.01667,11.10522,-1,-24.77433,24.91761,35.92743,-16.25177,2.65083,3.29693,2.65083,3.29693,-1.30156,-1.30156,-0.15778,-0.15778,0.94288,-2.41565,2.09593,1.9081,178.319,-1037.866,411.6732,399.3289,178.319,-1037.866,411.6732,399.3289,318.8343,-785.4199,411.6732,399.3289,0,0,0,0,0,0,0,0,2.23575,33.69168,35.92743
40.29984,0.01667,11.01305,-1,-24.79316,24.72766,35.5577,-16.25527,2.62856,3.26975,2.62856,3.26975,-1.29124,-1.29124,-0.15616,-0.15616,0.93253,-2.41479,2.08107,1.89613,172.6204,-1037.504,403.6555,393.2242,172.6204,-1037.504,403.6555,393.2242,312.5489,-786.0356,403.6555,393.2242,0,0,0,0,0,0,0,0,2.45271,33.10499,35.5577
40.31651,0.01667,10.92154,-1,-24.81174,24.53836,35.18761,-16.26121,2.60643,3.24272,2.60643,3.24272,-1.28111,-1.28111,-0.1547,-0.1547,0.92396,-2.41214,2.06809,1.88585,166.9423,-1036.457,395.4041,387.6235,166.9423,-1036.457,395.4041,387.6235,306.2979,-786.0172,395.4041,387.6235,0,0,0,0,0,0,0,0,2.65809,32.52953,35.18761
40.33317,0.01667,10.83068,-1,-24.83007,24.34965,34.81722,-16.26933,2.58444,3.21584,2.58444,3.21584,-1.27114,-1.27114,-0.15338,-0.15338,0.91697,-2.40787,2.05682,1.87712,161.3463,-1034.649,386.9895,382.5308,161.3463,-1034.649,386.9895,382.5308,300.1374,-785.2965,386.9895,382.5308,0,0,0,0,0,0,0,0,2.84884,31.96839,34.81722
40.34984,0.01667,10.74046,-1,-24.84815,24.16146,34.44695,-16.27935,2.56258,3.18912,2.56258,3.18912,-1.26132,-1.26132,-0.15218,-0.15218,0.91129,-2.40222,2.04705,1.86976,155.8638,-1032.06,378.4642,377.9351,155.8638,-1032.06,378.4642,377.9351,294.0965,-783.8548,378.4642,377.9351,0,0,0,0,0,0,0,0,3.02365,31.4233,34.44695
40.36651,0.01667,10.65087,-1,-24.86599,23.97375,34.07748,-16.29096,2.54087,3.16255,2.54087,3.16255,-1.25164,-1.25164,-0.15108,-0.15108,0.90668,-2.39538,2.03858,1.86357,150.5042,-1028.711,369.8656,373.8144,150.5042,-1028.711,369.8656,373.8144,288.1838,-781.7112,369.8656,373.8144,0,0,0,0,0,0,0,0,3.18258,30.8949,34.07748
40.38317,0.01667,10.5619,-1,-24.88359,23.7865,33.70946,-16.30384,2.5193,3.13614,2.5193,3.13614,-1.24206,-1.24206,-0.15008,-0.15008,0.90289,-2.3876,2.03117,1.85834,145.2602,-1024.655,361.2169,370.1374,145.2602,-1024.655,361.2169,370.1374,282.3934,-778.9127,361.2169,370.1374,0,0,0,0,0,0,0,0,3.3266,30.38286,33.70946
