time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
3.36665,0.01667,8.18165,1,25.32933,-20.61875,-48.76152,15.42279,2.43035,1.90416,2.43035,1.90416,0.95187,0.95187,0.02037,0.02037,2.45782,-0.67228,-0.27925,-0.29949,448.6125,-3.27063,-3.33416,-0.9349,448.6125,-3.27063,-3.33416,-0.9349,1230.058,821.6171,-3.33416,-0.9349,827.8388,-827.8388,-403.0532,-370.7063,-482.9061,1007.073,-654.7043,-602.1613,-48.58417,-0.17735,-48.76152
3.38332,0.01667,8.35805,1,25.30132,-21.1275,-49.72255,15.54081,2.48274,1.94361,2.48274,1.94361,0.97816,0.97816,0.02374,0.02374,2.40401,-0.78513,-0.32311,-0.34734,503.5717,-5.52524,-4.65979,-1.44569,503.5717,-5.52524,-4.65979,-1.44569,1282.353,822.0924,-4.65979,-1.44569,684.3859,-684.3859,-378.8519,-360.6744,-399.5915,832.4796,-615.3927,-585.8658,-49.46891,-0.25364,-49.72255
3.39999,0.01667,8.53537,1,25.27271,-21.63047,-50.57626,15.69226,2.53497,1.98265,2.53497,1.98265,1.00616,1.00616,0.0284,0.0284,2.32776,-0.92297,-0.38363,-0.41337,549.8338,-9.37139,-6.64505,-2.27122,549.8338,-9.37139,-6.64505,-2.27122,1327.398,821.717,-6.64505,-2.27122,552.3071,-552.3071,-336.6322,-332.2025,-322.7767,671.7531,-546.8126,-539.6171,-50.20585,-0.37041,-50.57626
3.41665,0.01667,8.7147,1,25.24335,-22.07679,-51.24992,15.88735,2.58662,2.02188,2.58662,2.02188,1.03574,1.03574,0.03602,0.03602,2.22874,-1.08003,-0.48301,-0.52163,583.7289,-15.70729,-9.97603,-3.76167,583.7289,-15.70729,-9.97603,-3.76167,1361.229,819.0358,-9.97603,-3.76167,431.8579,-431.8579,-264.7033,-264.7033,-252.6264,525.2007,-429.9741,-429.9741,-50.67921,-0.57071,-51.24992
3.43332,0.01667,8.89626,1,25.2131,-22.45393,-51.76293,16.13213,2.63725,2.06191,2.63725,2.06191,1.06665,1.06665,0.04813,0.04813,2.10828,-1.24887,-0.64089,-0.69352,602.1845,-25.68637,-16.23455,-6.78069,602.1845,-25.68637,-16.23455,-6.78069,1381.059,813.0059,-16.23455,-6.78069,323.5487,-323.5487,-198.3162,-198.3162,-189.455,393.4394,-322.1373,-322.1373,-50.8068,-0.95613,-51.76293
3.44999,0.01667,9.07987,1,25.18197,-22.76976,-52.20531,16.4085,2.68707,2.1028,2.68707,2.1028,1.09831,1.09831,0.064,0.064,1.97458,-1.42136,-0.84606,-0.91714,604.0969,-40.61572,-27.56368,-12.73269,604.0969,-40.61572,-27.56368,-12.73269,1385.89,802.4506,-27.56368,-12.73269,228.6447,-228.6447,-140.1457,-140.1457,-134.0195,278.0043,-227.6473,-227.6473,-50.53127,-1.67404,-52.20531
3.46665,0.01667,9.26524,1,25.14997,-23.03494,-52.72283,16.69639,2.73633,2.1446,2.73633,2.1446,1.13008,1.13008,0.08256,0.08256,1.83682,-1.58906,-1.08368,-1.17652,590.4933,-61.766,-46.17981,-23.49152,590.4933,-61.766,-46.17981,-23.49152,1376.653,786.2289,-46.17981,-23.49152,148.4809,-148.4809,-91.00996,-91.00996,-87.12229,180.5144,-147.8331,-147.8331,-49.82845,-2.89438,-52.72283
3.48332,0.01667,9.45194,1,25.11717,-23.26326,-53.47928,16.97608,2.78533,2.18727,2.78533,2.18727,1.16133,1.16133,0.10261,0.10261,1.70422,-1.74387,-1.33739,-1.45394,564.0762,-90.11346,-73.69699,-41.13844,564.0762,-90.11346,-73.69699,-41.13844,1355.797,763.4659,-73.69699,-41.13844,84.37849,-84.37849,-51.71902,-51.71902,-49.56253,102.5705,-84.01041,-84.01041,-48.70864,-4.77064,-53.47928
3.49999,0.01667,9.63948,1,25.08363,-23.47134,-54.62411,17.22923,2.8344,2.23077,2.8344,2.23077,1.19146,1.19146,0.12287,0.12287,1.5855,-1.87866,-1.58999,-1.73066,529.1669,-126.0545,-110.6273,-67.48802,529.1669,-126.0545,-110.6273,-67.48802,1327.239,733.8112,-110.6273,-67.48802,37.5764,-37.5764,-23.03211,-23.03211,-22.09579,45.67243,-37.41248,-37.41248,-47.22462,-7.39949,-54.62411
3.51665,0.01667,9.82727,1,25.04946,-23.67794,-56.2572,17.44007,2.88389,2.27497,2.88389,2.27497,1.21997,1.21997,0.142,0.142,1.48811,-1.988,-1.82432,-1.98805,490.8494,-169.1602,-156.2354,-103.509,490.8494,-169.1602,-156.2354,-103.509,1295.591,697.6604,-156.2354,-103.509,9.16233,-9.16233,-5.61596,-5.61596,-5.39363,11.13504,-9.12236,-9.12236,-45.46657,-10.79063,-56.2572
