time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
23.78324,0.01667,0,0,1,0,0,0,1,900,901.2397,0,0,0,0,0,1,0,26,0,0,-0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.7999,0.01667,0,0,1,0,0,0,1,900,901.0952,0,0,0,0,0,1,0,26,0,0,-0,0,0,0,0,0,0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.81657,0.01667,0.21789,0.0545,1,1,0,0,1,976.6666,914.2894,0.0046,0,3854.761,0,0,1,0,25.99987,0.71048,42.89193,0.38053,0.03187,0.02261,0.03187,0.02261,0.01951,0.01951,0.00312,0.00312,-0.06014,-0.12856,-0.05253,-0.05254,-0.00002,-0.00005,-0.00028,-0.00014,-19.28059,-41.22377,-8.09932,-8.09468,1,1,1,1,0.00003,0.00002,0.00085,0.00043,-19.28059,-41.22377,-8.09932,-8.09468,-2.50022,-5.3457,-0.80122,-0.80077,-2.50022,-5.3457,-0.80122,-0.80077,842.6569,840.0994,-0.80122,-0.80077,844.9041,844.9041,0,0,1927.381,1927.381,0,0,0,0,0,0,0,0,0,0,42.82537,0.06655,42.89193
23.83324,0.01667,0.43485,0.10928,1,1,0,0,1,1053.333,940.7768,0.0179,0,3867.903,0,-0,1,0,25.99881,1.39264,42.47661,1.11845,0.09544,0.06819,0.09544,0.06819,0.05738,0.05738,0.00914,0.00914,-0.164,-0.36528,-0.15394,-0.15397,-0.00147,-0.0037,-0.0211,-0.01086,-52.39478,-116.4106,-24.00158,-23.85389,1,1,1,1,0.00027,0.00014,0.00742,0.00384,-52.39478,-116.4106,-24.00158,-23.85389,-12.85036,-28.1988,-4.46054,-4.44171,-12.85036,-28.1988,-4.46054,-4.44171,836.2023,822.4071,-4.46054,-4.44171,847.7523,847.7523,0,0,1933.951,1933.951,0,0,0,0,0,0,0,0,0,0,42.10678,0.36983,42.47661
23.8499,0.01667,0.65365,0.16512,1,1,0,0,1,1130,978.8313,0.03914,0,3935.07,0,-0,1,0,25.99669,2.05246,42.46326,1.8224,0.15933,0.11476,0.15933,0.11476,0.09361,0.09361,0.01473,0.01473,-0.24082,-0.56991,-0.24787,-0.248,-0.00842,-0.02424,-0.14908,-0.07823,-76.46863,-179.5241,-39.37386,-38.87908,1,1,1,1,0.00073,0.00039,0.02002,0.01063,-76.46863,-179.5241,-39.37386,-38.87908,-27.05337,-61.51029,-10.35102,-10.25593,-27.05337,-61.51029,-10.35102,-10.25593,838.0922,807.1217,-10.35102,-10.25593,862.4083,862.4083,0,0,1967.535,1967.535,0,0,0,0,0,0,0,0,0,0,41.60718,0.85608,42.46326
23.86657,0.01667,0.87483,0.22222,1,1,0,0,1,1206.667,1026.355,0.06759,0,4002.236,0,-0,1,0,25.99349,2.69141,42.42613,2.49311,0.22418,0.16285,0.22418,0.16285,0.12834,0.12834,0.01976,0.01976,-0.28766,-0.74039,-0.33233,-0.33267,-0.02275,-0.07795,-0.52176,-0.27795,-90.82624,-229.2828,-54.16003,-52.82571,1,1,1,1,0.00139,0.00076,0.03831,0.02088,-90.82624,-229.2828,-54.16003,-52.82571,-41.84861,-99.61164,-17.93724,-17.65063,-41.84861,-99.61164,-17.93724,-17.65063,839.4127,787.4927,-17.93724,-17.65063,877.028,877.028,0,0,2001.118,2001.118,0,0,0,0,0,0,0,0,0,0,40.94769,1.47844,42.42613
23.88324,0.01667,1.09838,0.28054,1,1,0,0,1,1283.333,1081.338,0.10248,0,4069.402,0,-0,1,0,25.98918,3.31147,42.50006,3.128,0.29002,0.21244,0.29002,0.21244,0.16149,0.16149,0.02414,0.02414,-0.30344,-0.8757,-0.40537,-0.40605,-0.04044,-0.17531,-1.281,-0.69237,-95.08411,-265.9384,-68.03964,-65.48676,1,1,1,1,0.00225,0.00126,0.06184,0.03461,-95.08411,-265.9384,-68.03964,-65.48676,-54.66383,-138.0533,-26.75246,-26.09783,-54.66383,-138.0533,-26.75246,-26.09783,842.4727,767.5157,-26.75246,-26.09783,891.6087,891.6087,0,0,2034.701,2034.701,0,0,0,0,0,0,0,0,0,0,40.30449,2.19557,42.50006
23.8999,0.01667,1.32433,0.34003,1,1,0,0,1,1360,1142.049,0.14307,0,4136.568,0,-0,1,0,25.98372,3.9161,42.76466,3.72759,0.35684,0.26345,0.35684,0.26345,0.19313,0.19313,0.0278,0.0278,-0.28942,-0.97749,-0.46593,-0.46709,-0.05317,-0.31746,-2.52368,-1.38405,-89.98746,-290.9764,-80.57341,-76.54063,1,1,1,1,0.00328,0.00188,0.09013,0.05178,-89.98746,-290.9764,-80.57341,-76.54063,-63.64288,-173.8805,-36.333,-35.11094,-63.64288,-173.8805,-36.333,-35.11094,848.9382,749.8436,-36.333,-35.11094,906.148,906.148,0,0,2068.284,2068.284,0,0,0,0,0,0,0,0,0,0,39.79664,2.96802,42.76466
23.91657,0.01667,1.55267,0.40062,1,1,0,0,1,1436.667,1207.074,0.18861,0,4203.735,0,-0,1,0,25.9771,4.5094,43.25582,4.29461,0.42462,0.31577,0.42462,0.31577,0.22342,0.22342,0.03073,0.03073,-0.24844,-1.04918,-0.51377,-0.51554,-0.05296,-0.49721,-4.26633,-2.37623,-76.70106,-306.3998,-91.3768,-85.78819,1,1,1,1,0.00446,0.00263,0.12262,0.07226,-76.70106,-306.3998,-91.3768,-85.78819,-67.66626,-205.271,-46.22422,-44.2501,-67.66626,-205.271,-46.22422,-44.2501,859.8132,736.1107,-46.22422,-44.2501,920.6431,920.6431,0,0,2101.867,2101.867,0,0,0,0,0,0,0,0,0,0,39.49722,3.7586,43.25582
23.93324,0.01667,1.78342,0.46221,1,1,0,0,1,1513.334,1275.306,0.23836,0,4270.901,0,-0,1,0,25.96929,5.09552,43.97501,4.8331,0.49333,0.36926,0.49333,0.36926,0.25257,0.25257,0.03294,0.03294,-0.18422,-1.0951,-0.54929,-0.55179,-0.03753,-0.70245,-6.43524,-3.64563,-56.52956,-314.3477,-100.2007,-93.15956,1,1,1,1,0.00577,0.00348,0.15866,0.09582,-56.52956,-314.3477,-100.2007,-93.15956,-66.19123,-231.3684,-56.00487,-53.14054,-66.19123,-231.3684,-56.00487,-53.14054,875.5833,727.0842,-56.00487,-53.14054,935.0911,935.0911,0,0,2135.451,2135.451,0,0,0,0,0,0,0,0,0,0,39.44075,4.53426,43.97501
23.9499,0.01667,2.01657,0.52474,1,1,0,0,1,1590,1345.894,0.29155,0,4338.067,0,-0,1,0,25.96026,5.67821,44.90077,5.34775,0.56294,0.42379,0.56294,0.42379,0.28083,0.28083,0.03449,0.03449,-0.10083,-1.1199,-0.57338,-0.57672,-0.01397,-0.91966,-8.88181,-5.12752,-30.78774,-316.7681,-106.948,-98.69355,1,1,1,1,0.00718,0.00444,0.19756,0.1222,-30.78774,-316.7681,-106.948,-98.69355,-59.12683,-252.0098,-65.30784,-61.48069,-59.12683,-252.0098,-65.30784,-61.48069,896.3284,722.9078,-65.30784,-61.48069,949.4893,949.4893,0,0,2169.033,2169.033,0,0,0,0,0,0,0,0,0,0,39.63356,5.26721,44.90077
23.96657,0.01667,2.2521,0.58812,1,1,0,0,1,1666.667,1418.2,0.34743,0,4405.234,0,-0,1,0,25.94998,6.26057,46.00026,5.84342,0.63342,0.47923,0.63342,0.47923,0.30841,0.30841,0.03545,0.03545,-0.00232,-1.12807,-0.58731,-0.59157,-0.00001,-1.13662,-11.41566,-6.73014,0,-315.298,-111.6672,-102.5157,1,1,1,1,0.00867,0.00549,0.23855,0.15105,-0.00001,-315.298,-111.6672,-102.5157,-46.61677,-267.4872,-73.83791,-69.04568,-46.61677,-267.4872,-73.83791,-69.04568,921.9185,723.317,-73.83791,-69.04568,963.8351,963.8351,0,0,2202.617,2202.617,0,0,0,0,0,0,0,0,0,0,40.0644,5.93585,46.00026
23.98324,0.01667,2.49003,0.6523,1,1,0,0,1,1743.334,1491.751,0.40527,0,4472.4,0,-0,1,0,25.93843,6.84498,47.23137,6.32476,0.70474,0.53549,0.70474,0.53549,0.33554,0.33554,0.03591,0.03591,0.10758,-1.12371,-0.59258,-0.59781,0.02227,-1.34381,-13.84302,-8.35308,32.63531,-311.2423,-114.5253,-104.8132,1,1,1,1,0.01021,0.00662,0.28078,0.18199,32.63531,-311.2423,-114.5253,-104.8132,-29.31597,-278.3571,-81.38187,-75.68568,-29.31597,-278.3571,-81.38187,-75.68568,951.7625,727.8086,-81.38187,-75.68568,978.1253,978.1253,0,0,2236.2,2236.2,0,0,0,0,0,0,0,0,0,0,40.70627,6.5251,47.23137
23.9999,0.01667,2.73037,0.71723,1,1,0,0,1,1820.001,1566.198,0.46431,0,4539.567,0,-0,1,0,25.92559,7.43309,48.55767,6.79589,0.77687,0.59248,0.77687,0.59248,0.36239,0.36239,0.03596,0.03596,0.22561,-1.11024,-0.59075,-0.59698,0.11121,-1.53452,-15.99708,-9.90278,68.34325,-305.5697,-115.7636,-105.8042,1,1,1,1,0.01176,0.0078,0.32337,0.21459,68.34325,-305.5697,-115.7636,-105.8042,-7.6731,-285.2944,-87.80914,-81.31896,-7.6731,-285.2944,-87.80914,-81.31896,985.4565,735.7743,-87.80914,-81.31896,992.3574,992.3574,0,0,2269.783,2269.783,0,0,0,0,0,0,0,0,0,0,41.53154,7.02614,48.55767
