time_s,dt_s,speed_kmh,signed_forward_speed_mps,steer_input,throttle_input,brake_input,reverse_input,gear,rpm,displayed_rpm,clutch_engagement,clutch_is_locked,classic_drive_force_request_n,classic_engine_brake_force_request_n,classic_service_brake_force_request_n,limiter_torque_multiplier,rev_limiter_active,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_slip_target_fy_n,fr_slip_target_fy_n,rl_slip_target_fy_n,rr_slip_target_fy_n,fl_rolling_constraint_fy_n,fr_rolling_constraint_fy_n,rl_rolling_constraint_fy_n,rr_rolling_constraint_fy_n,fl_rolling_blend,fr_rolling_blend,rl_rolling_blend,rr_rolling_blend,fl_low_speed_scale,fr_low_speed_scale,rl_low_speed_scale,rr_low_speed_scale,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_local_right_force_n,fr_local_right_force_n,rl_local_right_force_n,rr_local_right_force_n,fl_drive_side_force_n,fr_drive_side_force_n,rl_drive_side_force_n,rr_drive_side_force_n,fl_requested_longitudinal_force_n,fr_requested_longitudinal_force_n,rl_requested_longitudinal_force_n,rr_requested_longitudinal_force_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
5.23331,0.01667,9.36077,2.40508,-1,1,0,0,1,1110.305,1060.054,1,1,3944.849,0,-0,1,0,-35.32622,-31.48747,-92.0542,-22.27406,1.98581,2.792,1.98581,2.792,-1.52085,-1.52085,-0.09366,-0.09366,1.3467,-4.85392,1.3627,1.21964,122.1729,-3042.772,139.7694,185.1347,271.5492,0,142.7463,0,0.60632,0,0.60632,0,0.40581,1,0.72716,1,212.7424,-3042.772,141.5743,185.1347,143.0692,-2914.697,118.3288,118.8342,143.0692,-2914.697,118.3288,118.8342,-1023.791,-3518.54,118.3288,118.8342,-1140.517,-1140.517,0,0,1972.424,1972.424,0,0,0,0,0,0,0,0,0,0,-82.20168,-9.85253,-92.0542
5.24998,0.01667,9.49509,2.43776,-1,1,0,0,1,1125.389,1074.958,1,1,3957.984,0,-0,1,0,-35.31647,-32.03419,-92.66052,-22.39505,2.01114,2.83158,2.01114,2.83158,-1.5497,-1.5497,-0.0973,-0.0973,1.47752,-4.81093,1.41092,1.2597,154.5515,-3017.693,150.9481,196.8268,284.7963,0,141.0165,0,0.57941,0,0.57941,0,0.43218,1,0.73927,1,230.0165,-3017.693,145.1936,196.8268,163.2236,-2940.919,123.2356,133.0222,163.2236,-2940.919,123.2356,133.0222,-1010.854,-3543.746,123.2356,133.0222,-1144.04,-1144.04,0,0,1978.992,1978.992,0,0,0,0,0,0,0,0,0,0,-82.01474,-10.64579,-92.66052
5.26665,0.01667,9.62928,2.47096,-1,1,0,0,1,1140.696,1089.951,1,1,3971.292,0,-0,1,0,-35.30674,-32.56969,-93.14918,-22.48222,2.03708,2.87151,2.03708,2.87151,-1.57705,-1.57705,-0.09989,-0.09989,1.5846,-4.78604,1.44369,1.28583,186.8665,-3005.647,159.6869,204.6069,291.0049,0,137.3553,0,0.55163,0,0.55163,0,0.4594,1,0.75177,1,244.3125,-3005.647,147.3681,204.6069,182.126,-2957.106,127.6933,146.1829,182.126,-2957.106,127.6933,146.1829,-998.9837,-3560.815,127.6933,146.1829,-1147.611,-1147.611,0,0,1985.646,1985.646,0,0,0,0,0,0,0,0,0,0,-81.77146,-11.37772,-93.14918
5.28331,0.01667,9.76344,2.5047,-1,1,0,0,1,1156.253,1105.062,1,1,3984.81,0,-0,1,0,-35.29701,-33.0926,-93.55911,-22.53581,2.06371,2.91181,2.06371,2.91181,-1.60283,-1.60283,-0.10146,-0.10146,1.66672,-4.77985,1.46132,1.29844,217.457,-3007.247,165.8149,208.3841,290.537,0,131.9894,0,0.52296,0,0.52296,0,0.4875,1,0.76467,1,255.6752,-3007.247,148.1254,208.3841,199.3633,-2968.985,131.5173,157.7561,199.3633,-2968.985,131.5173,157.7561,-988.5278,-3574.431,131.5173,157.7561,-1151.242,-1151.242,0,0,1992.405,1992.405,0,0,0,0,0,0,0,0,0,0,-81.54175,-12.01736,-93.55911
5.29998,0.01667,9.8976,2.53897,-1,1,0,0,1,1172.061,1120.32,1,1,3998.549,0,-0,1,0,-35.28729,-33.60211,-93.91843,-22.55815,2.09106,2.95249,2.09106,2.95249,-1.62707,-1.62707,-0.10209,-0.10209,1.72433,-4.79165,1.46513,1.29877,244.9872,-3021.966,169.3987,208.4447,284.1389,0,125.2247,0,0.49346,0,0.49346,0,0.51641,1,0.77794,1,264.3072,-3021.966,147.6004,208.4447,214.6642,-2980.826,134.5786,167.3248,214.6642,-2980.826,134.5786,167.3248,-979.7111,-3588.081,134.5786,167.3248,-1154.934,-1154.934,0,0,1999.275,1999.275,0,0,0,0,0,0,0,0,0,0,-81.37637,-12.54206,-93.91843
5.31665,0.01667,10.0318,2.57372,-1,1,0,0,1,1188.104,1135.748,1,1,4012.503,0,-0,1,0,-35.27756,-34.09781,-94.24774,-22.55289,2.11908,2.9935,2.11908,2.9935,-1.64986,-1.64986,-0.10191,-0.10191,1.75906,-4.8198,1.45707,1.28868,268.491,-3048.498,170.6865,205.3467,272.7722,0,117.4016,0,0.46325,0,0.46325,0,0.54602,1,0.79154,1,270.4743,-3048.498,146.0023,205.3467,227.8848,-2995.587,136.8088,174.6448,227.8848,-2995.587,136.8088,174.6448,-972.6497,-3604.175,136.8088,174.6448,-1158.687,-1158.687,0,0,2006.252,2006.252,0,0,0,0,0,0,0,0,0,0,-81.30893,-12.9388,-94.24774
5.33331,0.01667,10.16603,2.60889,-1,1,0,0,1,1204.355,1151.355,1,1,4026.654,0,-0,1,0,-35.26783,-34.57957,-94.5658,-22.52442,2.14774,3.03478,2.14774,3.03478,-1.67137,-1.67137,-0.10106,-0.10106,1.7733,-4.86212,1.43954,1.27034,287.3862,-3085.061,170.0499,199.805,257.4921,0,108.861,0,0.43248,0,0.43248,0,0.57617,1,0.80538,1,274.4575,-3085.061,143.5868,199.805,238.9845,-3015.243,138.1988,179.6821,238.9845,-3015.243,138.1988,179.6821,-967.3717,-3624.325,138.1988,179.6821,-1162.493,-1162.493,0,0,2013.327,2013.327,0,0,0,0,0,0,0,0,0,0,-81.35999,-13.20581,-94.5658
5.34998,0.01667,10.30029,2.64438,-1,1,0,0,1,1220.78,1167.146,1,1,4040.971,0,-0,1,0,-35.25809,-35.04758,-94.88609,-22.47735,2.17694,3.07625,2.17694,3.07625,-1.69175,-1.69175,-0.09973,-0.09973,1.76986,-4.91617,1.41503,1.24599,301.435,-3129.68,167.9179,192.5726,239.3507,0,99.91805,0,0.40136,0,0.40136,0,0.60667,1,0.81939,1,276.5169,-3129.68,140.6255,192.5726,247.9966,-3040.873,138.7917,182.4962,247.9966,-3040.873,138.7917,182.4962,-963.8425,-3649.401,138.7917,182.4962,-1166.347,-1166.347,0,0,2020.485,2020.485,0,0,0,0,0,0,0,0,0,0,-81.53875,-13.34735,-94.88609
5.36665,0.01667,10.43453,2.68013,-1,1,0,0,1,1237.342,1183.113,1,1,4055.425,0,-0,1,0,-35.24836,-35.50213,-95.21841,-22.41618,2.20662,3.11784,2.20662,3.11784,-1.71118,-1.71118,-0.09807,-0.09807,1.75168,-4.97944,1.38596,1.21782,310.6906,-3180.375,164.7386,184.3704,219.3271,0,90.84852,0,0.37009,0,0.37009,0,0.63731,1,0.83346,1,276.8774,-3180.375,137.3923,184.3704,255.0034,-3072.748,138.6741,183.2424,255.0034,-3072.748,138.6741,183.2424,-961.9866,-3679.622,138.6741,183.2424,-1170.237,-1170.237,0,0,2027.713,2027.713,0,0,0,0,0,0,0,0,0,0,-81.84495,-13.37347,-95.21841
5.38331,0.01667,10.56873,2.71606,-1,1,0,0,1,1254.002,1199.242,1,1,4069.982,0,-0,1,0,-35.23863,-35.9437,-95.57207,-22.34504,2.23668,3.15948,2.23668,3.15948,-1.72983,-1.72983,-0.09623,-0.09623,1.72161,-5.04958,1.35459,1.18781,315.4265,-3235.329,160.9387,175.826,198.2857,0,81.87936,0,0.33891,0,0.33891,0,0.66786,1,0.84749,1,275.7258,-3235.329,134.1444,175.826,260.1146,-3110.607,137.9659,182.1817,260.1146,-3110.607,137.9659,182.1817,-961.7053,-3714.763,137.9659,182.1817,-1174.156,-1174.156,0,0,2034.991,2034.991,0,0,0,0,0,0,0,0,0,0,-82.27211,-13.29998,-95.57207
5.39998,0.01667,10.70285,2.75209,-1,1,0,0,1,1270.728,1215.513,1,1,4084.61,0,-0,1,0,-35.2289,-36.37288,-95.95614,-22.26753,2.26705,3.20109,2.26705,3.20109,-1.74787,-1.74787,-0.09437,-0.09437,1.68228,-5.12444,1.32284,1.15765,316.0615,-3292.983,156.8949,167.4418,176.9528,0,73.18451,0,0.30804,0,0.30804,0,0.69812,1,0.86138,1,273.2103,-3292.983,131.1087,167.4418,263.451,-3153.824,136.8081,179.6402,263.451,-3153.824,136.8081,179.6402,-962.8912,-3754.306,136.8081,179.6402,-1178.092,-1178.092,0,0,2042.305,2042.305,0,0,0,0,0,0,0,0,0,0,-82.80984,-13.1463,-95.95614
5.41665,0.01667,10.83684,2.78816,-1,1,0,0,1,1287.487,1231.904,1,1,4099.281,0,-0,1,0,-35.21918,-36.79041,-96.37908,-22.18662,2.29764,3.24261,2.29764,3.24261,-1.76542,-1.76542,-0.09257,-0.09257,1.636,-5.20223,1.29223,1.12868,313.099,-3352.088,152.9102,159.5802,155.9154,0,64.88571,0,0.27769,0,0.27769,0,0.72786,1,0.87504,1,269.4501,-3352.088,128.4663,159.5802,265.1349,-3201.567,135.3519,175.9709,265.1349,-3201.567,135.3519,175.9709,-965.4372,-3797.566,135.3519,175.9709,-1182.04,-1182.04,0,0,2049.64,2049.64,0,0,0,0,0,0,0,0,0,0,-83.44571,-12.93337,-96.37908
5.43331,0.01667,10.97066,2.82423,-1,1,0,0,1,1304.255,1248.391,1,1,4113.97,0,-0,1,0,-35.20948,-37.19711,-96.84859,-22.10464,2.32839,3.28401,2.32839,3.28401,-1.78261,-1.78261,-0.09092,-0.09092,1.58474,-5.28145,1.26391,1.10187,307.0748,-3411.706,149.2124,152.4788,135.6278,0,57.05962,0,0.24808,0,0.24808,0,0.75688,1,0.88836,1,264.5418,-3411.706,126.3509,152.4788,265.2836,-3252.924,133.747,171.5232,265.2836,-3252.924,133.747,171.5232,-969.2406,-3843.79,133.747,171.5232,-1185.99,-1185.99,0,0,2056.985,2056.985,0,0,0,0,0,0,0,0,0,0,-84.16666,-12.68192,-96.84859
5.44998,0.01667,11.10426,2.86025,-1,1,0,0,1,1321.009,1264.948,1,1,4128.655,0,-0,1,0,-35.19978,-37.59386,-97.36774,-22.02331,2.35926,3.32524,2.35926,3.32524,-1.79954,-1.79954,-0.08948,-0.08948,1.5301,-5.36095,1.2386,1.07784,298.5725,-3469.617,145.9822,146.2938,116.4493,0,49.75602,0,0.2194,0,0.2194,0,0.78498,1,0.90127,1,258.614,-3469.617,124.8698,146.2938,264.0168,-3306.641,132.1371,166.6237,264.0168,-3306.641,132.1371,166.6237,-974.1982,-3891.951,132.1371,166.6237,-1189.939,-1189.939,0,0,2064.328,2064.328,0,0,0,0,0,0,0,0,0,0,-84.95625,-12.4115,-97.36774
5.46664,0.01667,11.23761,2.89619,-1,1,0,0,1,1337.734,1281.554,1,1,4143.322,0,-0,1,0,-35.19011,-37.98164,-97.94465,-21.94377,2.39018,3.36629,2.39018,3.36629,-1.81626,-1.81626,-0.08827,-0.08827,1.47328,-5.43993,1.21667,1.05689,287.951,-3528.042,143.2404,141.0023,98.56431,0,42.96613,0,0.19184,0,0.19184,0,0.812,1,0.91367,1,251.619,-3528.042,124.0038,141.0023,261.4189,-3362.193,130.6391,161.5443,261.4189,-3362.193,130.6391,161.5443,-980.2368,-3941.614,130.6391,161.5443,-1193.88,-1193.88,0,0,2071.661,2071.661,0,0,0,0,0,0,0,0,0,0,-85.8064,-12.13826,-97.94465
5.48331,0.01667,11.37066,2.93204,-1,1,0,0,1,1354.417,1298.186,1,1,4157.958,0,-0,1,0,-35.18045,-38.36148,-98.58443,-21.86679,2.42111,3.40714,2.42111,3.40714,-1.83284,-1.83284,-0.0873,-0.0873,1.41528,-5.51775,1.19823,1.03909,275.6838,-3586.16,141.0271,136.5964,82.14508,0,36.6927,0,0.16556,0,0.16556,0,0.83775,1,0.9255,1,243.6406,-3586.16,123.7531,136.5964,257.5707,-3419.04,129.3486,156.5084,257.5707,-3419.04,129.3486,156.5084,-987.2874,-3992.334,129.3486,156.5084,-1197.811,-1197.811,0,0,2078.979,2078.979,0,0,0,0,0,0,0,0,0,0,-86.70898,-11.87544,-98.58443
