time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
12.39995,0.01667,9.46644,-1,-25.11147,-20.57677,-116.788,14.71159,-2.26572,-2.78016,-2.26572,-2.78016,1.00851,1.00851,0.09781,0.09781,0.6779,3.4745,-1.37132,-1.27574,499.1426,3073.962,-198.7016,-117.8261,499.1426,3073.962,-198.7016,-117.8261,1275.376,3606.833,-198.7016,-117.8261,0,0,0,0,0,0,0,0,-103.6384,-13.1496,-116.788
12.41662,0.01667,9.62299,-1,-25.08393,-21.73989,-106.7202,15.28327,-2.28376,-2.83095,-2.28376,-2.83095,1.06692,1.06692,0.09825,0.09825,0.02648,3.02589,-1.37411,-1.27212,301.6564,2743.111,-205.0471,-133.5029,301.6564,2743.111,-205.0471,-133.5029,1098.425,3309.621,-205.0471,-133.5029,0,0,0,0,0,0,0,0,-92.65575,-14.06448,-106.7202
12.43328,0.01667,9.78465,-1,-25.05498,-22.7169,-98.15161,15.61877,-2.30845,-2.88318,-2.30845,-2.88318,1.11232,1.11232,0.09489,0.09489,-0.41897,2.7399,-1.32271,-1.21941,160.2685,2423.709,-206.1102,-144.2068,160.2685,2423.709,-206.1102,-144.2068,972.5135,3022.968,-206.1102,-144.2068,0,0,0,0,0,0,0,0,-83.5983,-14.55331,-98.15161
12.44995,0.01667,9.95057,-1,-25.02478,-23.53624,-90.93305,15.76279,-2.33887,-2.93672,-2.33887,-2.93672,1.14676,1.14676,0.08841,0.08841,-0.69055,2.5891,-1.22728,-1.12735,58.70785,2144.694,-201.5238,-148.453,58.70785,2144.694,-201.5238,-148.453,882.8964,2773.06,-201.5238,-148.453,0,0,0,0,0,0,0,0,-76.39387,-14.53918,-90.93305
12.46662,0.01667,10.12013,-1,-24.99344,-24.22372,-84.98557,15.76021,-2.37408,-2.9913,-2.37408,-2.9913,1.17234,1.17234,0.07968,0.07968,-0.82169,2.54535,-1.1008,-1.00803,-12.4476,1919.871,-191.6103,-146.0899,-12.4476,1919.871,-191.6103,-146.0899,821.0119,2572.381,-191.6103,-146.0899,0,0,0,0,0,0,0,0,-70.95641,-14.02917,-84.98557
12.48328,0.01667,10.29285,-1,-24.96103,-24.80341,-80.24876,15.65287,-2.41314,-3.04665,-2.41314,-3.04665,1.1911,1.1911,0.0696,0.0696,-0.84508,2.58167,-0.95643,-0.87348,-58.6656,1751.732,-177.2572,-137.9766,-58.6656,1751.732,-177.2572,-137.9766,781.8741,2423.172,-177.2572,-137.9766,0,0,0,0,0,0,0,0,-67.15291,-13.09584,-80.24876
12.49995,0.01667,10.46827,-1,-24.92763,-25.29789,-76.68728,15.47711,-2.45518,-3.1025,-2.45518,-3.1025,1.20492,1.20492,0.05899,0.05899,-0.79062,2.67383,-0.80581,-0.73421,-84.14977,1639.142,-159.7322,-125.5598,-84.14977,1639.142,-159.7322,-125.5598,761.6401,2324.392,-159.7322,-125.5598,0,0,0,0,0,0,0,0,-64.83532,-11.85196,-76.68728
12.51662,0.01667,10.64591,-1,-24.89329,-25.72836,-74.24898,15.26343,-2.49942,-3.15862,-2.49942,-3.15862,1.21545,1.21545,0.04849,0.04849,-0.68499,2.80065,-0.65836,-0.59865,-93.05347,1578.468,-140.466,-110.5806,-93.05347,1578.468,-140.466,-110.5806,756.5139,2272.74,-140.466,-110.5806,0,0,0,0,0,0,0,0,-63.81968,-10.4293,-74.24898
12.53328,0.01667,10.82528,-1,-24.8581,-26.11382,-72.82873,15.036,-2.54512,-3.2148,-2.54512,-3.2148,1.22414,1.22414,0.03862,0.03862,-0.55073,2.94462,-0.52099,-0.47288,-89.86813,1563.714,-120.8625,-94.64055,-89.86813,1563.714,-120.8625,-94.64055,762.3945,2262.775,-120.8625,-94.64055,0,0,0,0,0,0,0,0,-63.87603,-8.9527,-72.82873
12.54995,0.01667,11.00592,-1,-24.82216,-26.47013,-72.25598,14.81252,-2.5917,-3.27092,-2.5917,-3.27092,1.2321,1.2321,0.0297,0.0297,-0.40563,3.0922,-0.39807,-0.36071,-79.10869,1585.935,-102.0955,-79.08868,-79.10869,1585.935,-102.0955,-79.08868,775.1622,2286.381,-102.0955,-79.08868,0,0,0,0,0,0,0,0,-64.729,-7.52698,-72.25598
