time_s,dt_s,speed_kmh,steer_input,road_wheel_deg,yaw_rate_deg_s,yaw_accel_deg_s2,beta_deg,fl_local_u,fr_local_u,rl_local_u,rr_local_u,fl_local_v,fr_local_v,rl_local_v,rr_local_v,fl_slip_deg,fr_slip_deg,rl_slip_deg,rr_slip_deg,fl_target_fy_n,fr_target_fy_n,rl_target_fy_n,rr_target_fy_n,fl_relaxed_fy_n,fr_relaxed_fy_n,rl_relaxed_fy_n,rr_relaxed_fy_n,fl_final_fy_n,fr_final_fy_n,rl_final_fy_n,rr_final_fy_n,fl_rolling_contact_fy_n,fr_rolling_contact_fy_n,rl_rolling_contact_fy_n,rr_rolling_contact_fy_n,fl_rolling_contact_yaw_nm,fr_rolling_contact_yaw_nm,rl_rolling_contact_yaw_nm,rr_rolling_contact_yaw_nm,front_yaw_accel_deg_s2,rear_yaw_accel_deg_s2,natural_yaw_accel_deg_s2
7.14997,0.01667,12.88954,-1,-24.42049,29.74406,78.6718,-16.63837,3.023,3.78676,3.023,3.78676,-1.53132,-1.53132,-0.17926,-0.17926,1.81952,-1.92709,2.25641,2.01738,550.5312,-570.8019,523.2852,466.8266,550.5312,-570.8019,523.2852,466.8266,-398.8921,-1419.906,523.2852,466.8266,0,0,0,0,0,0,0,0,37.53932,41.13248,78.6718
7.16664,0.01667,13.08241,-1,-24.37659,30.10568,80.26635,-16.645,3.06958,3.84253,3.06958,3.84253,-1.55324,-1.55324,-0.18491,-0.18491,1.84874,-1.91073,2.31161,2.06398,538.0303,-581.0543,531.7669,479.8257,538.0303,-581.0543,531.7669,479.8257,-412.8908,-1432.212,531.7669,479.8257,0,0,0,0,0,0,0,0,38.24148,42.02487,80.26635
7.1833,0.01667,13.2755,-1,-24.33218,30.4773,81.75955,-16.65759,3.11597,3.8984,3.11597,3.8984,-1.57574,-1.57574,-0.19063,-0.19063,1.88654,-1.88756,2.36697,2.11056,532.7491,-584.6873,543.645,494.8689,532.7491,-584.6873,543.645,494.8689,-420.2762,-1438.453,543.645,494.8689,0,0,0,0,0,0,0,0,38.61628,43.14326,81.75955
7.19997,0.01667,13.46882,-1,-24.28724,30.85642,83.13058,-16.67167,3.16227,3.95441,3.16227,3.95441,-1.59853,-1.59853,-0.19624,-0.19624,1.92878,-1.86095,2.42004,2.15495,534.0394,-582.7418,558.2985,511.2061,534.0394,-582.7418,558.2985,511.2061,-421.6385,-1439.579,558.2985,511.2061,0,0,0,0,0,0,0,0,38.69986,44.43073,83.13058
7.21664,0.01667,13.66242,-1,-24.24177,31.24041,84.37031,-16.6838,3.20859,4.01059,3.20859,4.01059,-1.62134,-1.62134,-0.20159,-0.20159,1.972,-1.83365,2.46917,2.19572,540.895,-576.5391,575.0049,528.0966,540.895,-576.5391,575.0049,528.0966,-417.8948,-1436.795,575.0049,528.0966,0,0,0,0,0,0,0,0,38.54386,45.82645,84.37031
7.2333,0.01667,13.55598,-1,-24.23148,30.70521,29.73079,-16.6013,3.22278,4.02268,3.22278,4.02268,-1.61819,-1.61819,-0.20214,-0.20214,1.86954,-1.90717,2.47077,2.19786,541.8217,-577.1646,590.7136,542.6377,541.8217,-577.1646,590.7136,542.6377,680.2573,-340.1405,590.7136,542.6377,0,0,0,0,0,0,0,0,-17.35234,47.08312,29.73079
7.24997,0.01667,13.45027,-1,-24.25652,30.22051,31.66342,-16.42255,3.20446,3.99118,3.20446,3.99118,-1.58968,-1.58968,-0.19699,-0.19699,1.62896,-2.07902,2.41428,2.15164,512.8326,-610.0606,597.2443,547.6777,512.8326,-610.0606,597.2443,547.6777,652.6654,-371.0936,597.2443,547.6777,0,0,0,0,0,0,0,0,-15.90039,47.56381,31.66342
7.26664,0.01667,13.34517,-1,-24.28126,29.78814,33.70827,-16.25286,3.1854,3.96028,3.1854,3.96028,-1.56286,-1.56286,-0.19113,-0.19113,1.41047,-2.23736,2.34909,2.09707,467.1375,-667.1513,594.0359,543.7146,467.1375,-667.1513,594.0359,543.7146,609.8511,-424.0961,594.0359,543.7146,0,0,0,0,0,0,0,0,-13.5576,47.26588,33.70827
7.2833,0.01667,13.24058,-1,-24.30574,29.40393,35.5602,-16.10611,3.16535,3.92969,3.16535,3.92969,-1.53855,-1.53855,-0.18545,-0.18545,1.22455,-2.37268,2.28608,2.04389,414.6682,-740.7337,582.3757,532.3828,414.6682,-740.7337,582.3757,532.3828,560.859,-492.1304,582.3757,532.3828,0,0,0,0,0,0,0,0,-10.75052,46.31072,35.5602
7.29997,0.01667,13.13642,-1,-24.32997,29.06134,37.10941,-15.99124,3.14421,3.89919,3.14421,3.89919,-1.51715,-1.51715,-0.18062,-0.18062,1.07649,-2.47958,2.2336,1.99963,362.1075,-822.9503,564.6254,516.5787,362.1075,-822.9503,564.6254,516.5787,511.7718,-568.0386,564.6254,516.5787,0,0,0,0,0,0,0,0,-7.80735,44.91676,37.10941
